Term	GenesWithTerm	FractionalGeneEquivalent	MOCK1FractionalRawReads	MOCK2FractionalRawReads
ko:K03406	282	258.4761904761905	10037.166666666666	9890.535714285714
ko:K02014	222	212.66666666666669	9223.0	9221.833333333332
ko:K03088	192	191.0	3052.5	3110.5
ko:K01990	168	158.16666666666666	6120.416666666666	6191.0
ko:K01992	159	154.0	7986.5	7797.0
ko:K02004	151	143.83333333333331	6291.166666666667	6447.666666666666
ko:K06147	149	119.575	6761.291666666666	6667.958333333333
ko:K12132	132	111.33333333333331	6260.916666666666	6276.083333333334
ko:K02035	119	109.5	8318.5	8084.5
ko:K02030	107	98.44999999999999	2555.4	2460.1833333333334
ko:K02016	99	96.0	2922.5	2853.5
ko:K07090	98	96.5	1960.5	1974.0
ko:K02003	96	88.0	2005.5	2094.25
ko:K00059	92	84.33333333333333	1800.8333333333335	1894.8333333333335
ko:K07497	91	84.33333333333334	2363.833333333333	2434.833333333333
ko:K02034	83	77.5	3490.5	3593.666666666667
ko:K02013	81	75.66666666666667	2054.1666666666665	2008.1666666666667
ko:K01952	78	78.0	3767.0	3809.0
ko:K03427	78	73.16666666666667	3334.6666666666665	3475.1666666666665
ko:K01153	76	71.33333333333334	5217.833333333334	5447.75
ko:K02015	76	75.5	2439.0	2421.0
ko:K07496	76	76.0	4971.0	4842.0
ko:K02029	74	49.683333333333344	645.4666666666667	619.0
ko:K02033	74	69.83333333333334	2983.8333333333335	2944.3333333333335
ko:K01784	72	67.33333333333334	1867.0	1904.3333333333333
ko:K03496	71	68.0	1752.75	1753.75
ko:K02031	70	54.43333333333334	2979.4999999999995	2987.3999999999996
ko:K02032	68	48.099999999999994	2793.5	2730.066666666667
ko:K03924	67	66.5	1962.0	1950.0
ko:K03655	66	63.03333333333334	2996.0666666666666	2982.3333333333335
ko:K01154	65	60.833333333333336	2361.666666666667	2331.166666666667
ko:K02529	63	53.666666666666664	2526.5	2495.1666666666665
ko:K04763	63	57.5	1742.0	1799.5
ko:K01649	61	60.5	2983.5	2756.0
ko:K01955	61	58.75	4699.25	4700.0
ko:K07133	60	60.0	2803.0	2889.0
ko:K00384	59	56.5	1691.0	1607.0
ko:K01802	59	38.833333333333336	587.4999999999999	619.6666666666667
ko:K01872	59	56.0	3694.5	3809.5
ko:K01951	59	59.0	2178.0	2145.0
ko:K03296	58	48.083333333333336	2967.0	3015.6666666666665
ko:K03797	58	57.25	2322.75	2275.25
ko:K06921	58	58.0	3845.0	3868.0
ko:K01652	57	54.833333333333336	2786.6666666666665	2704.166666666667
ko:K04069	57	56.0	2449.0	2440.5
ko:K00615	56	56.0	2150.0	2301.0
ko:K01897	56	53.166666666666664	1834.8333333333335	1814.8333333333333
ko:K03750	55	45.666666666666664	1686.1666666666667	1645.0
ko:K00973	54	52.5	1428.75	1403.75
ko:K02355	54	53.5	3640.0	3597.5
ko:K03320	54	53.5	2174.5	2029.0
ko:K03701	54	54.0	3921.0	3857.0
ko:K06915	53	52.5	2899.5	2854.0
ko:K07114	53	52.5	1873.5	1934.0
ko:K02428	52	48.0	1103.0	1145.5
ko:K00058	51	46.75	2303.5	2307.75
ko:K01915	51	49.0	2218.5	2049.0
ko:K03086	51	46.36666666666667	1729.1	1745.8666666666666
ko:K03413	51	39.944444444444436	784.5555555555555	850.6666666666667
ko:K07012	51	48.5	4046.5	3830.0
ko:K01999	50	48.0	1565.5	1447.5
ko:K03657	50	47.75	3115.75	3163.0
ko:K04759	50	50.0	2923.0	2914.0
ko:K06969	50	48.08333333333333	1559.0833333333333	1445.0833333333333
ko:K00382	49	48.0	2125.5	2049.0
ko:K01738	49	41.666666666666664	1078.3333333333335	1006.6666666666666
ko:K01892	49	46.5	1782.3333333333333	1699.1666666666667
ko:K00174	48	47.5	2441.5	2436.5
ko:K01733	48	45.2	1818.4	1805.5
ko:K06180	48	45.083333333333336	1113.9166666666665	994.9166666666666
ko:K07011	48	40.83333333333333	1157.1666666666667	1119.4166666666667
ko:K00525	47	46.0	2985.0	3029.0
ko:K01768	47	37.759523809523806	1230.65	1186.3190476190475
ko:K03407	47	37.977777777777774	2534.4555555555557	2381.6
ko:K03546	47	44.33333333333333	3488.083333333333	3584.25
ko:K00123	46	37.83333333333333	1963.1666666666667	1921.5
ko:K02028	46	26.349999999999994	486.55	537.0833333333333
ko:K03530	46	41.33333333333333	287.58333333333337	267.91666666666663
ko:K03654	46	41.75	1767.75	1681.5
ko:K07001	46	45.0	1695.5	1730.0
ko:K07052	46	46.0	1569.0	1521.0
ko:K07165	46	45.5	1288.0	1381.5
ko:K09458	46	44.5	1576.0	1486.5
ko:K00812	45	39.0	1927.1666666666667	1708.8333333333335
ko:K00817	45	40.66666666666667	1605.3333333333333	1617.0
ko:K01870	45	45.0	4008.0	3798.0
ko:K01885	45	41.5	2097.5	2027.0
ko:K01895	45	43.5	1504.5	1480.5
ko:K02483	45	35.0	512.5	574.3333333333333
ko:K03574	45	41.33333333333333	678.1666666666667	609.3333333333333
ko:K08303	45	45.0	2133.0	1894.0
ko:K00820	44	44.0	3023.0	2933.0
ko:K00845	44	42.5	1126.0	1136.0
ko:K01868	44	44.0	2556.0	2640.0
ko:K02040	44	43.33333333333333	1353.6666666666665	1296.0
ko:K02433	44	43.0	1779.5	1796.0
ko:K03671	44	36.0	428.5	397.75
ko:K03832	44	38.66666666666667	606.6666666666666	625.5
ko:K17686	44	37.25	2403.75	2341.75
ko:K01338	43	40.33333333333333	3079.8333333333335	3081.6666666666665
ko:K01887	43	43.0	2312.0	2260.0
ko:K02005	43	38.5	1577.0	1495.0
ko:K02230	43	42.5	6770.0	6693.5
ko:K03497	43	41.83333333333333	1909.0	2036.6666666666667
ko:K07107	43	41.0	381.5	399.0
ko:K00067	42	39.5	739.0	710.0
ko:K00571	42	25.499999999999996	1148.0833333333333	1095.9166666666665
ko:K01007	42	37.5	2091.3333333333335	2082.0
ko:K01012	42	39.5	1717.5	1726.0
ko:K01551	42	42.0	1153.0	1193.0
ko:K01687	42	39.0	1862.5	1916.5
ko:K02039	42	40.7	1257.9	1333.5
ko:K03499	42	40.5	1055.5	1030.5
ko:K03711	42	34.0	673.6666666666666	702.5
ko:K04771	42	37.25	1258.25	1264.5000000000002
ko:K11085	42	28.375	1288.625	1250.125
ko:K00001	41	36.5	1443.1666666666665	1441.3333333333335
ko:K00945	41	38.166666666666664	784.8333333333333	898.3333333333334
ko:K01091	41	35.75	572.25	537.5
ko:K01874	41	40.5	2556.5	2433.0
ko:K01881	41	41.0	2099.0	2095.0
ko:K01953	41	40.5	1899.0	1972.0
ko:K03561	41	40.0	600.5	637.0
ko:K07027	41	40.0	1583.0	1538.0
ko:K07088	41	40.5	1570.5	1672.0
ko:K15342	41	40.5	1712.5	1686.5
ko:K18138	41	25.916666666666664	821.3333333333334	843.6666666666667
ko:K00128	40	28.583333333333332	680.3333333333333	690.5833333333333
ko:K01126	40	33.666666666666664	819.5833333333335	934.2499999999999
ko:K01179	40	31.166666666666664	2568.1666666666665	2540.666666666667
ko:K01714	40	37.83333333333333	1236.3333333333335	1141.0
ko:K01737	40	39.0	594.0	540.5
ko:K01869	40	40.0	3482.0	3440.0
ko:K01873	40	40.0	3387.0	3513.0
ko:K01939	40	40.0	1652.0	1507.0
ko:K02025	40	30.342857142857145	2168.7	2069.495238095238
ko:K02057	40	36.33333333333333	1547.5	1535.8333333333333
ko:K03424	40	40.0	980.0	998.0
ko:K03724	40	40.0	2027.0	1883.0
ko:K07277	40	38.0	1915.5	2024.5
ko:K08884	40	28.33333333333333	1016.3333333333335	917.0
ko:K13993	40	40.0	585.0	536.0
ko:K00626	39	34.25	856.5	814.75
ko:K00764	39	39.0	1846.0	1798.0
ko:K00858	39	39.0	1216.0	1220.0
ko:K00928	39	39.0	1715.0	1611.0
ko:K01465	39	36.33333333333333	1618.6666666666667	1625.8333333333335
ko:K01703	39	37.0	1538.5	1563.0
ko:K01775	39	32.833333333333336	1369.8333333333333	1414.3333333333335
ko:K01890	39	38.5	2762.5	2789.5
ko:K01937	39	39.0	2031.0	1881.0
ko:K02020	39	38.0	620.0	610.5
ko:K02051	39	37.0	1205.5	1208.5
ko:K02316	39	37.333333333333336	2090.1666666666665	2066.1666666666665
ko:K03609	39	36.0	1186.75	1161.75
ko:K00600	38	38.0	1686.0	1600.0
ko:K00939	38	38.0	882.0	877.0
ko:K01092	38	36.2	812.8	869.0
ko:K01710	38	35.0	1372.5	1274.5
ko:K01945	38	36.0	1701.0	1623.5
ko:K02036	38	38.0	763.0	807.0
ko:K02484	38	27.476190476190474	1432.8333333333333	1305.452380952381
ko:K02945	38	33.166666666666664	1390.8333333333333	1377.8333333333333
ko:K03147	38	36.583333333333336	1865.25	1723.3333333333335
ko:K03168	38	35.0	2490.0	2549.5
ko:K03686	38	33.66666666666667	1066.5	1194.8333333333333
ko:K03703	38	37.5	1803.0	1868.5
ko:K06148	38	25.575	2305.9583333333335	2423.4583333333335
ko:K10773	38	37.0	922.0	986.5
ko:K00175	37	37.0	1464.0	1383.0
ko:K00789	37	37.0	1543.0	1379.0
ko:K01448	37	35.0	1175.0	1176.3333333333335
ko:K01756	37	35.5	1709.0	1759.0
ko:K01840	37	26.666666666666664	1056.0	1065.6666666666667
ko:K01883	37	36.333333333333336	1528.0	1541.6666666666667
ko:K01889	37	37.0	1579.0	1409.0
ko:K02456	37	32.91666666666667	592.0833333333333	697.0
ko:K02600	37	36.5	1262.0	1190.0
ko:K03529	37	37.0	3566.0	3595.0
ko:K03569	37	37.0	1488.0	1298.0
ko:K03798	37	37.0	1885.0	1775.0
ko:K04487	37	36.0	1479.5	1469.0
ko:K07483	37	32.83333333333333	507.3333333333333	553.8333333333333
ko:K07566	37	37.0	1200.0	1227.0
ko:K09808	37	35.5	763.5	740.0
ko:K10439	37	29.666666666666664	1503.5	1439.0
ko:K15125	37	31.75	2122.5	2304.5
ko:K00133	36	35.5	1206.5	1126.5
ko:K00548	36	34.33333333333333	2437.666666666667	2459.333333333333
ko:K00549	36	36.0	1695.0	1705.0
ko:K00558	36	35.5	1039.0	910.5
ko:K00609	36	36.0	913.0	874.0
ko:K00721	36	34.833333333333336	718.5	721.6666666666667
ko:K00800	36	34.16666666666667	1500.3333333333333	1551.5
ko:K00948	36	36.0	1029.0	1059.0
ko:K01409	36	34.5	1018.5	997.0
ko:K01736	36	36.0	1251.0	1334.0
ko:K01755	36	35.5	1519.5	1534.5
ko:K01814	36	33.900000000000006	1002.4	1060.6
ko:K01845	36	35.5	1273.5	1291.0
ko:K01875	36	36.0	1614.0	1662.0
ko:K01921	36	32.833333333333336	1300.3333333333335	1338.8333333333333
ko:K01998	36	30.5	880.5	917.0
ko:K02038	36	35.0	1081.5	1133.5
ko:K02050	36	31.333333333333332	845.3333333333333	820.0
ko:K02314	36	32.333333333333336	1573.6666666666667	1481.6666666666667
ko:K02992	36	36.0	590.0	632.0
ko:K03100	36	35.5	969.5	972.5
ko:K03696	36	32.0	3512.5	3423.0
ko:K06966	36	36.0	687.0	672.0
ko:K07025	36	26.833333333333332	757.9166666666665	788.5
ko:K07462	36	35.5	2116.0	2087.0
ko:K07464	36	35.5	823.5	763.5
ko:K10716	36	35.25	1268.5	1267.25
ko:K13038	36	34.5	1359.0	1337.0
ko:K00012	35	33.25	1171.5	1115.5
ko:K00655	35	34.5	863.0	866.0
ko:K00927	35	33.0	1289.5	1236.0
ko:K00995	35	29.5	496.0	554.0
ko:K01791	35	31.5	1482.0	1592.5
ko:K01933	35	34.0	1217.5	1258.0
ko:K01991	35	33.83333333333333	1482.3333333333333	1386.0
ko:K02037	35	34.0	1046.5	1129.5
ko:K02342	35	32.0	650.0	592.0
ko:K02343	35	32.83333333333333	1845.8333333333333	1770.6666666666667
ko:K02601	35	35.0	771.0	789.0
ko:K03043	35	35.0	3498.0	3515.0
ko:K03046	35	34.5	4222.0	3975.5
ko:K03110	35	33.58333333333333	1179.0	1257.3333333333335
ko:K03111	35	35.0	462.0	476.0
ko:K04656	35	34.5	1825.0	1847.0
ko:K04758	35	33.5	324.5	341.0
ko:K06199	35	34.0	423.0	488.0
ko:K07487	35	35.0	621.0	692.0
ko:K08963	35	31.0	1145.0	1167.5
ko:K09903	35	35.0	849.0	814.0
ko:K12573	35	33.0	1801.0	1905.0
ko:K00239	34	31.5	1062.5	1112.5
ko:K00648	34	32.5	745.0	767.5
ko:K00759	34	31.0	726.0	733.5
ko:K00762	34	32.5	808.5	830.0
ko:K00766	34	29.5	1021.5	1014.0
ko:K01524	34	31.583333333333332	966.0833333333334	1047.4166666666665
ko:K01586	34	33.0	1550.0	1602.5
ko:K01628	34	29.166666666666664	767.1666666666666	782.8333333333334
ko:K01658	34	27.333333333333332	410.3333333333333	461.8333333333333
ko:K01696	34	31.5	1307.0	1357.0
ko:K01790	34	30.833333333333332	427.0	437.66666666666663
ko:K02007	34	30.0	671.6666666666667	720.5
ko:K02027	34	29.833333333333332	3493.1666666666665	3430.6666666666665
ko:K02238	34	32.166666666666664	1824.1666666666667	1747.6666666666665
ko:K02303	34	22.08333333333333	590.1666666666666	594.9166666666666
ko:K02335	34	33.2	2472.2	2600.2
ko:K03106	34	34.0	1604.0	1567.0
ko:K03517	34	34.0	1104.0	1070.0
ko:K03531	34	34.0	1597.0	1588.0
ko:K03630	34	34.0	660.0	669.0
ko:K03704	34	34.0	235.0	213.0
ko:K10441	34	25.233333333333334	2394.6666666666665	2381.1
ko:K21929	34	34.0	661.0	761.0
ko:K00014	33	32.25	973.0	926.5
ko:K00088	33	31.666666666666668	1959.6666666666667	1948.6666666666667
ko:K00342	33	29.0	1184.3333333333333	1058.3333333333333
ko:K00567	33	27.5	431.5	426.0
ko:K00640	33	32.0	631.5	670.0
ko:K00788	33	31.083333333333332	543.75	564.8333333333333
ko:K00826	33	32.0	1067.5	1073.5
ko:K00891	33	31.083333333333332	497.0	489.3333333333333
ko:K01190	33	31.5	2649.0	2417.5
ko:K01265	33	33.0	1035.0	1024.0
ko:K01803	33	31.0	935.5	933.0
ko:K02026	33	31.0	2490.0	2478.5
ko:K02337	33	32.0	2564.5	2647.0
ko:K02519	33	33.0	2121.0	2029.0
ko:K02933	33	33.0	622.0	572.0
ko:K03072	33	29.5	1602.5	1525.0
ko:K03076	33	33.0	1642.0	1726.0
ko:K03498	33	33.0	1516.0	1519.0
ko:K03500	33	31.5	1306.0	1307.0
ko:K03547	33	32.5	1410.0	1340.5
ko:K03885	33	31.5	675.5	701.0
