LengthBin	AnnotationState	Genes	WithinLengthBinPercent
<100 aa	No seed ortholog	5260	31.235154394299286
<100 aa	Orthology only	1760	10.451306413301662
<100 aa	Broad/family only	3376	20.04750593824228
<100 aa	Specific identifier	6444	38.26603325415677
100-199 aa	No seed ortholog	2618	10.786535371430926
100-199 aa	Orthology only	2502	10.308598739236125
100-199 aa	Broad/family only	6691	27.567879362201804
100-199 aa	Specific identifier	12460	51.336986527131145
200-399 aa	No seed ortholog	1141	3.3135854097694137
200-399 aa	Orthology only	1529	4.4403786954754025
200-399 aa	Broad/family only	9414	27.33925771040251
200-399 aa	Specific identifier	22350	64.90677818435267
>=400 aa	No seed ortholog	252	1.3818062181279815
>=400 aa	Orthology only	452	2.478477819816856
>=400 aa	Broad/family only	5484	30.070735318308934
>=400 aa	Specific identifier	12049	66.06898064374623
