File	Release	ExpectedBytes	ObservedBytes	ExpectedSHA256	ObservedSHA256	Status
CAZy.dmnd	db_v5-2-9_5-5-2026	2177198564	2177198564	aed31a864ee6fed9a5550eb34750b51f379cf151013f50a9cccd5bf2499b4662	aed31a864ee6fed9a5550eb34750b51f379cf151013f50a9cccd5bf2499b4662	PASS
dbCAN.hmm	db_v5-2-9_5-5-2026	129842960	129842960	396c791fb13defab152864d8046687ef03b492937ec6f9bbab008bc77cbaa7a5	396c791fb13defab152864d8046687ef03b492937ec6f9bbab008bc77cbaa7a5	PASS
dbCAN_sub.hmm	db_v5-2-9_5-5-2026	5132429983	5132429983	8e58b944108272142b57c0c260f996220b4f11c8ef290896a46d67dba6ab5136	8e58b944108272142b57c0c260f996220b4f11c8ef290896a46d67dba6ab5136	PASS
fam-substrate-mapping.tsv	db_v5-2-9_5-5-2026	94399	94399	6d31a84cac27dec72a3d0f209b81291336bccb8572abc5acb995d71f54df03dc	6d31a84cac27dec72a3d0f209b81291336bccb8572abc5acb995d71f54df03dc	PASS
TF.dmnd	db_v5-2-9_5-5-2026	84471	84471	bca72ab0a66b2b3086b3d32f7cbbd0c71b5ac08af105392d2e5bbfe86757bd5a	bca72ab0a66b2b3086b3d32f7cbbd0c71b5ac08af105392d2e5bbfe86757bd5a	PASS
TF.hmm	db_v5-2-9_5-5-2026	7738943	7738943	c8ec1ccd0d90c0e3f2c874e4cf9db3e3dcee2e34016d372592286d7ffae18a55	c8ec1ccd0d90c0e3f2c874e4cf9db3e3dcee2e34016d372592286d7ffae18a55	PASS
STP.hmm	db_v5-2-9_5-5-2026	11104988	11104988	a4a4b25b06b345636320aae7634574332ff85d3398ae34b2339c436d97251ffc	a4a4b25b06b345636320aae7634574332ff85d3398ae34b2339c436d97251ffc	PASS
TCDB.dmnd	db_v5-2-9_5-5-2026	13813605	13813605	13b1dfd70f3b9c656d59e44f5190d85fce36929f34218e5c76ad00dd1f63345a	13b1dfd70f3b9c656d59e44f5190d85fce36929f34218e5c76ad00dd1f63345a	PASS
PUL.dmnd	db_v5-2-9_5-5-2026	4219914	4219914	21c248e110256f69c5ce2cb55c4def215c6df3ae78d2920836dda95535ca8658	21c248e110256f69c5ce2cb55c4def215c6df3ae78d2920836dda95535ca8658	PASS
dbCAN-PUL.xlsx	db_v5-2-9_5-5-2026	125973	125973	68a2eaa0536bec8facc5bc2ae062a7d8d96deb1e991d2e7210418c42ff11c740	68a2eaa0536bec8facc5bc2ae062a7d8d96deb1e991d2e7210418c42ff11c740	PASS
dbCAN-PUL.tar.gz	db_v5-2-9_5-5-2026	154434	154434	e2227c0b9361825ff7f6cfeef0cf800f4a40e4ba598c52c2d306af4b06c4f49c	e2227c0b9361825ff7f6cfeef0cf800f4a40e4ba598c52c2d306af4b06c4f49c	PASS
sulfatlas_db.dmnd	db_v5-2-9_5-5-2026	102979860	102979860	2697f33e2d34042025c0c2ec87a755de0728e99957249d200a33aef4b03d88fb	2697f33e2d34042025c0c2ec87a755de0728e99957249d200a33aef4b03d88fb	PASS
peptidase_db.dmnd	db_v5-2-9_5-5-2026	332732665	332732665	fb985babab0b164467fbf5e601fc3b7d80872a22ab8763e2a31ae462cf52b451	fb985babab0b164467fbf5e601fc3b7d80872a22ab8763e2a31ae462cf52b451	PASS
