contigIdx	contigIdxMate	AvgCoverage
0	0	2.61951
0	1400	0.439024
1	1	2.35124
1	4282	0.446766
2	2	3.36523
3	3	3.58785
4	4	2.40274
5	5	3.99714
5	9324	0.42898
6	6	3.62591
7	7	3.85066
7	3681	0.0498953
7	12463	0.104676
8	8	2.0843
9	9	3.76466
9	2253	0.235341
9	4046	0.475436
10	10	12.8448
10	3271	0.245164
10	4595	0.0618167
10	5535	0.246426
10	8663	0.0630782
10	11924	0.0622372
10	12458	0.0630782
11	11	3.72344
12	12	2.05665
12	9056	0.250644
12	15415	0.385408
13	13	4.02893
13	7622	0.39382
14	14	8.4837
14	5765	0.779661
14	12468	0.683833
15	15	2.37678
15	15844	0.314348
16	16	1.79863
16	6412	0.385604
16	9823	0.384747
17	17	3.59022
17	12901	0.261316
18	18	4.71917
18	1494	0.175214
18	14789	0.166667
18	16505	0.0873016
19	19	1.52544
20	20	28.7699
20	2109	2.95658
20	3941	0.0930521
20	4990	2.22705
20	6242	0.0930521
20	17552	0.0930521
21	21	3.35388
22	22	5.88776
22	2101	0.0463177
22	3924	0.113787
23	23	2.33056
23	3736	0.138889
23	8655	0.137963
23	11592	0.54537
24	24	2.92352
24	3433	0.0822368
25	25	10.1349
25	954	0.664187
25	4119	0.294147
25	7073	0.296627
26	26	3.14627
27	27	4.27586
28	28	7.83752
28	3114	0.270802
28	5009	0.272315
28	10570	0.136157
29	29	2.58289
29	13096	0.0994695
30	30	3.19144
30	3270	0.0891795
30	6457	0.0850178
31	31	4.55737
31	12470	0.101833
32	32	2.96376
32	9964	0.123558
33	33	3.21414
33	10505	0.413721
33	13727	0.10395
34	34	3.4556
34	5903	0.0918555
34	11344	0.183711
35	35	2.18289
35	9887	0.272975
36	36	4.40166
37	37	3.46856
37	5975	0.397088
37	16017	0.0972866
38	38	3.22979
39	39	2.79784
39	9440	0.107914
39	10891	0.106475
39	16592	0.215827
40	40	7.91709
40	2968	0.156353
40	14233	0.0574169
41	41	3.78542
41	11884	0.243653
42	42	2.71887
43	43	5.84504
43	8734	0.0850277
43	12179	0.0462107
44	44	2.35226
44	9128	0.316319
45	45	1.94829
46	46	2.90212
47	47	3.92522
48	48	1.79224
49	49	5.89685
49	13285	0.0244086
49	18161	0.0249937
50	50	2.40107
51	51	4.6602
52	52	43.5832
52	2880	0.031518
52	6720	0.0319468
52	7198	0.0321612
52	7849	0.0321612
52	8913	0.0319468
52	12003	0.0321612
52	16655	1.43975
52	16732	0.128431
53	53	4.18164
53	12898	0.0959386
54	54	4.23753
54	17844	0.167935
55	55	2.25218
56	56	7.93667
56	4511	0.0192058
56	5766	0.0378926
56	11093	0.0193356
56	12447	0.0583961
57	57	3.56007
58	58	3.24291
59	59	3.73542
59	13541	0.0579374
60	60	2.05506
61	61	2.30592
61	18029	0.115296
62	62	4.86061
62	13007	0.1
63	63	4.22401
64	64	4.17797
64	1782	0.488334
64	15044	0.646229
65	65	3.03526
66	66	8.16496
66	3958	0.0085266
66	4922	0.0250682
66	7146	0.0085266
66	10573	0.00841292
66	12415	0.0170532
66	15336	0.0167121
66	16849	0.0085266
67	67	2.90634
67	17000	0.291707
68	68	2.89618
69	69	5.18779
69	9615	0.11592
70	70	1.94286
71	71	2.44841
72	72	2.33456
72	2771	0.137868
73	73	27.3118
73	811	0.725298
73	3900	0.091801
73	4904	0.820603
73	5461	0.713385
73	11399	0.735809
73	12367	1.46321
73	13096	0.0974071
73	14861	0.105116
74	74	2.27212
75	75	4.05797
75	17010	0.382779
76	76	2.31389
76	5773	0.373928
77	77	7.30925
77	6988	0.276299
77	8127	0.190114
78	78	5.17036
78	6597	1.12476
78	16682	0.189994
79	79	3.36438
80	80	3.85095
81	81	2.44809
82	82	3.38816
83	83	14.6616
83	136	0.0293255
83	394	0.02913
83	2832	0.0293255
83	5777	0.0293255
83	5951	0.057478
83	7472	0.0293255
83	7779	0.0293255
83	8677	0.145846
83	12067	0.114956
83	13611	0.0293255
83	13850	0.0879765
84	84	2.24664
85	85	8.95684
85	649	0.0270471
85	8843	0.218414
85	14487	0.0555761
86	86	3.49389
87	87	2.71205
88	88	3.65254
88	1439	0.563089
88	14436	0.141243
88	15233	0.399247
88	16858	0.544256
89	89	5.22325
89	2156	0.229424
90	90	3.05636
91	91	5.75397
91	8809	0.0566608
91	9818	0.0565349
92	92	2.25518
93	93	2.312
94	94	3.4875
94	17442	0.255682
95	95	20.514
95	8057	1.5242
95	8544	0.667516
95	15897	0.0955414
95	16107	0.281529
96	96	7.17362
96	1733	0.0437831
96	7305	0.0125934
97	97	2.62785
97	10439	0.249789
98	98	2.51449
98	6173	0.106007
99	99	2.80488
100	100	3.26594
101	101	3.34099
101	6948	0.132509
101	16703	0.198322
101	16893	0.132509
102	102	3.13914
102	15696	0.105411
103	103	2.84769
104	104	5.36355
104	5155	0.0483871
104	9781	0.288387
104	14044	0.143871
105	105	8.35013
105	1795	0.0956354
105	5289	0.071887
105	16276	0.072208
106	106	3.93386
107	107	4.23255
107	15079	0.0787402
108	108	3.02123
108	14250	0.302326
109	109	4.12367
109	2433	0.114271
110	110	3.02202
111	111	4.05023
111	8780	0.112828
111	12995	0.11592
111	15760	0.11592
112	112	3.34873
112	13220	0.282752
113	113	6.93404
113	2022	0.0203169
113	11726	0.0406339
114	114	1.97025
114	4720	0.247934
115	115	5.97048
115	1313	0.0721876
116	116	1.95833
117	117	3.63518
117	1824	0.12215
117	12447	0.243485
118	118	4.58256
118	11531	0.17321
118	15803	0.17321
119	119	2.32593
120	120	4.38266
121	121	2.37487
121	1310	0.0795334
122	122	6.25698
122	9904	0.245484
122	17881	0.246305
123	123	8.59599
123	3775	0.00979496
123	4101	0.0488442
123	8149	0.00907666
123	15356	0.0195899
124	124	3.10249
124	11989	0.0680272
125	125	2.07668
126	126	4.51181
126	3072	0.0711048
127	127	2.47927
127	13000	0.137513
128	128	2.49927
129	129	2.18058
129	8004	0.278293
130	130	19.298
130	157	0.0929098
130	1588	0.00937852
130	2330	0.925785
130	2719	0.0655871
130	6094	0.0839065
130	6110	0.131237
130	6189	0.111229
130	7088	0.00937852
130	7472	0.00937852
130	8270	0.139427
130	12972	0.00875328
130	13133	0.211017
130	14727	0.12067
130	14826	0.00937852
130	14962	0.232087
130	15249	0.120795
131	131	3.01742
131	2340	0.0607267
132	132	2.59111
133	133	6.32382
133	15253	0.0295482
133	16868	0.0449778
134	134	2.61725
135	135	2.68053
135	3387	0.0770416
136	83	0.0767519
136	136	23.6695
136	494	0.139899
136	517	0.102421
136	1213	0.14084
136	2786	0.152477
136	3313	0.102678
136	3386	0.0641739
136	3440	0.0124069
136	6156	0.154017
136	8053	0.0128348
136	8988	0.0770086
136	9158	0.08933
136	9411	0.0128348
136	9728	0.0898434
136	13052	0.114828
136	13182	0.0128348
136	13611	0.127834
136	13691	0.0897579
136	13850	1.11218
136	14165	0.153846
136	14432	0.140156
136	14853	0.166253
136	15001	0.127663
136	16016	0.115171
137	137	6.00753
137	6614	0.0664599
138	138	2.50456
139	139	4.20704
139	5164	0.422535
140	140	4.06604
140	445	0.071996
141	141	2.87116
142	142	3.42298
142	12005	0.756596
142	18136	0.254468
143	143	2.02078
144	144	2.49605
145	145	4.24453
145	14371	0.131179
145	15993	0.131709
146	146	2.78751
147	147	3.61079
147	6281	0.131637
148	148	2.99563
148	3025	0.131119
148	10569	0.131119
149	149	3.23379
149	10935	0.24634
150	150	2.18887
151	151	2.85886
152	152	1.78879
153	153	3.83851
153	7253	0.172414
153	10350	0.343103
154	154	8.97397
154	1133	0.198304
154	16089	0.13136
155	155	6.16821
155	6184	0.0991722
155	13876	0.0745033
155	15419	0.0495033
156	156	2.84997
156	12580	0.370798
157	130	1.03058
157	157	11.1223
157	458	0.416956
157	2330	0.0917304
157	6429	0.405837
157	8110	0.416956
158	158	3.41884
159	159	4.16846
159	15547	0.371594
160	160	7.43246
160	1530	3.35929
160	5258	1.67355
160	18348	0.267355
161	161	3.50526
161	12696	0.123754
161	16087	0.124308
162	162	4.29709
162	4162	0.0886493
162	11191	0.0449236
163	163	3.12455
164	164	6.47444
164	6537	0.0208943
164	11746	0.0625435
164	12834	0.0208943
165	165	11.1389
165	261	0.00325839
165	367	0.00280222
165	2331	0.00325839
165	3271	0.00321495
165	5535	0.00325839
165	6536	0.00940589
165	7809	0.00957967
165	9288	0.00640817
165	9913	0.00325839
165	11924	0.00323667
165	14972	0.00321495
165	17018	0.00960139
165	17502	0.00306289
166	166	23.215
