Method	RefinedID	SourceBin	Contigs	FASTA	SHA256
DAS Tool	dastool__001	metabat2-mock1__016_sub.fa	476	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__001.fna	736a2f90cab23e6b0ddec62923220e78300099555f66b37aabe351d02006c19a
DAS Tool	dastool__002	metabat2-multisample__008.fa	72	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__002.fna	81abc5afae69006fdfca04e97708181a09331fca546adf115b78fd7ae40b90bd
DAS Tool	dastool__003	metabat2-multisample__024.fa	78	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__003.fna	98f90aaa1fb8bbb19e5606f6db6db43f5d5db229d33008d122bf04bcd8dd4eed
DAS Tool	dastool__004	semibin2__004.fa	258	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__004.fna	fcf0a291bbda6a158ae8ac5c63a27fce28174e4127483269e42913d7dc3e9c77
DAS Tool	dastool__005	semibin2__012.fa	42	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__005.fna	caf3108ded790222573031333e70f6dc2a6594e067562b86d6bf73bd5c9a1845
DAS Tool	dastool__006	semibin2__015.fa	272	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__006.fna	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33
DAS Tool	dastool__007	semibin2__018_sub.fa	323	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__007.fna	311f4315a488d8596852e160ebe84ef37b1a1eb91b39cc75a5b8b72cb01d31b2
DAS Tool	dastool__008	semibin2__023.fa	70	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__008.fna	2580b58a3218f0dafa857976c91fa594af7266adba20fd6fa77a9e4e5bd73c01
DAS Tool	dastool__009	semibin2__030.fa	64	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__009.fna	a7fe709ab575ab387dd9bc6277cb8921a770979c6d87ea2543ff64c7e11c0e0f
DAS Tool	dastool__010	semibin2__031_sub.fa	71	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__010.fna	efc7822d8e9beb71a98b06235138c2315da38c6e09957c4ed8cc712c46def5f1
DAS Tool	dastool__011	semibin2__032.fa	43	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__011.fna	622055352896c8bf3ef0de86e566867b378a9b095b3bced0fe3721819a43be2a
DAS Tool	dastool__012	semibin2__039.fa	13	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__012.fna	de9ebb57e77bbd937144700aabc6231a2c50da8c429c824fb3c5ce40d88f3bff
DAS Tool	dastool__013	semibin2__040.fa	128	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__013.fna	d0e99a37eb39dac8f3a4574c737b55b579aa992aeab92c84608e635d3396338e
DAS Tool	dastool__014	semibin2__043.fa	8	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__014.fna	f9cb447c36eebe1ad17d2c773f6fc751e2e9892b50c0415deed4835901794c1b
DAS Tool	dastool__015	taxvamb__006_sub.fa	151	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__015.fna	100bf39a98118b67085525f6e99458356ddea1f1f6b46d05dae74dce61def008
DAS Tool	dastool__016	taxvamb__008.fa	83	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__016.fna	0c9920d688c8e18cd58113f4ed884bd72d1ed75f63b9b099fc45adee9f24da52
DAS Tool	dastool__017	taxvamb__011.fa	550	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__017.fna	7d631028c53dea07b1c534f6320628154f0f8ef51da8100d41ae156e11928095
DAS Tool	dastool__018	taxvamb__013.fa	194	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__018.fna	076b2070c4713fe54b659398d012c4567a252186d70d94f0e361ffc997441c91
DAS Tool	dastool__019	taxvamb__024_sub.fa	360	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__019.fna	30f4fe62c3ba7cd2a2a86ea7031779f4d31abe75cc7a9ba4abce59f34ae6a48d
DAS Tool	dastool__020	taxvamb__025.fa	10	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__020.fna	e6c8d3e6ccdd7a8fb9e8a2850cb833eb7eed7e1bfab49c6efebb46d2e1d29a16
DAS Tool	dastool__021	taxvamb__033.fa	189	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__021.fna	afb12deb73b4356f25a96068a229b7ad32800359adc1e348eef93b3735212546
DAS Tool	dastool__022	taxvamb__034.fa	43	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__022.fna	974df6cef6f1d99aa3e7ab61f82f61586c31582bead915eb3dd0d4177bbdc539
DAS Tool	dastool__023	vamb__002_sub.fa	52	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__023.fna	ef804b3d04b7ae2013b74111665a04e3e42e1cf46987b5805e69f9c9483b75c0
DAS Tool	dastool__024	vamb__013_sub.fa	52	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__024.fna	71faab037bc16455e88673cd495f7f871043976346cc8847d1f2905d475d9f3e
DAS Tool	dastool__025	vamb__016_sub.fa	878	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__025.fna	13c7812438394b33785b8a7aa8d94156ada633c2838a3a0c212c55687725d4d6
DAS Tool	dastool__026	vamb__024_sub.fa	407	${ARTICLE43_WORK_DIR}/qc/all-refined/dastool__026.fna	f84a8279641408087e1c97e131dd7655d92d96941f7fbd039e9a970170c7208d
Binette	binette__001	article43_bin1.fa	92	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__001.fna	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290
Binette	binette__002	article43_bin10.fa	57	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__002.fna	73842ce20cfa7e89413c7d161072d3fbd265f884fc4eda97097dc314ac4607d4
Binette	binette__003	article43_bin11.fa	6	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__003.fna	35d7b3ed3d8295ebdcd0d79fd512e3efee1582f24cc36bb8179807815f1dd6aa
Binette	binette__004	article43_bin12.fa	106	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__004.fna	79ca0113327ca98aee8fa1cbb0b56a5c4aa9a4e1b1bf2da0eabe481908324b26
Binette	binette__005	article43_bin13.fa	14	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__005.fna	50af7f6afa2a049f3ddcab14c3f7f9f8ac50e0a7df9091a462381af260bf6df6
Binette	binette__006	article43_bin14.fa	13	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__006.fna	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf
Binette	binette__007	article43_bin15.fa	31	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__007.fna	59ca1e9e2bd2d44885bc9f7d1fef25a15daa36ce2efcff633f13215e19426086
Binette	binette__008	article43_bin16.fa	126	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__008.fna	967a05d2ab0adc374f33378f6009c3ab244f39ee868fdce056db73690b85d3b4
Binette	binette__009	article43_bin17.fa	283	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__009.fna	88d4ba3a1f67c50c0ebc7d85dec2279e7313562b7be572dae13100064ad25c51
Binette	binette__010	article43_bin18.fa	221	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__010.fna	aadfb6dfba7397fdde86d09111a84e3e702bdccc255d4ff8a27a235224496ab8
Binette	binette__011	article43_bin19.fa	682	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__011.fna	d22e98a635a8a093307d452293f1a51ee5984376530952e790f437bf416d5f2b
Binette	binette__012	article43_bin2.fa	77	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec
Binette	binette__013	article43_bin20.fa	70	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__013.fna	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c
Binette	binette__014	article43_bin21.fa	996	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__014.fna	7a6bae8324de5738961f6cecc42d9e50801ce2de695f004f9549575464d2803c
