SpeciesCluster	SpeciesMembers	NearCloneClusters	SplitsAt99_9Pct	NearCloneClusterIDs
10_1	5	1	False	10_1
11_1	5	1	False	11_1
12_1	6	1	False	12_1
13_1	3	1	False	13_1
14_1	6	1	False	14_1
15_1	5	1	False	15_1
16_1	4	1	False	16_1
17_1	4	1	False	17_1
18_1	5	1	False	18_1
19_1	6	1	False	19_1
1_1	6	1	False	1_1
20_1	5	1	False	20_1
21_1	6	1	False	21_1
22_1	6	1	False	22_1
23_1	4	1	False	23_1
24_1	5	2	True	24_1;24_2
2_1	6	1	False	2_1
3_1	6	1	False	3_1
4_1	6	1	False	4_1
5_1	6	1	False	5_1
6_1	4	1	False	6_1
7_1	6	1	False	7_1
8_1	3	1	False	8_1
9_1	6	1	False	9_1
