Branch	SourceBranch	InputGenomes	Representatives	RetentionPct
Species 95% ANI	Binette selected set	23	16	69.56521739130434
Species 95% ANI	MetaBAT2-MOCK1-only	22	0	0.0
Species 95% ANI	MetaBAT2-multisample	22	1	4.545454545454546
Species 95% ANI	SemiBin2-self-supervised	24	4	16.666666666666668
Species 95% ANI	TaxVAMB-Kraken2	18	1	5.555555555555555
Species 95% ANI	VAMB-taxonomy-free	15	2	13.333333333333334
Near-clone 99.9% ANI	Binette selected set	23	16	69.56521739130434
Near-clone 99.9% ANI	MetaBAT2-MOCK1-only	22	0	0.0
Near-clone 99.9% ANI	MetaBAT2-multisample	22	1	4.545454545454546
Near-clone 99.9% ANI	SemiBin2-self-supervised	24	4	16.666666666666668
Near-clone 99.9% ANI	TaxVAMB-Kraken2	18	2	11.11111111111111
Near-clone 99.9% ANI	VAMB-taxonomy-free	15	2	13.333333333333334
