SGB	MOCK1RelativeAbundancePct	MOCK2RelativeAbundancePct	MOCK1MeanDepth	MOCK2MeanDepth	MOCK1CoveredFractionPct	MOCK2CoveredFractionPct
SGB_001	2.3066957	2.3827043	5.941474	6.071589	99.47823	99.56053499999999
SGB_002	3.0583746	3.0348976	7.877611	7.733503	99.81489	99.78565
SGB_003	1.7636184	1.6475351	4.5426416	4.1982365	98.144215	97.76654
SGB_004	1.8848121	1.8520417	4.8548064	4.7193584	98.86677	98.80782
SGB_005	1.9107331	1.9405011	4.9215727	4.9447703	98.88759999999999	98.91623
SGB_006	1.5964518	1.6186742	4.112062	4.1246934	95.517385	95.54007
SGB_007	1.7696209	1.6587929	4.5581026	4.2269235	98.23522	97.65671999999999
SGB_008	0.8706817	0.8903032	2.242659	2.268664	87.315845	87.451386
SGB_009	1.3039842	0.7386704	3.3587384	1.8822744	94.770825	82.225055
SGB_010	7.157246	7.42463	18.435284	18.919388	99.96076000000001	99.970657
SGB_011	3.1542282	3.2242842	8.124507	8.216097	99.790245	99.78818000000001
SGB_012	1.3077533	1.378362	3.3684468	3.5123317	94.84786	95.23508000000001
SGB_013	0.9401016	1.0253962	2.4214675	2.6129072	88.617265	90.280247
SGB_014	2.7004342	2.7584476	6.9556456	7.029056	99.86121999999999	99.80472
SGB_015	0.990052	0.85030365	2.5501273	2.1667373	90.346617	86.13604000000001
SGB_016	6.110382	6.1029773	15.738823	15.551559	99.94495	99.94863000000001
SGB_017	3.4172714	3.4898365	8.80204	8.892775	99.864763	99.87926499999999
SGB_018	1.8935862	1.3002081	4.8774066	3.3131807	95.833373	91.972375
SGB_019	2.8278458	2.7998137	7.2838264	7.1344647	99.833536	99.833935
SGB_020	1.3177088	1.4196637	3.39409	3.6175764	95.514214	96.08256
SGB_021	1.3742275	1.413655	3.539668	3.6022651	95.86317	96.114904
SGB_022	2.875301	2.9863486	7.406059	7.6097913	99.8624	99.88307400000001
SGB_023	7.900435	8.001461	20.349552	20.389263	99.96679	99.96767600000001
SGB_024	9.683886	9.929487	24.943275	25.302246	99.987364	99.98572999999999
