Category	Database	GeneFamilies	AnnotatedGeneFamilies	AnnotatedPct
Core >=95%	NR50	1591	1591	100.0
Core >=95%	GO	1591	1387	87.1779
Core >=95%	KO	1591	372	23.3815
Core >=95%	KEGG	1591	590	37.0836
Core >=95%	Pfam	1591	1389	87.3036
Core >=95%	EC	1591	684	42.9918
Core >=95%	eggNOG	1591	410	25.77
Accessory 5-<95%	NR50	4542	4542	100.0
Accessory 5-<95%	GO	4542	2231	49.1193
Accessory 5-<95%	KO	4542	355	7.8159
Accessory 5-<95%	KEGG	4542	1781	39.2118
Accessory 5-<95%	Pfam	4542	2406	52.9723
Accessory 5-<95%	EC	4542	444	9.7754
Accessory 5-<95%	eggNOG	4542	1322	29.1061
Rare >0-<5%	NR50	1613	1612	99.938
Rare >0-<5%	GO	1613	554	34.3459
Rare >0-<5%	KO	1613	72	4.4637
Rare >0-<5%	KEGG	1613	614	38.0657
Rare >0-<5%	Pfam	1613	579	35.8958
Rare >0-<5%	EC	1613	92	5.7037
Rare >0-<5%	eggNOG	1613	211	13.0812
Undetected	NR50	3323	3316	99.7893
Undetected	GO	3323	1069	32.1697
Undetected	KO	3323	102	3.0695
Undetected	KEGG	3323	868	26.121
Undetected	Pfam	3323	1066	32.0794
Undetected	EC	3323	192	5.7779
Undetected	eggNOG	3323	262	7.8844
