Sample	CCMD34381688ST-21-0	G78505	G88884	G88970	G89027	H2M514903	H3M518116	HD-1	HD-5	HV-6	LD-48	M1.48.ST	M2.48.ST	M2.58.ST	N021	S353	SID530054	SZAXPI003417-4	T2D-025	T2D-063	T2D-105	YSZC12003_36795
CCMD34381688ST-21-0	0.0	0.42005701	0.43927076	0.40290784	0.37052522	0.40546815	0.43241279	0.40199953	0.40710784	0.43202125	0.42853779	0.42334813	0.46530902	0.40358162	0.41991545	0.43582163	0.41397719	0.44729153	0.40694081	0.43181818	0.43192133	0.43279874
G78505	0.42005701	0.0	0.46040516	0.3687789	0.30843869	0.38555241	0.39291465	0.38839849	0.38626609	0.39433609	0.41783798	0.31492718	0.3923881	0.30856461	0.42893082	0.46198217	0.48675	0.44769268	0.42676448	0.35420394	0.35973692	0.50336193
G88884	0.43927076	0.46040516	0.0	0.43748434	0.45113754	0.46826625	0.45776567	0.44486157	0.4656526	0.47869491	0.46489971	0.49870399	0.51946819	0.47074055	0.47923997	0.32583653	0.39351379	0.5117266	0.47099219	0.49856584	0.49217567	0.36795903
G88970	0.40290784	0.3687789	0.43748434	0.0	0.35336732	0.40592243	0.42081784	0.38944365	0.3979975	0.41182315	0.42212623	0.38860244	0.4479572	0.38999734	0.39646831	0.43671836	0.43534273	0.45320309	0.40853218	0.42307692	0.42430484	0.45061169
G89027	0.37052522	0.30843869	0.45113754	0.35336732	0.0	0.37923376	0.40650195	0.36242789	0.40544041	0.40119605	0.40954774	0.30867499	0.36695051	0.31778679	0.41114983	0.4562982	0.46390474	0.435653	0.40090543	0.3677531	0.37752002	0.48553055
H2M514903	0.40546815	0.38555241	0.46826625	0.40592243	0.37923376	0.0	0.3856991	0.38649389	0.37653007	0.39351608	0.40386572	0.4079616	0.42286751	0.3803491	0.40312815	0.4674221	0.44252728	0.46353552	0.40081177	0.38890486	0.39198895	0.4765898
H3M518116	0.43241279	0.39291465	0.45776567	0.42081784	0.40650195	0.3856991	0.0	0.35825243	0.34712882	0.32264845	0.3244002	0.4305004	0.46900529	0.40074113	0.3530729	0.47693434	0.47085415	0.39456907	0.3405487	0.36640798	0.36631016	0.47566964
HD-1	0.40199953	0.38839849	0.44486157	0.38944365	0.36242789	0.38649389	0.35825243	0.0	0.38593156	0.38081603	0.37295656	0.41512268	0.43664897	0.37886792	0.38634797	0.47169811	0.45567616	0.40580031	0.35101367	0.42007528	0.39170165	0.45985091
HD-5	0.40710784	0.38626609	0.4656526	0.3979975	0.40544041	0.37653007	0.34712882	0.38593156	0.0	0.28830753	0.31639428	0.43756558	0.46227775	0.3946046	0.33575363	0.4704734	0.44157412	0.3764566	0.30404713	0.35910224	0.36972112	0.46736701
HV-6	0.43202125	0.39433609	0.47869491	0.41182315	0.40119605	0.39351608	0.32264845	0.38081603	0.28830753	0.0	0.29793282	0.4354457	0.4563013	0.40379047	0.32467205	0.49253731	0.44564955	0.37942504	0.30514988	0.34006734	0.35779325	0.48663574
LD-48	0.42853779	0.41783798	0.46489971	0.42212623	0.40954774	0.40386572	0.3244002	0.37295656	0.31639428	0.29793282	0.0	0.45059388	0.46521942	0.42098609	0.33487918	0.48826842	0.47410817	0.35247059	0.28123419	0.3619022	0.35427529	0.47825146
M1.48.ST	0.42334813	0.31492718	0.49870399	0.38860244	0.30867499	0.4079616	0.4305004	0.41512268	0.43756558	0.4354457	0.45059388	0.0	0.38069266	0.32246485	0.46105997	0.50051653	0.51364087	0.46958403	0.44783266	0.38318034	0.37689448	0.53022294
M2.48.ST	0.46530902	0.3923881	0.51946819	0.4479572	0.36695051	0.42286751	0.46900529	0.43664897	0.46227775	0.4563013	0.46521942	0.38069266	0.0	0.36917273	0.48825542	0.53320817	0.54036281	0.43110599	0.45976207	0.43353675	0.43358075	0.5492151
M2.58.ST	0.40358162	0.30856461	0.47074055	0.38999734	0.31778679	0.3803491	0.40074113	0.37886792	0.3946046	0.40379047	0.42098609	0.32246485	0.36917273	0.0	0.43113325	0.45993757	0.45782828	0.45185185	0.40988593	0.35865724	0.36671368	0.49258916
N021	0.41991545	0.42893082	0.47923997	0.39646831	0.41114983	0.40312815	0.3530729	0.38634797	0.33575363	0.32467205	0.33487918	0.46105997	0.48825542	0.43113325	0.0	0.4866061	0.44413408	0.39709223	0.34300919	0.38429209	0.4118234	0.48233026
S353	0.43582163	0.46198217	0.32583653	0.43671836	0.4562982	0.4674221	0.47693434	0.47169811	0.4704734	0.49253731	0.48826842	0.50051653	0.53320817	0.45993757	0.4866061	0.0	0.3164219	0.51391053	0.47848577	0.48979592	0.50673317	0.31482412
SID530054	0.41397719	0.48675	0.39351379	0.43534273	0.46390474	0.44252728	0.47085415	0.45567616	0.44157412	0.44564955	0.47410817	0.51364087	0.54036281	0.45782828	0.44413408	0.3164219	0.0	0.50457516	0.46695832	0.48139653	0.49720127	0.32507289
SZAXPI003417-4	0.44729153	0.44769268	0.5117266	0.45320309	0.435653	0.46353552	0.39456907	0.40580031	0.3764566	0.37942504	0.35247059	0.46958403	0.43110599	0.45185185	0.39709223	0.51391053	0.50457516	0.0	0.24074074	0.39883662	0.3766427	0.51714286
T2D-025	0.40694081	0.42676448	0.47099219	0.40853218	0.40090543	0.40081177	0.3405487	0.35101367	0.30404713	0.30514988	0.28123419	0.44783266	0.45976207	0.40988593	0.34300919	0.47848577	0.46695832	0.24074074	0.0	0.36098475	0.3648788	0.48172043
T2D-063	0.43181818	0.35420394	0.49856584	0.42307692	0.3677531	0.38890486	0.36640798	0.42007528	0.35910224	0.34006734	0.3619022	0.38318034	0.43353675	0.35865724	0.38429209	0.48979592	0.48139653	0.39883662	0.36098475	0.0	0.32780083	0.51274258
T2D-105	0.43192133	0.35973692	0.49217567	0.42430484	0.37752002	0.39198895	0.36631016	0.39170165	0.36972112	0.35779325	0.35427529	0.37689448	0.43358075	0.36671368	0.4118234	0.50673317	0.49720127	0.3766427	0.3648788	0.32780083	0.0	0.52202247
YSZC12003_36795	0.43279874	0.50336193	0.36795903	0.45061169	0.48553055	0.4765898	0.47566964	0.45985091	0.46736701	0.48663574	0.47825146	0.53022294	0.5492151	0.49258916	0.48233026	0.31482412	0.32507289	0.51714286	0.48172043	0.51274258	0.52202247	0.0
