File	PrimaryBytes	ReplayBytes	PrimarySHA256	ReplaySHA256	ByteIdentical	Seed	RandomOutputRequested
fmt-casewise-sharing-long.tsv	6226	6226	e2fe1ffa346c679eb92eb88baaf8c30d70345821b7f974571e70870edcccf2bb	e2fe1ffa346c679eb92eb88baaf8c30d70345821b7f974571e70870edcccf2bb	True	20260753	False
fmt-casewise-sharing-summary.tsv	301	301	0d1ccc3ef345e05365ad8770e09ccd9698f8dfa01b03aac7560abd58371a2088	0d1ccc3ef345e05365ad8770e09ccd9698f8dfa01b03aac7560abd58371a2088	True	20260753	False
fmt-casewise-sharing.tsv	1402	1402	1d51827858671ebe78e275f0f67564060cfc51b252331065257f7feddcd0e320	1d51827858671ebe78e275f0f67564060cfc51b252331065257f7feddcd0e320	True	20260753	False
fmt-competing-strain-events.tsv.gz	15058	15058	5b8ce91d43efff3bf19db0cd5aa95099a32ecdbd591294bc7458d23f9e9f28a1	5b8ce91d43efff3bf19db0cd5aa95099a32ecdbd591294bc7458d23f9e9f28a1	True	20260753	False
fmt-pure-source-gate-audit.tsv.gz	1883	1883	6285a87547710e79ea2c5c276980ccdc63cd98133c87115f5a766ddc24c7b770	6285a87547710e79ea2c5c276980ccdc63cd98133c87115f5a766ddc24c7b770	True	20260753	False
fmt-sample-metadata.tsv.gz	1813	1813	6709ec8930078aa0f53ad78541c98e236746fce81f5a60de04d7997d6fad5b4d	6709ec8930078aa0f53ad78541c98e236746fce81f5a60de04d7997d6fad5b4d	True	20260753	False
fmt-source-event-summary.tsv	325	325	f26a91e4eda884aaaaee2b93b9f0701655859b0591ab1ccc05df841ef68cb4c2	f26a91e4eda884aaaaee2b93b9f0701655859b0591ab1ccc05df841ef68cb4c2	True	20260753	False
mother-infant-design.tsv	453	453	892d0840d076c91a5b1959b47f4e1c209650bccc437537f9061a70f91f16944a	892d0840d076c91a5b1959b47f4e1c209650bccc437537f9061a70f91f16944a	True	20260753	False
mother-infant-evidence-ledger.tsv	429	429	9348f724c138afaceb657ac75aab4a8a2095a7444bcab9d37df9d6e6b39a0875	9348f724c138afaceb657ac75aab4a8a2095a7444bcab9d37df9d6e6b39a0875	True	20260753	False
mother-infant-pairwise-sharing.tsv	8221	8221	6d101fb01c2675db0aaeeb9cae8491fc2d010bfbc78a0e3dbcdf8093029d9481	6d101fb01c2675db0aaeeb9cae8491fc2d010bfbc78a0e3dbcdf8093029d9481	True	20260753	False
mother-infant-rank-sensitivity.tsv	2484	2484	10d4baeacc68009f16851d6c859ddad8f287d2f68b258f9b2b4fc36a6d09d980	10d4baeacc68009f16851d6c859ddad8f287d2f68b258f9b2b4fc36a6d09d980	True	20260753	False
mother-infant-sample-metadata.tsv	641	641	1eb339025d1237d067bfc92c9a760a328d239e90283852df1f0ab7bc30c67dc0	1eb339025d1237d067bfc92c9a760a328d239e90283852df1f0ab7bc30c67dc0	True	20260753	False
mother-infant-sharing-summary.tsv	458	458	be07ce1076ec1370fa5d48059ac0eb1d37859fb421cad665be10c1aa50d9bedc	be07ce1076ec1370fa5d48059ac0eb1d37859fb421cad665be10c1aa50d9bedc	True	20260753	False
mother-infant-species-profile.tsv.gz	28167	28167	490d9cbbe29769d8ab9a764ec5da7504107d9987622005362c5caaff47fb68b7	490d9cbbe29769d8ab9a764ec5da7504107d9987622005362c5caaff47fb68b7	True	20260753	False
published-mother-infant-strain-evidence.tsv	630	630	8e3066cf7122eb529a000a0555d06a8f2af5b07afc5a2f1cb8b4f77589b20f93	8e3066cf7122eb529a000a0555d06a8f2af5b07afc5a2f1cb8b4f77589b20f93	True	20260753	False
relatedness-classifier-performance.tsv	304	304	157d56b454d930913f7f43414081e1728f4109a483dc749f060891fee3f470e6	157d56b454d930913f7f43414081e1728f4109a483dc749f060891fee3f470e6	True	20260753	False
summary.json	1100	1100	e9d2527dd65b80081e23cc07bbc64ebb3e4a9a04d51ea6dca1cc45b3de2ad31e	e9d2527dd65b80081e23cc07bbc64ebb3e4a9a04d51ea6dca1cc45b3de2ad31e	True	20260753	False
transmission-evidence-ladder.tsv	754	754	bf6009591e25cfc24c066fc3e7420642cfb30f1525fb21af827e62864e4d7dd8	bf6009591e25cfc24c066fc3e7420642cfb30f1525fb21af827e62864e4d7dd8	True	20260753	False
