Dataset	Library	Platform	PhageID	BreadthPct	MeanDepthX	InputGenomeCopies	InputCPM	PresenceDepthGateX	PresenceBreadthGatePct	Present	QuantificationUnit	Source
lib1_illumina	1	Illumina	CDMH1	0	0	169000	100	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	CDMH1	0	0	169000	100	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	CDMH1	0	0	169000	100	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	CDMH1	0	0	169000	100	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	DSS3_PM1	98.5509	708.746	62567272.73	37091.80629	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	DSS3_PM1	98.4995	990.308	62567272.73	37091.80629	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	DSS3_PM1	98.5138	531.888	62567272.73	37091.80629	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	DSS3_PM1	98.5809	2230.94	62567272.73	37091.80629	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	HP1	0	0	119757670.5	70996.03549	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	HP1	0	0	119757670.5	70996.03549	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	HP1	0	0	119757670.5	70996.03549	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	HP1	0	0	119757670.5	70996.03549	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	KUW1	99.9978	36.8021	72995151.52	43273.774	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	KUW1	100	139.115	72995151.52	43273.774	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	KUW1	100	49.0308	72995151.52	43273.774	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	KUW1	100	224.948	72995151.52	43273.774	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	PARMAL1	100	257.51	200736666.7	119002.8785	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	PARMAL1	100	792.204	200736666.7	119002.8785	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	PARMAL1	100	283.657	200736666.7	119002.8785	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	PARMAL1	100	1333.37	200736666.7	119002.8785	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	phix174	0	0	5164751.286	3061.823632	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	phix174	0	0	5164751.286	3061.823632	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	phix174	0	0	5164751.286	3061.823632	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	phix174	0	0	5164751.286	3061.823632	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	S-RSM4	69.6391	2.94111	465530.303	275.9807015	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	S-RSM4	98.2973	9.05103	465530.303	275.9807015	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	S-RSM4	61.2587	2.15392	465530.303	275.9807015	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	S-RSM4	99.6086	14.1461	465530.303	275.9807015	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	vB_Eco_mar001J1	100	2228.27	53672905.53	31818.95147	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	vB_Eco_mar001J1	100	2716.82	53672905.53	31818.95147	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	vB_Eco_mar001J1	100	1406.65	53672905.53	31818.95147	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	vB_Eco_mar001J1	100	6351.74	53672905.53	31818.95147	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	vB_Eco_mar002J2	100	2232.39	143127748.1	84850.53727	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	vB_Eco_mar002J2	100	2717.09	143127748.1	84850.53727	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	vB_Eco_mar002J2	100	1409.77	143127748.1	84850.53727	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	vB_Eco_mar002J2	100	6359.25	143127748.1	84850.53727	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	vB_Eco_mar003J3	100	602.431	79342555.99	47036.71086	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	vB_Eco_mar003J3	100	805.091	79342555.99	47036.71086	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	vB_Eco_mar003J3	100	422.613	79342555.99	47036.71086	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	vB_Eco_mar003J3	100	1830.13	79342555.99	47036.71086	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	vB_Eco_mar005P1	0.394581	0.0231026	53450591.72	31687.157	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	vB_Eco_mar005P1	0.267027	0.0282882	53450591.72	31687.157	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	vB_Eco_mar005P1	0.163316	0.0196158	53450591.72	31687.157	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	vB_Eco_mar005P1	0.616309	0.0710067	53450591.72	31687.157	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	vB_Eco_SLUR29	91.6758	128.229	684329545.5	405691.6313	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	vB_Eco_SLUR29	94.0691	163.855	684329545.5	405691.6313	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	vB_Eco_SLUR29	90.369	78.8947	684329545.5	405691.6313	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	vB_Eco_SLUR29	95.2956	370.979	684329545.5	405691.6313	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	vB_EcoS_swan01	100	2314.79	76036616.16	45076.84791	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	vB_EcoS_swan01	100	2995.61	76036616.16	45076.84791	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	vB_EcoS_swan01	100	1548.88	76036616.16	45076.84791	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	vB_EcoS_swan01	100	6859.28	76036616.16	45076.84791	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	vB_Vpa_sm033	100	332.182	82540671.33	48932.65214	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib2_illumina	2	Illumina	vB_Vpa_sm033	100	364.355	82540671.33	48932.65214	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib3_illumina	3	Illumina	vB_Vpa_sm033	100	210.966	82540671.33	48932.65214	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
pooled_illumina	pool	Illumina	vB_Vpa_sm033	100	907.502	82540671.33	48932.65214	1.0	75.0	True	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
lib1_illumina	1	Illumina	vB_VpaS_sm032	73.2852	2.3816	52465265.15	31103.02506	1.0	75.0	False	reference sequence before vOTU collapse	Cook et al. 2024 Supplementary Table S4
