PhageID	InputGenomeCopies	InputCPM	MeanDepthAcrossLibrariesX	MeanBreadthAcrossLibrariesPct	PooledMeanDepthX	PooledBreadthPct	ReplicatesPresent	AbundanceInterpretation
vB_Eco_SLUR29	684329545.5	405691.6313	123.659567	92.037967	370.979	95.2956	3	Same-vOTU cross-mapping risk
PARMAL1	200736666.7	119002.8785	444.457	100.0	1333.37	100.0	3	Sequence-level value; retain breadth gate
vB_Eco_mar002J2	143127748.1	84850.53727	2119.75	100.0	6359.25	100.0	3	Duplicate-reference multi-mapping risk
HP1	119757670.5	70996.03549	0.0	0.0	0.0	0.0	0	Sequence-level value; retain breadth gate
vB_Vpa_sm033	82540671.33	48932.65214	302.501	100.0	907.502	100.0	3	Sequence-level value; retain breadth gate
vB_Eco_mar003J3	79342555.99	47036.71086	610.045	100.0	1830.13	100.0	3	Sequence-level value; retain breadth gate
vB_EcoS_swan01	76036616.16	45076.84791	2286.426667	100.0	6859.28	100.0	3	Same-vOTU cross-mapping risk
KUW1	72995151.52	43273.774	74.982633	99.999267	224.948	100.0	3	Sequence-level value; retain breadth gate
DSS3_PM1	62567272.73	37091.80629	743.647333	98.5214	2230.94	98.5809	3	Sequence-level value; retain breadth gate
vB_Eco_mar001J1	53672905.53	31818.95147	2117.246667	100.0	6351.74	100.0	3	Duplicate-reference multi-mapping risk
vB_Eco_mar005P1	53450591.72	31687.157	0.023669	0.274975	0.0710067	0.616309	0	Sequence-level value; retain breadth gate
vB_VpaS_sm032	52465265.15	31103.02506	3.56695	82.614467	10.7008	98.7158	2	Sequence-level value; retain breadth gate
phix174	5164751.286	3061.823632	0.0	0.0	0.0	0.0	0	Sequence-level value; retain breadth gate
S-RSM4	465530.303	275.9807015	4.715353	76.398367	14.1461	99.6086	1	Sequence-level value; retain breadth gate
CDMH1	169000.0	100.0	0.0	0.0	0.0	0.0	0	Sequence-level value; retain breadth gate
