PhageID	InputGenomeCopies	ReplicatesPresent	ReplicatesTested	PrevalenceFraction	Interpretation
vB_Eco_SLUR29	684329545.5	3	3	1.0	Detected in all technical library replicates
PARMAL1	200736666.7	3	3	1.0	Detected in all technical library replicates
vB_Eco_mar002J2	143127748.1	3	3	1.0	Detected in all technical library replicates
HP1	119757670.5	0	3	0.0	Not detected in any technical library replicate
vB_Vpa_sm033	82540671.33	3	3	1.0	Detected in all technical library replicates
vB_Eco_mar003J3	79342555.99	3	3	1.0	Detected in all technical library replicates
vB_EcoS_swan01	76036616.16	3	3	1.0	Detected in all technical library replicates
KUW1	72995151.52	3	3	1.0	Detected in all technical library replicates
DSS3_PM1	62567272.73	3	3	1.0	Detected in all technical library replicates
vB_Eco_mar001J1	53672905.53	3	3	1.0	Detected in all technical library replicates
vB_Eco_mar005P1	53450591.72	0	3	0.0	Not detected in any technical library replicate
vB_VpaS_sm032	52465265.15	2	3	0.666667	Detected in two technical library replicates
phix174	5164751.286	0	3	0.0	Not detected in any technical library replicate
S-RSM4	465530.303	1	3	0.333333	Detected in one technical library replicate
CDMH1	169000.0	0	3	0.0	Not detected in any technical library replicate
