Evidence	Claim	Status	StatusCode
Integrated prophage + host flanks	Host domain	Allowed	3
Integrated prophage + host flanks	Host family	Allowed	3
Integrated prophage + host flanks	Host genus	Allowed	3
Integrated prophage + host flanks	Host species/strain	Conditional	2
Integrated prophage + host flanks	Active infection now	Avoid	1
Integrated prophage + host flanks	Causal ecological effect	Avoid	1
CRISPR spacer match	Host domain	Allowed	3
CRISPR spacer match	Host family	Allowed	3
CRISPR spacer match	Host genus	Conditional	2
CRISPR spacer match	Host species/strain	Avoid	1
CRISPR spacer match	Active infection now	Avoid	1
CRISPR spacer match	Causal ecological effect	Avoid	1
Long-read / Hi-C linkage	Host domain	Allowed	3
Long-read / Hi-C linkage	Host family	Conditional	2
Long-read / Hi-C linkage	Host genus	Conditional	2
Long-read / Hi-C linkage	Host species/strain	Conditional	2
Long-read / Hi-C linkage	Active infection now	Conditional	2
Long-read / Hi-C linkage	Causal ecological effect	Avoid	1
iPHoP score >=90	Host domain	Conditional	2
iPHoP score >=90	Host family	Conditional	2
iPHoP score >=90	Host genus	Conditional	2
iPHoP score >=90	Host species/strain	Avoid	1
iPHoP score >=90	Active infection now	Avoid	1
iPHoP score >=90	Causal ecological effect	Avoid	1
k-mer / composition alone	Host domain	Conditional	2
k-mer / composition alone	Host family	Conditional	2
k-mer / composition alone	Host genus	Conditional	2
k-mer / composition alone	Host species/strain	Avoid	1
k-mer / composition alone	Active infection now	Avoid	1
k-mer / composition alone	Causal ecological effect	Avoid	1
Co-abundance alone	Host domain	Avoid	1
Co-abundance alone	Host family	Conditional	2
Co-abundance alone	Host genus	Conditional	2
Co-abundance alone	Host species/strain	Avoid	1
Co-abundance alone	Active infection now	Avoid	1
Co-abundance alone	Causal ecological effect	Avoid	1
