database_id	tool	tool_version	release_id	release_date	archive_url	checksum_algorithm	expected_checksum	expected_compressed_bytes	expected_installed_bytes	download_gate	validation_status	notes
genomad-db-v1.9	geNomad	1.12.0	v1.9-ICTV-MSL39	2025-01-25	https://zenodo.org/records/14886553/files/genomad_db_v1.9.tar.gz?download=1	md5	67244b528bb8bed464d1ca147136d33e	842023773	1471630421	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Immutable Zenodo archive; database v1.9 uses ICTV MSL39; local end-to-end log reports v1.9.
checkv-db-v1.5-mirror	CheckV	1.1.1	v1.5	2023-01-10	https://zenodo.org/records/15116682/files/CheckV_v1.5.tar.gz?download=1	md5	c25ae80bbf7da538bee10cd436530cd9	2197495737	6834695688	enabled	VERIFIED_TRANSPARENT_MIRROR_AND_LOCAL	Zenodo explicitly labels this an UNOFFICIAL MIRROR of CheckV v1.5; official NERSC CURRENT_RELEASE is v1.5 but returned HTTP 503 during acquisition; database_version and README release date verified after extraction.
virsorter2-db-core	VirSorter2	2.2.4	Zenodo-4269607-v0.4	2020-11-11	https://zenodo.org/records/4269607/files/db.tgz?download=1	md5	727ed8addef563c14ca2c374f36c0c55	44107216	246976426	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Official VirSorter2 v0.4 database directory excluding separately published HMM assets.
virsorter2-combined-hmm-00	VirSorter2	2.2.4	Zenodo-4269607-v0.4	2020-11-11	https://zenodo.org/records/4269607/files/combined.hmm.gz.split_00?download=1	md5	0bec559d5699017a6610d96e64e1011d	536870912	0	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Concatenate split_00 through split_02 before decompression; final combined.hmm MD5=9bb6d4e968aede068aa9fc414496473f and bytes=8835034661.
virsorter2-combined-hmm-01	VirSorter2	2.2.4	Zenodo-4269607-v0.4	2020-11-11	https://zenodo.org/records/4269607/files/combined.hmm.gz.split_01?download=1	md5	83234bbf3c85985a768bccfa0c5fed5d	536870912	0	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Second byte-range part of the official combined viral HMM gzip stream.
virsorter2-combined-hmm-02	VirSorter2	2.2.4	Zenodo-4269607-v0.4	2020-11-11	https://zenodo.org/records/4269607/files/combined.hmm.gz.split_02?download=1	md5	2bfd325aabbae693bc1b9910e9c1c69f	147890352	8835034661	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Third byte-range part; expected_installed_bytes records the assembled and decompressed combined.hmm.
virsorter2-pfam-archaea	VirSorter2	2.2.4	Zenodo-4269607-v0.4	2020-11-11	https://zenodo.org/records/4269607/files/Pfam-A-Archaea.hmm.gz?download=1	md5	70b67b84c7c00ac84255621da3802b11	2893007	15915786	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Decompressed MD5=4ac89aba0a383b4e12957f260762820c.
virsorter2-pfam-bacteria	VirSorter2	2.2.4	Zenodo-4269607-v0.4	2020-11-11	https://zenodo.org/records/4269607/files/Pfam-A-Bacteria.hmm.gz?download=1	md5	420c2d9abc5b3e5a3e44add8ff8c5bad	95449523	498255191	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Decompressed MD5=13a47f8966737d456d27381ad0983cb0.
virsorter2-pfam-eukaryota	VirSorter2	2.2.4	Zenodo-4269607-v0.4	2020-11-11	https://zenodo.org/records/4269607/files/Pfam-A-Eukaryota.hmm.gz?download=1	md5	769f779e381de40c3c7cd0c1fc8cde1c	104545233	545179756	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Decompressed MD5=3675151b16e675a4f979c76e7e6f5d18.
virsorter2-pfam-mixed	VirSorter2	2.2.4	Zenodo-4269607-v0.4	2020-11-11	https://zenodo.org/records/4269607/files/Pfam-A-Mixed.hmm.gz?download=1	md5	70d30117ab0cb180b667f3e32dafdd6c	52887612	262555915	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Decompressed MD5=450e93a2aa29463c8bee9ca5b1c55c79.
virsorter2-pfam-viruses	VirSorter2	2.2.4	Zenodo-4269607-v0.4	2020-11-11	https://zenodo.org/records/4269607/files/Pfam-A-Viruses.hmm.gz?download=1	md5	150d63c05acb56e75354779d6794f864	15199216	112634587	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Decompressed MD5=7c0901ac28b3ba86561d0da06e97ee7b.
virsorter2-pfam-accessions	VirSorter2	2.2.4	Zenodo-4269607-v0.4	2020-11-11	https://zenodo.org/records/4269607/files/Pfam-A-acc2desc.tsv.gz?download=1	md5	080c428a384f8f3cab4d8f3950ea2f80	304949	1025487	enabled	VERIFIED_UPSTREAM_AND_LOCAL	Decompressed MD5=a67245759c1529aee6485825ae5c3912.
