File	Release	RecordDOI	Bytes	MD5	URL
eukdb.1.bt2l	2026-03-16	10.5281/zenodo.19056625	715087696	2842acf34645af1f940b8196519401e0	https://zenodo.org/records/19056625/files/eukdb.1.bt2l?download=1
eukdb.2.bt2l	2026-03-16	10.5281/zenodo.19056625	952923644	562f241ddbdddff59a63057900873391	https://zenodo.org/records/19056625/files/eukdb.2.bt2l?download=1
eukdb.3.bt2l	2026-03-16	10.5281/zenodo.19056625	23196138	448cad488f1b5803a4c40c237d6ae62a	https://zenodo.org/records/19056625/files/eukdb.3.bt2l?download=1
eukdb.4.bt2l	2026-03-16	10.5281/zenodo.19056625	476461819	a7ffd4bfee3b70a6e8fa8a1088d29d02	https://zenodo.org/records/19056625/files/eukdb.4.bt2l?download=1
eukdb.rev.1.bt2l	2026-03-16	10.5281/zenodo.19056625	715087696	20af14c97e21cc2b90e27192e9ae1106	https://zenodo.org/records/19056625/files/eukdb.rev.1.bt2l?download=1
eukdb.rev.2.bt2l	2026-03-16	10.5281/zenodo.19056625	952923644	f21cbffa42a0af0c18966f5745a9739a	https://zenodo.org/records/19056625/files/eukdb.rev.2.bt2l?download=1
eukdb.fasta	2026-03-16	10.5281/zenodo.19056625	1974042945	91f3883f231ead6853f6883449cd331f	https://zenodo.org/records/19056625/files/eukdb.fasta?download=1
busco_taxid_genome_link.txt	2026-03-16	10.5281/zenodo.19056625	55715646	3eae92e5928da5af74eb262937ab96b8	https://zenodo.org/records/19056625/files/busco_taxid_genome_link.txt?download=1
all_genomes.txt	2026-03-16	10.5281/zenodo.19056625	180816	d7d8930b7c2355b5bad5b16551402d4c	https://zenodo.org/records/19056625/files/all_genomes.txt?download=1
taxdump.tar.gz	2026-03-16	10.5281/zenodo.19056625	71510479	5b89e986aa5dee81b9d54e6044d515ac	https://zenodo.org/records/19056625/files/taxdump.tar.gz?download=1
taxa.sqlite.traverse.pkl	2026-03-16	10.5281/zenodo.19056625	14724837	0ae86317e6f686a981b5173986fba900	https://zenodo.org/records/19056625/files/taxa.sqlite.traverse.pkl?download=1
taxa.sqlite	2026-03-16	10.5281/zenodo.19056625	668700672	1b40342fa6c26814c9fdf576d00f47b1	https://zenodo.org/records/19056625/files/taxa.sqlite?download=1
taxid_and_genome_cumulativelength.txt	2026-03-16	10.5281/zenodo.19056625	325810	c86e1df977f1eb9e5dddad87a9f334ec	https://zenodo.org/records/19056625/files/taxid_and_genome_cumulativelength.txt?download=1
specific_and_inherited_markers_per_taxid.txt	2026-03-16	10.5281/zenodo.19056625	502988078	ccdf4921826515dcef33ee2c00051d02	https://zenodo.org/records/19056625/files/specific_and_inherited_markers_per_taxid.txt?download=1
