FragmentLength	Mode	Truth	Prediction	Count
3000	Strict	Eukaryote	Eukaryote	115
3000	Strict	Eukaryote	Prokaryote	45
3000	Strict	Eukaryote	Unclassified	0
3000	Strict	Prokaryote	Eukaryote	12
3000	Strict	Prokaryote	Prokaryote	628
3000	Strict	Prokaryote	Unclassified	0
3000	Balanced	Eukaryote	Eukaryote	122
3000	Balanced	Eukaryote	Prokaryote	38
3000	Balanced	Eukaryote	Unclassified	0
3000	Balanced	Prokaryote	Eukaryote	14
3000	Balanced	Prokaryote	Prokaryote	626
3000	Balanced	Prokaryote	Unclassified	0
3000	Lenient	Eukaryote	Eukaryote	145
3000	Lenient	Eukaryote	Prokaryote	15
3000	Lenient	Eukaryote	Unclassified	0
3000	Lenient	Prokaryote	Eukaryote	31
3000	Lenient	Prokaryote	Prokaryote	609
3000	Lenient	Prokaryote	Unclassified	0
5000	Strict	Eukaryote	Eukaryote	123
5000	Strict	Eukaryote	Prokaryote	37
5000	Strict	Eukaryote	Unclassified	0
5000	Strict	Prokaryote	Eukaryote	5
5000	Strict	Prokaryote	Prokaryote	635
5000	Strict	Prokaryote	Unclassified	0
5000	Balanced	Eukaryote	Eukaryote	135
5000	Balanced	Eukaryote	Prokaryote	25
5000	Balanced	Eukaryote	Unclassified	0
5000	Balanced	Prokaryote	Eukaryote	6
5000	Balanced	Prokaryote	Prokaryote	634
5000	Balanced	Prokaryote	Unclassified	0
5000	Lenient	Eukaryote	Eukaryote	154
5000	Lenient	Eukaryote	Prokaryote	6
5000	Lenient	Eukaryote	Unclassified	0
5000	Lenient	Prokaryote	Eukaryote	11
5000	Lenient	Prokaryote	Prokaryote	629
5000	Lenient	Prokaryote	Unclassified	0
10000	Strict	Eukaryote	Eukaryote	90
10000	Strict	Eukaryote	Prokaryote	70
10000	Strict	Eukaryote	Unclassified	0
10000	Strict	Prokaryote	Eukaryote	1
10000	Strict	Prokaryote	Prokaryote	639
10000	Strict	Prokaryote	Unclassified	0
10000	Balanced	Eukaryote	Eukaryote	107
10000	Balanced	Eukaryote	Prokaryote	53
10000	Balanced	Eukaryote	Unclassified	0
10000	Balanced	Prokaryote	Eukaryote	1
10000	Balanced	Prokaryote	Prokaryote	639
10000	Balanced	Prokaryote	Unclassified	0
10000	Lenient	Eukaryote	Eukaryote	147
10000	Lenient	Eukaryote	Prokaryote	13
10000	Lenient	Eukaryote	Unclassified	0
10000	Lenient	Prokaryote	Eukaryote	1
10000	Lenient	Prokaryote	Prokaryote	639
10000	Lenient	Prokaryote	Unclassified	0
20000	Strict	Eukaryote	Eukaryote	118
20000	Strict	Eukaryote	Prokaryote	42
20000	Strict	Eukaryote	Unclassified	0
20000	Strict	Prokaryote	Eukaryote	0
20000	Strict	Prokaryote	Prokaryote	640
20000	Strict	Prokaryote	Unclassified	0
20000	Balanced	Eukaryote	Eukaryote	130
20000	Balanced	Eukaryote	Prokaryote	30
20000	Balanced	Eukaryote	Unclassified	0
20000	Balanced	Prokaryote	Eukaryote	0
20000	Balanced	Prokaryote	Prokaryote	640
20000	Balanced	Prokaryote	Unclassified	0
20000	Lenient	Eukaryote	Eukaryote	157
20000	Lenient	Eukaryote	Prokaryote	3
20000	Lenient	Eukaryote	Unclassified	0
20000	Lenient	Prokaryote	Eukaryote	1
20000	Lenient	Prokaryote	Prokaryote	639
20000	Lenient	Prokaryote	Unclassified	0
