FragmentLength	Mode	Metric	Estimate	Percent	Numerator	Denominator
3000	Strict	Sensitivity	0.71875	71.875	115	160
3000	Strict	Specificity	0.98125	98.125	628	640
3000	Strict	Precision	0.905511811023622	90.5511811023622	115	127
3000	Strict	Classification rate	1.0	100.0	800	800
3000	Balanced	Sensitivity	0.7625	76.25	122	160
3000	Balanced	Specificity	0.978125	97.8125	626	640
3000	Balanced	Precision	0.8970588235294118	89.70588235294117	122	136
3000	Balanced	Classification rate	1.0	100.0	800	800
3000	Lenient	Sensitivity	0.90625	90.625	145	160
3000	Lenient	Specificity	0.9515625	95.15625	609	640
3000	Lenient	Precision	0.8238636363636364	82.38636363636364	145	176
3000	Lenient	Classification rate	1.0	100.0	800	800
5000	Strict	Sensitivity	0.76875	76.875	123	160
5000	Strict	Specificity	0.9921875	99.21875	635	640
5000	Strict	Precision	0.9609375	96.09375	123	128
5000	Strict	Classification rate	1.0	100.0	800	800
5000	Balanced	Sensitivity	0.84375	84.375	135	160
5000	Balanced	Specificity	0.990625	99.0625	634	640
5000	Balanced	Precision	0.9574468085106383	95.74468085106383	135	141
5000	Balanced	Classification rate	1.0	100.0	800	800
5000	Lenient	Sensitivity	0.9625	96.25	154	160
5000	Lenient	Specificity	0.9828125	98.28125	629	640
5000	Lenient	Precision	0.9333333333333333	93.33333333333333	154	165
5000	Lenient	Classification rate	1.0	100.0	800	800
10000	Strict	Sensitivity	0.5625	56.25	90	160
10000	Strict	Specificity	0.9984375	99.84375	639	640
10000	Strict	Precision	0.989010989010989	98.9010989010989	90	91
10000	Strict	Classification rate	1.0	100.0	800	800
10000	Balanced	Sensitivity	0.66875	66.875	107	160
10000	Balanced	Specificity	0.9984375	99.84375	639	640
10000	Balanced	Precision	0.9907407407407407	99.07407407407408	107	108
10000	Balanced	Classification rate	1.0	100.0	800	800
10000	Lenient	Sensitivity	0.91875	91.875	147	160
10000	Lenient	Specificity	0.9984375	99.84375	639	640
10000	Lenient	Precision	0.9932432432432432	99.32432432432432	147	148
10000	Lenient	Classification rate	1.0	100.0	800	800
20000	Strict	Sensitivity	0.7375	73.75	118	160
20000	Strict	Specificity	1.0	100.0	640	640
20000	Strict	Precision	1.0	100.0	118	118
20000	Strict	Classification rate	1.0	100.0	800	800
20000	Balanced	Sensitivity	0.8125	81.25	130	160
20000	Balanced	Specificity	1.0	100.0	640	640
20000	Balanced	Precision	1.0	100.0	130	130
20000	Balanced	Classification rate	1.0	100.0	800	800
20000	Lenient	Sensitivity	0.98125	98.125	157	160
20000	Lenient	Specificity	0.9984375	99.84375	639	640
20000	Lenient	Precision	0.9936708860759493	99.36708860759494	157	158
20000	Lenient	Classification rate	1.0	100.0	800	800
