Label	WallSeconds	CPUSeconds	PeakRSSGiB	Command
fastp-eukdetect	88.09	114.85	1.2659	reused checksum-stable completed output
fastp-assembly	121.56	501.37	1.3687	reused checksum-stable completed output
eukdetect	59.32	324.98	3.2453	reused checksum-stable completed output
eukdetect-normalize	0.47	5.31	0.0461	/workspace/miniconda3/envs/metagenome-microbial-eukaryotes-2026.07/bin/eukdetect-normalize --eukfrac /workspace/wechat/Metagenome/work/article58/results/eukdetect/Zymo_D6300_filtered_hits_eukfrac.txt --library-sizes /workspace/wechat/Metagenome/work/article58/results/library-sizes-post-qc.tsv --output /workspace/wechat/Metagenome/work/article58/results/eukdetect/Zymo_D6300.normalized.tsv
eukrep-reference-3000-strict	5.63	9.32	0.0861	reused checksum-stable completed output
eukrep-reference-3000-balanced	5.67	9.3	0.0872	reused checksum-stable completed output
eukrep-reference-3000-lenient	5.88	9.79	0.0866	reused checksum-stable completed output
eukrep-reference-5000-strict	6.39	10.16	0.0872	reused checksum-stable completed output
eukrep-reference-5000-balanced	6.03	10.12	0.0872	reused checksum-stable completed output
eukrep-reference-5000-lenient	6.3	11.03	0.0861	reused checksum-stable completed output
eukrep-reference-10000-strict	11.71	16.08	0.085	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-10000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.strict.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.strict.prok.names --seq_names --min 3000 -m strict --tie prok -ff
eukrep-reference-10000-balanced	11.04	15.82	0.0856	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-10000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.balanced.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.balanced.prok.names --seq_names --min 3000 -m balanced --tie prok -ff
eukrep-reference-10000-lenient	11.41	14.94	0.0872	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-10000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.lenient.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-10000.lenient.prok.names --seq_names --min 3000 -m lenient --tie prok -ff
eukrep-reference-20000-strict	20.97	25.74	0.0861	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-20000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.strict.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.strict.prok.names --seq_names --min 3000 -m strict --tie prok -ff
eukrep-reference-20000-balanced	21.19	24.21	0.0877	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-20000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.balanced.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.balanced.prok.names --seq_names --min 3000 -m balanced --tie prok -ff
eukrep-reference-20000-lenient	20.91	24.39	0.0872	/workspace/miniconda3/envs/metagenome-eukrep-legacy-2026.07/bin/EukRep -i /workspace/wechat/Metagenome/work/article58/benchmarks/eukrep-fragments-20000.fna -o /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.lenient.euk.names --prokarya /workspace/wechat/Metagenome/work/article58/results/eukrep-reference/length-20000.lenient.prok.names --seq_names --min 3000 -m lenient --tie prok -ff
megahit	1599.23	33095.63	7.0805	reused checksum-stable completed output
eukrep-assembly-strict	40.65	43.61	0.0984	reused checksum-stable completed output
eukrep-assembly-balanced	41.25	45.08	0.0982	reused checksum-stable completed output
eukrep-assembly-lenient	41.98	45.66	0.0984	reused checksum-stable completed output
minimap2-assembly-truth	3.04	13.96	0.5346	/workspace/miniconda3/envs/metagenome-assembly-2026.07/bin/minimap2 -x asm5 --secondary=no -t 32 -o /workspace/wechat/Metagenome/work/article58/results/megahit-to-zymo-v2.paf /workspace/wechat/Metagenome/work/article58/references/zymo-v2-all-references.fna /workspace/wechat/Metagenome/work/article58/results/megahit-contigs.oneline.fna
