Asset	Tool	Release	Source	ExpectedBytes	SHA256	Redistribution	Role
profiles.tar.gz	KOfamKOALA	2026-06-01	https://www.genome.jp/ftp/db/kofam/archives/2026-06-01/profiles.tar.gz	1557643213	038cb13c41bda8f97ba0d57299aebe74042fcc90fbf450cba191448e8c19606f	external-only	Full HMM profile archive shared by DRAM and the METABOLIC compatibility branch
ko_list.gz	KOfamKOALA	2026-06-01	https://www.genome.jp/ftp/db/kofam/archives/2026-06-01/ko_list.gz	909392	d418b074049c6687e6f6d119af2981dc4e36c378d43027ecf5cc6778fd27041a	external-only	Profile-specific score thresholds and definitions
METABOLIC_hmm_db.tgz	METABOLIC	v4.0-commit-97236332519180f1d76a242dedb0aaa8191fdbb3	https://github.com/AnantharamanLab/METABOLIC/blob/97236332519180f1d76a242dedb0aaa8191fdbb3/METABOLIC_hmm_db.tgz	22110746	f570ffecff65adca69a991e41a5e7b4e20c8147007d597e12c855175eb2542ca	GPL-3.0-source	Curated biogeochemical HMM bundle
METABOLIC_template_and_database.tgz	METABOLIC	v4.0-commit-97236332519180f1d76a242dedb0aaa8191fdbb3	https://github.com/AnantharamanLab/METABOLIC/blob/97236332519180f1d76a242dedb0aaa8191fdbb3/METABOLIC_template_and_database.tgz	78711	32d51bef5e81e9abfefec17bdcb91181e1e3febf66f305b9514b9cdea5d14453	GPL-3.0-source	Pathway rules, module definitions and motif gates
Accessory_scripts.tgz	METABOLIC	v4.0-commit-97236332519180f1d76a242dedb0aaa8191fdbb3	https://github.com/AnantharamanLab/METABOLIC/blob/97236332519180f1d76a242dedb0aaa8191fdbb3/Accessory_scripts.tgz	6116	cc8c52c8380a953b96bea4f394ef35e3c406b23c5c983b0f128c1785a258a8b2	GPL-3.0-source	Official helper scripts used by METABOLIC-G
dbCAN.hmm	run_dbcan	5.2.9-db_v5-2-9_5-5-2026	https://dbcan.s3.us-west-2.amazonaws.com/db_v5-2-9_5-5-2026/dbCAN.hmm	129842960	396c791fb13defab152864d8046687ef03b492937ec6f9bbab008bc77cbaa7a5	external-only	Current dbCAN family profiles substituted for the retired v10 URL after a locked compatibility audit
pepunit.lib	MEROPS	current-release-file-2023-02-22	https://ftp.ebi.ac.uk/pub/databases/merops/current_release/pepunit.lib	457531072	5deb3c49b2c8ec17b040d0afc26dcdcbc78481c400cdbdf77d2bd0c7ff9dcd74	external-only	Peptidase sequences and family headers required by METABOLIC-G
genome_summary_form.tsv	DRAM	1.5.0-commit-fe61d759303f30db058d5d505c448b28e41b03f1	https://github.com/WrightonLabCSU/DRAM/blob/fe61d759303f30db058d5d505c448b28e41b03f1/data/genome_summary_form.tsv	580242	9dea0f26cba1e300ebadb39099b99b01e66714bfc4b2be9ecedc0488afbca9ca	GPL-3.0-source	DRAM distillate genome summary form
module_step_form.tsv	DRAM	1.5.0-commit-fe61d759303f30db058d5d505c448b28e41b03f1	https://github.com/WrightonLabCSU/DRAM/blob/fe61d759303f30db058d5d505c448b28e41b03f1/data/module_step_form.tsv	579664	55a803dcd7fa10ed05403b36c3aa89b19f007c3601dc60cb703c38828e89a4d9	GPL-3.0-source	DRAM module-step rules
etc_module_database.tsv	DRAM	1.5.0-commit-fe61d759303f30db058d5d505c448b28e41b03f1	https://github.com/WrightonLabCSU/DRAM/blob/fe61d759303f30db058d5d505c448b28e41b03f1/data/etc_module_database.tsv	2378	1dfc5811b95b3ee40f74a6d4ba7cca415606ad67612bbc5d83b95818c3b9bc40	GPL-3.0-source	Electron-transport-chain module rules
function_heatmap_form.tsv	DRAM	1.5.0-commit-fe61d759303f30db058d5d505c448b28e41b03f1	https://github.com/WrightonLabCSU/DRAM/blob/fe61d759303f30db058d5d505c448b28e41b03f1/data/function_heatmap_form.tsv	11199	279e8016eab84ec337c1fa61ae794fa8a0636179f84e0223fcb3356ed8d74d00	GPL-3.0-source	DRAM product heatmap rules
amg_database.tsv	DRAM	1.5.0-commit-fe61d759303f30db058d5d505c448b28e41b03f1	https://github.com/WrightonLabCSU/DRAM/blob/fe61d759303f30db058d5d505c448b28e41b03f1/data/amg_database.tsv	21569	8e0d81dd8e33315dd50cf022e23257d41bcd21f474af4a953f19ecf483b6c1cd	GPL-3.0-source	DRAM configuration completeness; not interpreted as viral AMG evidence here
