File	Bytes	SHA256
kofam_profiles.hmm	7631939612	afb61bf0ca19ba5f01fee3b38b65b23084a8f99f173c8e04fc9b80dd23b694f2
kofam_profiles.hmm.h3f	1184159024	e899c310578b2be3ed3ee58e60310d0860cac1b482fd7458ffa4ef6d640fa25a
kofam_profiles.hmm.h3i	916081	bd2af7c51849223661ad72f26ee5d4fd25268104b50a60f04a98f68eec51b4da
kofam_profiles.hmm.h3m	3164812531	1d38a94c7f7cc196030d3400ced5d81695be2c84cb2422bf797996830ee703cf
kofam_profiles.hmm.h3p	3712927402	b7a306b04ada863a9ac7ada8cebe1b909d13742cd963782aee6259ee6bb10338
kofam_ko_list.tsv	2863826	5c7f294a01794266f1a8dfcbd9bd5840d61ef25ba2804559b976acbc71e9c0f1
description_db.sqlite	90112	1e05d7d16fe94bc0314bdae2f6f2e913b8a7ffd43ab79aa732e6c9d6e1c2dce0
genome_summary_form.tsv	580242	9dea0f26cba1e300ebadb39099b99b01e66714bfc4b2be9ecedc0488afbca9ca
module_step_form.tsv	579664	55a803dcd7fa10ed05403b36c3aa89b19f007c3601dc60cb703c38828e89a4d9
etc_module_database.tsv	2378	1dfc5811b95b3ee40f74a6d4ba7cca415606ad67612bbc5d83b95818c3b9bc40
function_heatmap_form.tsv	11199	279e8016eab84ec337c1fa61ae794fa8a0636179f84e0223fcb3356ed8d74d00
