Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
18	:	1785514481.575	     0.780	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_018.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_018.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_018.gff -f gff -p meta -q
15	:	1785514481.567	     2.506	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_015.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_015.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_015.gff -f gff -p meta -q
13	:	1785514481.562	     2.865	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_013.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_013.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_013.gff -f gff -p meta -q
8	:	1785514481.545	     2.928	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_008.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_008.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_008.gff -f gff -p meta -q
12	:	1785514481.558	     3.276	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_012.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_012.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_012.gff -f gff -p meta -q
11	:	1785514481.555	     4.092	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_011.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_011.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_011.gff -f gff -p meta -q
10	:	1785514481.551	     5.115	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_010.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_010.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_010.gff -f gff -p meta -q
9	:	1785514481.548	     7.701	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_009.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_009.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_009.gff -f gff -p meta -q
14	:	1785514481.565	     8.315	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_014.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_014.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_014.gff -f gff -p meta -q
17	:	1785514481.572	     9.056	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_017.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_017.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_017.gff -f gff -p meta -q
19	:	1785514481.579	     9.634	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_019.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_019.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_019.gff -f gff -p meta -q
20	:	1785514481.582	     9.779	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_020.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_020.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_020.gff -f gff -p meta -q
16	:	1785514481.570	    14.093	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_016.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_016.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_016.gff -f gff -p meta -q
23	:	1785514481.593	    19.458	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_023.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_023.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_023.gff -f gff -p meta -q
25	:	1785514481.599	    19.901	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/TRUNC_050.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/TRUNC_050.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/TRUNC_050.gff -f gff -p meta -q
3	:	1785514481.530	    22.822	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_003.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_003.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_003.gff -f gff -p meta -q
24	:	1785514481.596	    23.171	0	0	0	0	/workspace/miniconda3/envs/metagenome-metabolic-2026.07/bin/prodigal -i /workspace/wechat/Metagenome/work/article59/inputs/metabolic-mags/SGB_024.fasta -a /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_024.faa -o /workspace/wechat/Metagenome/work/article59/metabolic-proteins/SGB_024.gff -f gff -p meta -q
