Category	Function	Gene abbreviation	SGB_001 Function presence	SGB_002 Function presence	SGB_003 Function presence	SGB_004 Function presence	SGB_005 Function presence	SGB_006 Function presence	SGB_007 Function presence	SGB_008 Function presence	SGB_009 Function presence	SGB_010 Function presence	SGB_011 Function presence	SGB_012 Function presence	SGB_013 Function presence	SGB_014 Function presence	SGB_015 Function presence	SGB_016 Function presence	SGB_017 Function presence	SGB_018 Function presence	SGB_019 Function presence	SGB_020 Function presence	SGB_021 Function presence	SGB_022 Function presence	SGB_023 Function presence	SGB_024 Function presence	TRUNC_050 Function presence	TRUNC_070 Function presence	TRUNC_090 Function presence	TRUNC_100 Function presence
Thermophilic specific	Thermophilic specific	rgy	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Present	Absent	Present	Absent	Present	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent
Amino acid utilization	4-aminobutyrate aminotransferase and related aminotransferases	4-aminobutyrate aminotransferase and related aminotransferases	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Amino acid utilization	Aminotransferase class I and II	aminotransferase class I and II	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Amino acid utilization	Phosphoserine aminotransferase	phosphoserine aminotransferase	Present	Present	Present	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Present	Present	Present	Present
Amino acid utilization	Ornithine/acetylornithine aminotransferase	ornithine/acetylornithine aminotransferase	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Present	Present
Amino acid utilization	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Present	Present
Amino acid utilization	Aspartate/tyrosine/aromatic aminotransferase	aspartate/tyrosine/aromatic aminotransferase	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
Amino acid utilization	Histidinol-phosphate/aromatic aminotransferase	histidinol-phosphate/aromatic aminotransferase	Present	Present	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent	Present	Present	Absent	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present
Amino acid utilization	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Present	Present
Ethanol fermentation	Acetate => Acetaldehyde	acetate => acetaldehyde	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
