Module step	Module	KO id	Module Category	SGB_001 Module step presence	SGB_002 Module step presence	SGB_003 Module step presence	SGB_004 Module step presence	SGB_005 Module step presence	SGB_006 Module step presence	SGB_007 Module step presence	SGB_008 Module step presence	SGB_009 Module step presence	SGB_010 Module step presence	SGB_011 Module step presence	SGB_012 Module step presence	SGB_013 Module step presence	SGB_014 Module step presence	SGB_015 Module step presence	SGB_016 Module step presence	SGB_017 Module step presence	SGB_018 Module step presence	SGB_019 Module step presence	SGB_020 Module step presence	SGB_021 Module step presence	SGB_022 Module step presence	SGB_023 Module step presence	SGB_024 Module step presence	TRUNC_050 Module step presence	TRUNC_070 Module step presence	TRUNC_090 Module step presence	TRUNC_100 Module step presence
M00001+01	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K00844 or K12407 or K00845 or K25026 or K00886 or K08074 or K00918)	Central carbohydrate metabolism	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Present	Absent	Present	Present	Absent	Absent	Present	Present	Absent	Present	Absent	Present	Present	Present	Present	Absent	Present	Present	Present
M00001+02	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K01810 or K06859 or K13810 or K15916)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Present	Present	Present	Present	Absent	Present	Present	Present
M00001+03	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K00850 or K16370 or K21071 or K00918)	Central carbohydrate metabolism	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Present	Absent	Present	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent	Present	Present	Present	Absent	Present	Present	Present
M00001+04	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K01623 or K01624 or K11645 or K16305 or K16306)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present
M00001+05	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	K01803	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present
M00001+06	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	((K00134 or K00150) and K00927 or K11389)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present
M00001+07	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K01834 or K15633 or K15634 or K15635)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present
M00001+08	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	K01689	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present
M00001+09	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K00873 or K12406)	Central carbohydrate metabolism	Absent	Present	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Present	Present	Present	Absent	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present
M00002+01	Glycolysis, core module involving three-carbon compounds	K01803	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Absent	Present	Present
