Genome	AnalysisSet	Species	Phylum	ModuleID	DRAMModuleName	METABOLICModuleName	DRAMCoverage	DRAMPresentAt075	METABOLICPresentAt075	Agreement	ComparisonBoundary
SGB_001	Primary real MAG	Desulfobulbus oralis	Desulfobacterota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.7777777777777778	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_002	Primary real MAG	Nitrosomonas europaea	Pseudomonadota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.8888888888888888	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_003	Primary real MAG	Porphyromonas gingivalis	Bacteroidota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.6666666666666666	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_004	Primary real MAG	Chlorobium phaeovibrioides	Bacteroidota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.7777777777777778	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_005	Primary real MAG	Chlorobium limicola	Bacteroidota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.7777777777777778	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_006	Primary real MAG	Shewanella baltica	Pseudomonadota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.7777777777777778	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_007	Primary real MAG	Herpetosiphon aurantiacus	Chloroflexota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	1.0	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_008	Primary real MAG	Ignicoccus islandicus	Thermoproteota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.4444444444444444	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_009	Primary real MAG	Ignicoccus hospitalis	Thermoproteota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.3333333333333333	false	false	true	same KOfam snapshot; tool-specific module-step definitions
SGB_010	Primary real MAG	Methanocaldococcus jannaschii	AGJL01	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	1.0	true	true	true	same KOfam snapshot; tool-specific module-step definitions
SGB_011	Primary real MAG	Methanocatella oralis	Methanobacteriota	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	0.5555555555555556	false	false	true	same KOfam snapshot; tool-specific module-step definitions
