Genome	Tool	Step	Status	ElapsedSeconds	ReturnCode	Command
SGB_002	CarveMe	diamond	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/diamond blastp -d /workspace/miniconda3/envs/metagenome-carveme-2026.08/lib/python3.12/site-packages/carveme/data/generated/bigg_proteins.dmnd -q /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_002.faa -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_002/SGB_002-diamond.tsv --more-sensitive --top 10 --quiet --threads 4
SGB_002	CarveMe	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/carve --diamond -u bacteria --fbc2 --solver scip -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_002/SGB_002-draft.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_002/SGB_002-diamond.tsv
SGB_002	CarveMe	gapfill-rich	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/gapfill -m LB -u bacteria --fbc2 -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_002/SGB_002-filled-LB.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_002/SGB_002-draft.xml
SGB_002	gapseq	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq draft -r /workspace/wechat/Metagenome/work/article60/gapseq/SGB_002/SGB_002-all-Reactions.tbl -t /workspace/wechat/Metagenome/work/article60/gapseq/SGB_002/SGB_002-Transporter.tbl -p /workspace/wechat/Metagenome/work/article60/gapseq/SGB_002/SGB_002-all-Pathways.tbl -b Bacteria -n SGB_002 -u 200 -l 100 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_002
SGB_002	gapseq	find	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find -p all -t Bacteria -b 200 -i 0 -c 75 -K 4 -A diamond -O -D /workspace/wechat/Metagenome/db/gem-cache/gapseq-seqdb-v1.5/seqdb -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_002 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_002.faa
SGB_002	gapseq	gapfill-construction-medium	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq fill -m /workspace/wechat/Metagenome/work/article60/gapseq/SGB_002/SGB_002-draft.RDS -n /workspace/miniconda3/envs/metagenome-gapseq-2026.08/share/gapseq/dat/media/ALLmed.csv -b 100 -k 0.01 -z glpk -v -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_002/filled-permissive
SGB_002	gapseq	transport	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-gapseq-2026.08/bin/gapseq find-transport -b 50 -i 0 -c 75 -K 4 -A diamond -v 1 -f /workspace/wechat/Metagenome/work/article60/gapseq/SGB_002 /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_002.faa
SGB_006	CarveMe	diamond	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/diamond blastp -d /workspace/miniconda3/envs/metagenome-carveme-2026.08/lib/python3.12/site-packages/carveme/data/generated/bigg_proteins.dmnd -q /workspace/wechat/Metagenome/work/article60/inputs/proteins/SGB_006.faa -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_006/SGB_006-diamond.tsv --more-sensitive --top 10 --quiet --threads 4
SGB_006	CarveMe	draft	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/carve --diamond -u bacteria --fbc2 --solver scip -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_006/SGB_006-draft.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_006/SGB_006-diamond.tsv
SGB_006	CarveMe	gapfill-rich	skipped_nonempty_existing	0.000	0	/workspace/miniconda3/envs/metagenome-carveme-2026.08/bin/gapfill -m LB -u bacteria --fbc2 -v -o /workspace/wechat/Metagenome/work/article60/carveme/SGB_006/SGB_006-filled-LB.xml /workspace/wechat/Metagenome/work/article60/carveme/SGB_006/SGB_006-draft.xml
