Genome	Species	Domain	gapseqTaxonomy	gapseqPathwayTaxonomicRange	gapseqGapfillMedium	gapseqEnvironmentalCondition	gapseqMediumRationale	gapseqAuditMedium	CarveMeUniverse	CarveMeGapfillMedium	CarveMeAuditMedium	MediumPairingRule
SGB_002	Nitrosomonas europaea	Bacteria	Bacteria	auto	ALLmed.csv	none	common permissive bacterial reconstruction proxy	ALLmed.csv and MM_glu.csv	bacteria	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
SGB_006	Shewanella baltica	Bacteria	Bacteria	auto	ALLmed.csv	none	common permissive bacterial reconstruction proxy	ALLmed.csv and MM_glu.csv	bacteria	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
SGB_008	Ignicoccus islandicus	Archaea	Archaea	Archaea	autotrophic.csv	highH2	autotrophic hyperthermophile proxy	ALLmed.csv and MM_glu.csv	archaea	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
SGB_010	Methanocaldococcus jannaschii	Archaea	Archaea	Archaea	MM_anaerobic_CO2_H2.csv	highH2	official methanogen tutorial medium	ALLmed.csv and MM_glu.csv	archaea	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
SGB_016	Caldicellulosiruptor saccharolyticus	Bacteria	Bacteria	auto	ALLmed.csv	none	common permissive bacterial reconstruction proxy	ALLmed.csv and MM_glu.csv	bacteria	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
SGB_018	Nanoarchaeum equitans	Archaea	Archaea	Archaea	meerwasser.csv	none	marine host-rich proxy for an obligate symbiont	ALLmed.csv and MM_glu.csv	archaea	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
SGB_021	Rhodopirellula baltica	Bacteria	Bacteria	auto	ALLmed.csv	none	common permissive bacterial reconstruction proxy	ALLmed.csv and MM_glu.csv	bacteria	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
SGB_024	Thermotoga neapolitana	Bacteria	Bacteria	auto	ALLmed.csv	none	common permissive bacterial reconstruction proxy	ALLmed.csv and MM_glu.csv	bacteria	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
TRUNC_050	Nitrosomonas europaea	Bacteria	Bacteria	auto	ALLmed.csv	none	common permissive bacterial reconstruction proxy	ALLmed.csv and MM_glu.csv	bacteria	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
TRUNC_070	Nitrosomonas europaea	Bacteria	Bacteria	auto	ALLmed.csv	none	common permissive bacterial reconstruction proxy	ALLmed.csv and MM_glu.csv	bacteria	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
TRUNC_090	Nitrosomonas europaea	Bacteria	Bacteria	auto	ALLmed.csv	none	common permissive bacterial reconstruction proxy	ALLmed.csv and MM_glu.csv	bacteria	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
TRUNC_100	Nitrosomonas europaea	Bacteria	Bacteria	auto	ALLmed.csv	none	common permissive bacterial reconstruction proxy	ALLmed.csv and MM_glu.csv	bacteria	LB	M9	construction versus common-rich/minimal sensitivity; not chemically identical across tools or ecologies
