sample_id	SubjectID	MediumScale	ModeledTaxa	PositiveTaxa	FractionGrowing	ModeledAbundance	PositiveAbundance	CommunityGrowth	MedianTaxonGrowth	AbundanceWeightedFractionGrowing
MV_FEM1_t1Q14	MV_FEM1	0.5	26	25	0.9615384615384616	0.9999999999999988	0.9636723831745956	0.044050275835456655	0.00068330003121815	0.9636723831745968
MV_FEM1_t1Q14	MV_FEM1	1.0	26	25	0.9615384615384616	0.9999999999999988	0.9636723831745956	0.08813696126397384	0.00170319087485165	0.9636723831745968
MV_FEM1_t1Q14	MV_FEM1	2.0	26	25	0.9615384615384616	0.9999999999999988	0.9636723831745956	0.17626418047304274	0.0036861099612624498	0.9636723831745968
MV_FEM2_t1Q14	MV_FEM2	0.5	42	39	0.9285714285714286	0.9999999999999983	0.9718024358853327	0.019886337928825423	0.00063186653637815	0.9718024358853343
MV_FEM2_t1Q14	MV_FEM2	1.0	42	42	1.0	0.9999999999999983	0.9999999999999983	0.04642271224640274	0.0046709160391092495	1.0
MV_FEM2_t1Q14	MV_FEM2	2.0	42	42	1.0	0.9999999999999983	0.9999999999999983	0.16467339336413056	0.01758704670905075	1.0
MV_FEM3_t1Q14	MV_FEM3	0.5	35	35	1.0	0.999999999999998	0.999999999999998	0.052176049927942274	0.0021732793910205	1.0
MV_FEM3_t1Q14	MV_FEM3	1.0	35	35	1.0	0.999999999999998	0.999999999999998	0.1884736171557965	0.007774037617331	1.0
MV_FEM3_t1Q14	MV_FEM3	2.0	35	35	1.0	0.999999999999998	0.999999999999998	0.3814906894835911	0.0154692047655571	1.0
MV_FEM4_t1Q14	MV_FEM4	0.5	23	23	1.0	0.9999999999999989	0.9999999999999989	0.055875862330797915	0.0014452070446946	1.0
MV_FEM4_t1Q14	MV_FEM4	1.0	23	23	1.0	0.9999999999999989	0.9999999999999989	0.19565489466246247	0.0059883925961867	1.0
MV_FEM4_t1Q14	MV_FEM4	2.0	23	23	1.0	0.9999999999999989	0.9999999999999989	0.48895270512898714	0.0145265060670869	1.0
MV_FEM5_t1Q14	MV_FEM5	0.5	29	29	1.0	0.9999999999999989	0.9999999999999989	0.05412806974893353	0.0041025589121827	1.0
MV_FEM5_t1Q14	MV_FEM5	1.0	29	29	1.0	0.9999999999999989	0.9999999999999989	0.14436978443372825	0.0131695970628855	1.0
MV_FEM5_t1Q14	MV_FEM5	2.0	29	29	1.0	0.9999999999999989	0.9999999999999989	0.30844327219769896	0.0278544694824045	1.0
MV_MIM5_t3F15	MV_MIM5	0.5	31	29	0.9354838709677419	0.9999999999999984	0.9967091589340275	0.1215027353190033	0.0066560205363768	0.996709158934029
MV_MIM5_t3F15	MV_MIM5	1.0	31	31	1.0	0.9999999999999984	0.9999999999999984	0.22845101058212275	0.0133952641160227	1.0
MV_MIM5_t3F15	MV_MIM5	2.0	31	31	1.0	0.9999999999999984	0.9999999999999984	0.39169042532914056	0.0216184018542582	1.0
