sample_id	SubjectID	Compound	CompoundName	reaction	CommunityScaledFlux	AbsoluteFlux	NetDirection
MV_FEM1_t1Q14	MV_FEM1	prx_mII_glc	prx mII glc	EX_prx_mII_glc_m	-36028.30643045329	36028.30643045329	Import
MV_FEM1_t1Q14	MV_FEM1	bzam	bzam	EX_bzam_m	17213.261089756812	17213.261089756812	Export
MV_FEM1_t1Q14	MV_FEM1	hxan	hxan	EX_hxan_m	-14285.309363025226	14285.309363025226	Import
MV_FEM1_t1Q14	MV_FEM1	regfnb	regfnb	EX_regfnb_m	-13181.140134950674	13181.140134950674	Import
MV_FEM1_t1Q14	MV_FEM1	prob	prob	EX_prob_m	-11464.601795407383	11464.601795407383	Import
MV_FEM1_t1Q14	MV_FEM1	hspg_degr_7	hspg degr 7	EX_hspg_degr_7_m	5744.706335603688	5744.706335603688	Export
MV_FEM1_t1Q14	MV_FEM1	sTn_antigen	sTn antigen	EX_sTn_antigen_m	-2932.9553001055274	2932.9553001055274	Import
MV_FEM1_t1Q14	MV_FEM1	glc3meacp	glc3meacp	EX_glc3meacp_m	-2166.8532902709985	2166.8532902709985	Import
MV_FEM1_t1Q14	MV_FEM1	isosorbide_5mn_glc	isosorbide 5mn glc	EX_isosorbide_5mn_glc_m	236.44888398676736	236.44888398676736	Export
MV_FEM1_t1Q14	MV_FEM1	hspg_degr_13	hspg degr 13	EX_hspg_degr_13_m	91.18045512253347	91.18045512253347	Export
MV_FEM1_t1Q14	MV_FEM1	xyluglc	xyluglc	EX_xyluglc_m	-83.80253424094319	83.80253424094319	Import
MV_FEM1_t1Q14	MV_FEM1	mg2	mg2	EX_mg2_m	83.79976352241677	83.79976352241677	Export
MV_FEM1_t1Q14	MV_FEM1	dcyt	dcyt	EX_dcyt_m	69.72129581990312	69.72129581990312	Export
MV_FEM1_t1Q14	MV_FEM1	7oh_efv_glc	7oh efv glc	EX_7oh_efv_glc_m	33.35239951358314	33.35239951358314	Export
MV_FEM1_t1Q14	MV_FEM1	alaasp	alaasp	EX_alaasp_m	20.299891692510062	20.299891692510062	Export
MV_FEM1_t1Q14	MV_FEM1	lichn	lichn	EX_lichn_m	-16.04902032297314	16.04902032297314	Import
MV_FEM1_t1Q14	MV_FEM1	butso3	butso3	EX_butso3_m	14.42188847406262	14.42188847406262	Export
MV_FEM1_t1Q14	MV_FEM1	hspg_degr_4	hspg degr 4	EX_hspg_degr_4_m	-13.453829959136971	13.453829959136971	Import
MV_FEM1_t1Q14	MV_FEM1	tlf_a_2	tlf a 2	EX_tlf_a_2_m	13.453829959136971	13.453829959136971	Export
MV_FEM1_t1Q14	MV_FEM1	norval_L	norval L	EX_norval_L_m	13.211994942123829	13.211994942123829	Export
MV_FEM1_t1Q14	MV_FEM1	tlf_a_1b	tlf a 1b	EX_tlf_a_1b_m	9.796262063062594	9.796262063062594	Export
MV_FEM1_t1Q14	MV_FEM1	xtsn	xtsn	EX_xtsn_m	-4.526632967615536	4.526632967615536	Import
MV_FEM1_t1Q14	MV_FEM1	4oh_meth_glc	4oh meth glc	EX_4oh_meth_glc_m	-3.114055330122492	3.114055330122492	Import
MV_FEM1_t1Q14	MV_FEM1	ppi	ppi	EX_ppi_m	-2.769538986017205	2.769538986017205	Import
MV_FEM1_t1Q14	MV_FEM1	hst_7_s	hst 7 s	EX_hst_7_s_m	-2.407269264989723	2.407269264989723	Import
