medium	compound
western_diet_gut_anoxic_membership	12dgr180
western_diet_gut_anoxic_membership	26dap_M
western_diet_gut_anoxic_membership	2dmmq8
western_diet_gut_anoxic_membership	2obut
western_diet_gut_anoxic_membership	3mop
western_diet_gut_anoxic_membership	4abz
western_diet_gut_anoxic_membership	4hbz
western_diet_gut_anoxic_membership	ac
western_diet_gut_anoxic_membership	acgam
western_diet_gut_anoxic_membership	acmana
western_diet_gut_anoxic_membership	acnam
western_diet_gut_anoxic_membership	ade
western_diet_gut_anoxic_membership	adn
western_diet_gut_anoxic_membership	ala_D
western_diet_gut_anoxic_membership	ala_L
western_diet_gut_anoxic_membership	amet
western_diet_gut_anoxic_membership	amp
western_diet_gut_anoxic_membership	amylopect900
western_diet_gut_anoxic_membership	amylose300
western_diet_gut_anoxic_membership	arab_D
western_diet_gut_anoxic_membership	arab_L
western_diet_gut_anoxic_membership	arabinan101
western_diet_gut_anoxic_membership	arabinogal
western_diet_gut_anoxic_membership	arabinoxyl
western_diet_gut_anoxic_membership	arg_L
western_diet_gut_anoxic_membership	asn_L
western_diet_gut_anoxic_membership	asp_L
western_diet_gut_anoxic_membership	bglc
western_diet_gut_anoxic_membership	btn
western_diet_gut_anoxic_membership	ca2
western_diet_gut_anoxic_membership	cbl1
western_diet_gut_anoxic_membership	cellb
western_diet_gut_anoxic_membership	cellul
western_diet_gut_anoxic_membership	cgly
western_diet_gut_anoxic_membership	chol
western_diet_gut_anoxic_membership	chor
western_diet_gut_anoxic_membership	chsterol
western_diet_gut_anoxic_membership	cit
western_diet_gut_anoxic_membership	cl
western_diet_gut_anoxic_membership	cobalt2
western_diet_gut_anoxic_membership	csn
western_diet_gut_anoxic_membership	cu2
western_diet_gut_anoxic_membership	cys_L
western_diet_gut_anoxic_membership	cytd
western_diet_gut_anoxic_membership	dad_2
western_diet_gut_anoxic_membership	dcyt
western_diet_gut_anoxic_membership	ddca
western_diet_gut_anoxic_membership	dextran40
western_diet_gut_anoxic_membership	dgsn
western_diet_gut_anoxic_membership	drib
western_diet_gut_anoxic_membership	fald
western_diet_gut_anoxic_membership	fe2
western_diet_gut_anoxic_membership	fe3
western_diet_gut_anoxic_membership	fol
western_diet_gut_anoxic_membership	for
western_diet_gut_anoxic_membership	fru
western_diet_gut_anoxic_membership	fuc_L
western_diet_gut_anoxic_membership	fum
western_diet_gut_anoxic_membership	gal
western_diet_gut_anoxic_membership	galmannan
western_diet_gut_anoxic_membership	gam
western_diet_gut_anoxic_membership	glcmannan
western_diet_gut_anoxic_membership	glcn
western_diet_gut_anoxic_membership	gln_L
western_diet_gut_anoxic_membership	glu_L
western_diet_gut_anoxic_membership	gly
western_diet_gut_anoxic_membership	glyasp
western_diet_gut_anoxic_membership	glyc
western_diet_gut_anoxic_membership	glyc3p
western_diet_gut_anoxic_membership	glyleu
western_diet_gut_anoxic_membership	gsn
western_diet_gut_anoxic_membership	gthox
western_diet_gut_anoxic_membership	gthrd
western_diet_gut_anoxic_membership	gua
western_diet_gut_anoxic_membership	h
western_diet_gut_anoxic_membership	h2
western_diet_gut_anoxic_membership	h2o
western_diet_gut_anoxic_membership	h2s
western_diet_gut_anoxic_membership	hdca
western_diet_gut_anoxic_membership	his_L
western_diet_gut_anoxic_membership	homogal
western_diet_gut_anoxic_membership	hxan
western_diet_gut_anoxic_membership	ile_L
western_diet_gut_anoxic_membership	indole
western_diet_gut_anoxic_membership	inulin
western_diet_gut_anoxic_membership	k
western_diet_gut_anoxic_membership	kestopt
western_diet_gut_anoxic_membership	lanost
western_diet_gut_anoxic_membership	lcts
western_diet_gut_anoxic_membership	leu_L
western_diet_gut_anoxic_membership	levan1000
western_diet_gut_anoxic_membership	lichn
western_diet_gut_anoxic_membership	lmn30
western_diet_gut_anoxic_membership	lys_L
western_diet_gut_anoxic_membership	malt
western_diet_gut_anoxic_membership	man
western_diet_gut_anoxic_membership	melib
western_diet_gut_anoxic_membership	meoh
western_diet_gut_anoxic_membership	met_L
western_diet_gut_anoxic_membership	metsox_S_L
western_diet_gut_anoxic_membership	mg2
western_diet_gut_anoxic_membership	mn2
western_diet_gut_anoxic_membership	mnl
western_diet_gut_anoxic_membership	mobd
western_diet_gut_anoxic_membership	mqn7
western_diet_gut_anoxic_membership	mqn8
western_diet_gut_anoxic_membership	na1
western_diet_gut_anoxic_membership	nac
western_diet_gut_anoxic_membership	ncam
western_diet_gut_anoxic_membership	nmn
western_diet_gut_anoxic_membership	no2
western_diet_gut_anoxic_membership	ocdca
western_diet_gut_anoxic_membership	ocdcea
western_diet_gut_anoxic_membership	orn
western_diet_gut_anoxic_membership	oxa
western_diet_gut_anoxic_membership	pect
western_diet_gut_anoxic_membership	phe_L
western_diet_gut_anoxic_membership	pheme
western_diet_gut_anoxic_membership	pi
western_diet_gut_anoxic_membership	pime
western_diet_gut_anoxic_membership	pnto_R
western_diet_gut_anoxic_membership	pro_L
western_diet_gut_anoxic_membership	ptrc
western_diet_gut_anoxic_membership	pullulan1200
western_diet_gut_anoxic_membership	pydam
western_diet_gut_anoxic_membership	pydx
western_diet_gut_anoxic_membership	pydxn
western_diet_gut_anoxic_membership	q8
western_diet_gut_anoxic_membership	raffin
western_diet_gut_anoxic_membership	rhamnogalurI
western_diet_gut_anoxic_membership	rhamnogalurII
western_diet_gut_anoxic_membership	rib_D
western_diet_gut_anoxic_membership	ribflv
western_diet_gut_anoxic_membership	rmn
western_diet_gut_anoxic_membership	sbt_D
western_diet_gut_anoxic_membership	sel
western_diet_gut_anoxic_membership	ser_L
western_diet_gut_anoxic_membership	sheme
western_diet_gut_anoxic_membership	so4
western_diet_gut_anoxic_membership	spmd
western_diet_gut_anoxic_membership	starch1200
western_diet_gut_anoxic_membership	strch1
western_diet_gut_anoxic_membership	succ
western_diet_gut_anoxic_membership	sucr
western_diet_gut_anoxic_membership	thm
western_diet_gut_anoxic_membership	thr_L
western_diet_gut_anoxic_membership	thymd
western_diet_gut_anoxic_membership	tre
western_diet_gut_anoxic_membership	trp_L
western_diet_gut_anoxic_membership	ttdca
western_diet_gut_anoxic_membership	tyr_L
western_diet_gut_anoxic_membership	ura
western_diet_gut_anoxic_membership	uri
western_diet_gut_anoxic_membership	val_L
western_diet_gut_anoxic_membership	xan
western_diet_gut_anoxic_membership	xyl_D
western_diet_gut_anoxic_membership	xylan
western_diet_gut_anoxic_membership	xyluglc
western_diet_gut_anoxic_membership	zn2
