sample	hotspring	hotspring_common_name	broad_region_short	year	pH	temperature	temperature_regime	is_hotspring	filtered_Nsequences	metagenome2MAG_read_recruitment_rate
AA01.0.1	AA01	Mickey Hot Springs	ALV	2020	8.073703704	56.0	50_70	yes	4419184	0.120335
AA01.0.2	AA01	Mickey Hot Springs	ALV	2020	8.073703704	56.6	50_70	yes	2977643	0.12474
AA01.0.3	AA01	Mickey Hot Springs	ALV	2020	8.073703704	56.0	50_70	yes	1003882	0.100645
AA01.0.4	AA01	Mickey Hot Springs	ALV	2020	9.222962963	33.0	30_50	yes	2642426	0.041955
AA01.0.5	AA01	Mickey Hot Springs	ALV	2020	8.030740741	57.0	50_70	yes	640852	0.19925
AA01.1.1	AA01	Mickey Hot Springs	ALV	2021	8.41	41.4	30_50	yes	722556	0.156385
AA01.1.2	AA01	Mickey Hot Springs	ALV	2021	8.11	52.5	50_70	yes	803033	0.125235
AA01.1.3	AA01	Mickey Hot Springs	ALV	2021	8.16	51.3	50_70	yes	6593383	0.116605
AA01.1.5	AA01	Mickey Hot Springs	ALV	2021	9.36	35.4	30_50	yes	7066780	0.087985
AA01.1.6	AA01	Mickey Hot Springs	ALV	2021	9.27	31.9	30_50	yes	5772200	0.12155
AA01.2.1	AA01	Mickey Hot Springs	ALV	2022	8.31	49.2	30_50	yes	20403518	0.103675
AA01.2.2	AA01	Mickey Hot Springs	ALV	2022	8.09	52.7	50_70	yes	26643926	0.09624
AA01.2.3	AA01	Mickey Hot Springs	ALV	2022	8.11	52.0	50_70	yes	23964557	0.0937
AA01.2.4	AA01	Mickey Hot Springs	ALV	2022	8.08	53.3	50_70	yes	22751828	0.11141
AA01.2.5	AA01	Mickey Hot Springs	ALV	2022	8.22	48.8	30_50	yes	907671	0.07849
AA01.2.6	AA01	Mickey Hot Springs	ALV	2022	8.1	51.5	50_70	yes	24995544	0.151605
AA01.3.1	AA01	Mickey Hot Springs	ALV	2023	8.27	52.4	50_70	yes	26987100	0.112395
AA01.3.2	AA01	Mickey Hot Springs	ALV	2023	8.26	51.9	50_70	yes	17094383	0.11091
AA01.3.3	AA01	Mickey Hot Springs	ALV	2023	8.33	51.0	50_70	yes	20522004	0.13482
AA01.3.4	AA01	Mickey Hot Springs	ALV	2023	8.36	48.1	30_50	yes	54775	0.1195709722
AA01.3.5	AA01	Mickey Hot Springs	ALV	2023	8.24	52.5	50_70	yes	17661320	0.11777
AA01.3.6	AA01	Mickey Hot Springs	ALV	2023	9.15	36.1	30_50	yes	15154316	0.114365
AA03.0.3	AA03	Mickey Hot Springs	ALV	2020	8.363703704	71.0	70_80	yes	393373	0.17992
AA03.0.4	AA03	Mickey Hot Springs	ALV	2020	8.44962963	55.1	50_70	yes	6872690	0.091605
AA03.0.5	AA03	Mickey Hot Springs	ALV	2020	9.222962963	37.0	30_50	yes	839045	0.053505
AA03.1.2	AA03	Mickey Hot Springs	ALV	2021	8.94	41.5	30_50	yes	4106019	0.18992
AA03.1.3	AA03	Mickey Hot Springs	ALV	2021	7.92	62.2	50_70	yes	883165	0.09961
AA03.1.4	AA03	Mickey Hot Springs	ALV	2021	8.17	45.5	30_50	yes	818639	0.159855
AA03.1.5	AA03	Mickey Hot Springs	ALV	2021	8.42	65.5	50_70	yes	6181192	0.082825
AA03.1.6	AA03	Mickey Hot Springs	ALV	2021	8.9	28.1	below_30	yes	4803852	0.14917
AA03.1.7	AA03	Mickey Hot Springs	ALV	2021	8.57	60.3	50_70	yes	703151	0.118725
AA03.1.8	AA03	Mickey Hot Springs	ALV	2021	9.02	29.2	below_30	yes	3486732	0.097865
AA03.2.1	AA03	Mickey Hot Springs	ALV	2022	8.1	92.8	80_100	yes	21768662	0.11752
AA03.2.2	AA03	Mickey Hot Springs	ALV	2022	6.53	63.0	50_70	yes	28328521	0.136065
AA03.2.3	AA03	Mickey Hot Springs	ALV	2022	6.66	45.3	30_50	yes	29076921	0.139895
AA03.2.4	AA03	Mickey Hot Springs	ALV	2022	7.76	45.4	30_50	yes	37389256	0.174675
AA03.2.5	AA03	Mickey Hot Springs	ALV	2022	8.35	67.7	50_70	yes	24172730	0.089475
AA03.2.6	AA03	Mickey Hot Springs	ALV	2022	8.32	35.4	30_50	yes	27257011	0.194865
AA03.2.7	AA03	Mickey Hot Springs	ALV	2022	8.56	54.5	50_70	yes	24962180	0.09992
AA03.3.1	AA03	Mickey Hot Springs	ALV	2023	8.76	71.9	70_80	yes	19493161	0.141435
AA03.3.2	AA03	Mickey Hot Springs	ALV	2023	8.46	70.8	70_80	yes	24319296	0.119405
AA03.3.3	AA03	Mickey Hot Springs	ALV	2023	8.52	66.9	50_70	yes	21158313	0.155885
AA03.3.4	AA03	Mickey Hot Springs	ALV	2023	8.7	71.7	70_80	yes	19446940	0.111825
AA03.3.5	AA03	Mickey Hot Springs	ALV	2023	8.54	64.4	50_70	yes	26385216	0.099465
AA03.3.6	AA03	Mickey Hot Springs	ALV	2023	8.68	56.7	50_70	yes	31575396	0.108045
AA03.3.7	AA03	Mickey Hot Springs	ALV	2023	8.7	57.0	50_70	yes	23227704	0.120705
AB02.0.1	AB02		ALV	2020	6.717	76.9	70_80	yes	3019743	0.08262
AB02.0.2	AB02		ALV	2020	6.737428571	68.5	50_70	yes	4012998	0.10017
AB02.1.1	AB02		ALV	2021	6.83			yes	562547	0.08778
AB02.1.2	AB02		ALV	2021	7.17	53.8	50_70	yes	3328130	0.083005
AB02.2.1	AB02		ALV	2022	6.86	72.6	70_80	yes	22744111	0.08838
AB02.2.2	AB02		ALV	2022	7.39	47.8	30_50	yes	20886268	0.044625
AB02.3.1	AB02		ALV	2023	6.99	72.1	70_80	yes	21630353	0.043195
AB02.3.2	AB02		ALV	2023	7.04	65.3	50_70	yes	30233838	0.073905
AB03.0.1	AB03		ALV	2020	6.99962963	87.3	80_100	yes	343452	0.114215
AB03.0.2	AB03		ALV	2020	6.913703704	70.0	70_80	yes	1057289	0.081575
AB03.0.3	AB03		ALV	2020	8.224074074	43.6	30_50	yes	1843178	0.08276
AB03.1.1	AB03		ALV	2021	7.12	89.6	80_100	yes	1257636	0.07335
AB03.1.2	AB03		ALV	2021	7.07	67.6	50_70	yes	5243723	0.097915
AB03.1.3	AB03		ALV	2021	8.38	43.7	30_50	yes	970036	0.16652
AB03.2.1	AB03		ALV	2022	8.31	38.0	30_50	yes	21960230	0.170715
AB03.3.1	AB03		ALV	2023	7.77	44.5	30_50	yes	22255980	0.133885
AB04.0.1	AB04		ALV	2020	6.978148148	71.0	70_80	yes	543624	0.08632
AB04.1.1	AB04		ALV	2021	6.85	67.7	50_70	yes	14965980	0.109405
AB04.2.1	AB04		ALV	2022	6.9	71.1	70_80	yes	28729507	0.094425
AB04.3.1	AB04		ALV	2023	6.98	70.2	70_80	yes	17495033	0.12637
AB07.0.1	AB07		ALV	2020	7.074814815	56.3	50_70	yes	1952267	0.100155
AB07.0.2	AB07		ALV	2020	7.074814815	56.3	50_70	yes	175439	0.046915
AB07.1.1	AB07		ALV	2021	7.35	52.8	50_70	yes	3682373	0.08087
AB07.2.1	AB07		ALV	2022	7.16	52.2	50_70	yes	620412	0.08907
AB07.3.1	AB07		ALV	2023	7.29	50.2	50_70	yes	18429530	0.15082
AB07.3.2	AB07		ALV	2023	7.28	49.9	30_50	yes	32438397	0.134565
AB08.0.2	AB08		ALV	2020	7.332592593	66.1	50_70	yes	546531	0.150795
AB08.0.3	AB08		ALV	2020	7.794444444	52.6	50_70	yes	6896106	0.081485
AB08.1.2	AB08		ALV	2021	8.04	48.5	30_50	yes	1022205	0.13825
AB08.1.3	AB08		ALV	2021	7.67	59.0	50_70	yes	725125	0.07204
AB08.2.1	AB08		ALV	2022	6.99	90.0	80_100	yes	21851714	0.097665
AB08.2.2	AB08		ALV	2022	7.43	47.9	30_50	yes	28577519	0.102945
AB08.2.4	AB08		ALV	2022	7.85	51.8	50_70	yes	23463911	0.06943
AB08.3.2	AB08		ALV	2023	8.14	53.7	50_70	yes	19286383	0.09048
AB08.3.3	AB08		ALV	2023	8.17	50.9	50_70	yes	19131922	0.13455
AB08.3.4	AB08		ALV	2023	8.12	54.0	50_70	yes	22469861	0.110815
AB09.0.3	AB09		ALV	2020	7.848148148	44.2	30_50	yes	924763	0.085785
AB09.1.2	AB09		ALV	2021	7.73	36.3	30_50	yes	4662570	0.137045
AB09.2.2	AB09		ALV	2022	7.28	46.0	30_50	yes	23528934	0.069635
AB09.3.1	AB09		ALV	2023	7.91	61.8	50_70	yes	22901640	0.082555
AB09.3.2	AB09		ALV	2023	7.53	42.3	30_50	yes	17224233	0.06528
AB11A.0.1	AB11		ALV	2020	6.817037037	59.8	50_70	yes	1461759	0.06454
AB11A.1.1	AB11		ALV	2021	7.1	50.0	50_70	yes	3691892	0.17456
AB11A.2.1	AB11		ALV	2022	6.98	55.4	50_70	yes	20595876	0.176775
AB11A.3.1	AB11		ALV	2023	7.18	55.1	50_70	yes	18670243	0.17976
AB11B.0.1	AB11		ALV	2020	6.870740741	64.0	50_70	yes	3475216	0.059195
AB11B.1.1	AB11		ALV	2021	7.09	52.2	50_70	yes	10112594	0.063295
AB11B.2.1	AB11		ALV	2022	7.04	54.4	50_70	yes	26666486	0.248705
AB11B.3.1	AB11		ALV	2023	7.22	57.9	50_70	yes	23966417	0.07551
AB11C.0.1	AB11		ALV	2020	6.817037037	77.2	70_80	yes	1668919	0.081095
AB11C.1.1	AB11		ALV	2021	7.26	70.1	70_80	yes	3989958	0.088335
AB11C.2.1	AB11		ALV	2022	7.05	74.1	70_80	yes	23090919	0.05467
AB11C.3.1	AB11		ALV	2023	7.32	72.2	70_80	yes	24043880	0.05158
AB11D.1.1	AB11		ALV	2021	7.07	75.4	70_80	yes	2068258	0.088185
AB11D.3.1	AB11		ALV	2023	7.24	74.2	70_80	yes	22098214	0.073115
AB11E.3.1	AB11		ALV	2023	7.07	89.9	80_100	yes	22556492	0.131245
AB11F.0.1	AB11		ALV	2020	6.645185185	80.9	80_100	yes	380961	0.09816
AB11F.1.1	AB11		ALV	2021	7.04	78.4	70_80	yes	4991884	0.060675
AB11F.3.1	AB11		ALV	2023	7.1	73.0	70_80	yes	23748728	0.043735
AB20.0.1	AB20		ALV	2020	5.904074074	27.0	below_30	yes	3383700	0.25124
AB20.1.1	AB20		ALV	2021	5.89	23.8	below_30	yes	2446437	0.108635
AB20.2.1	AB20		ALV	2022	6.02	27.5	below_30	yes	30927776	0.25056
AB20.3.1	AB20		ALV	2023	6.76	26.0	below_30	yes	22465596	0.237315
AB22.0.1	AB22		ALV	2020	7.343333333	80.0	80_100	yes	539777	0.271785
AB22.0.2	AB22		ALV	2020	7.633333333	72.5	70_80	yes	699653	0.126075
AB22.0.3	AB22		ALV	2020	7.987777778	36.3	30_50	yes	818762	0.19109
AB22.0.4	AB22		ALV	2020	7.740740741	48.7	30_50	yes	2429904	0.098785
AB22.0.5	AB22		ALV	2020	7.321851852	71.8	70_80	yes	292835	0.060495
AB22.0.6	AB22		ALV	2020	8.116666667	46.3	30_50	yes	2556797	0.13201
AB22.0.7	AB22		ALV	2020	8.256296296	45.6	30_50	yes	1035835	0.168105
AB22.1.1	AB22		ALV	2021	7.5	76.6	70_80	yes	2776565	0.31565
AB22.1.2	AB22		ALV	2021	7.03	47.9	30_50	yes	695970	0.07865
AB22.1.3	AB22		ALV	2021	8.21	30.0	30_50	yes	723262	0.11029
AB22.1.4	AB22		ALV	2021	8.09	33.5	30_50	yes	5770119	0.175415
AB22.1.5	AB22		ALV	2021	7.08	52.2	50_70	yes	1032782	0.090565
AB22.1.6	AB22		ALV	2021	7.53	33.5	30_50	yes	1672502	0.143145
AB22.1.7	AB22		ALV	2021	7.53	33.5	30_50	yes	274486	0.16306
AB22.2.1	AB22		ALV	2022	7.14	83.1	80_100	yes	22148304	0.127165
AB22.2.2	AB22		ALV	2022	8.07	38.1	30_50	yes	26899673	0.18892
AB22.2.3	AB22		ALV	2022	7.96	37.8	30_50	yes	20999649	0.143585
AB22.2.4	AB22		ALV	2022	7.63	43.0	30_50	yes	26804281	0.22538
AB22.2.5	AB22		ALV	2022	7.26	54.5	50_70	yes	25945819	0.160085
AB22.3.1	AB22		ALV	2023	6.8	86.2	80_100	yes	20943040	0.096615
AB22.3.2	AB22		ALV	2023	6.78	55.3	50_70	yes	21647058	0.11818
AB22.3.3	AB22		ALV	2023	6.76	33.7	30_50	yes	20936948	0.17709
AB22.3.4	AB22		ALV	2023	6.77	23.4	below_30	yes	2243575	0.05963
AB22.3.5	AB22		ALV	2023	6.77	45.7	30_50	yes	25407541	0.1153
AB31.0.1	AB31		ALV	2020	6.763333333	75.3	70_80	yes	870252	0.125245
AB31.1.1	AB31		ALV	2021	6.86	73.0	70_80	yes	808528	0.07945
AB31.2.1	AB31		ALV	2022	6.84	74.0	70_80	yes	21463515	0.101905
AB31.3.1	AB31		ALV	2023	7.94	66.8	50_70	yes	33835719	0.106345
AB32.0.1	AB32		ALV	2020	6.827777778	69.9	50_70	yes	2666189	0.08373
AB32.1.1	AB32		ALV	2021	6.9	66.6	50_70	yes	1642709	0.085565
AB32.2.1	AB32		ALV	2022	6.94	64.0	50_70	yes	20595983	0.07315
AB32.3.1	AB32		ALV	2023	6.93	72.5	70_80	yes	22113495	0.090605
AB35.1.1	AB35	Borax Lake	ALV	2021	7.25	33.1	30_50	yes	1215174	0.047875
AB35.2.1	AB35	Borax Lake	ALV	2022	7.46	35.4	30_50	yes	24166930	0.063395
AB35.2.2	AB35	Borax Lake	ALV	2022	6.76	35.5	30_50	yes	23809852	0.066605
AB35.3.1	AB35	Borax Lake	ALV	2023	6.76	34.1	30_50	yes	18931551	0.069525
AB35.3.2	AB35	Borax Lake	ALV	2023	6.76	36.5	30_50	yes	20799566	0.043675
AM01.0.1	AM01		BLR	2020	8.696666667	56.0	50_70	yes	6752556	0.124725
AM01.0.2	AM01		BLR	2020	8.707407407	55.1	50_70	yes	7934369	0.10529
AM01.0.3	AM01		BLR	2020	8.632222222	55.1	50_70	yes	1845995	0.13864
AM01.0.4	AM01		BLR	2020	8.73962963	51.0	50_70	yes	376199	0.08543
AM01.0.5	AM01		BLR	2020	8.728888889	47.5	30_50	yes	2307191	0.180745
AM01.0.6	AM01		BLR	2020	8.428148148	45.7	30_50	yes	2083006	0.127745
AM01.0.7	AM01		BLR	2020	8.664444444	51.9	50_70	yes	1799827	0.22986
AM01.1.1	AM01		BLR	2021	8.48	53.7	50_70	yes	6222033	0.125155
AM01.1.2	AM01		BLR	2021	8.99	51.9	50_70	yes	4879872	0.245415
AM01.1.3	AM01		BLR	2021	8.44	53.0	50_70	yes	829477	0.119035
AM01.1.4	AM01		BLR	2021	8.88	31.8	30_50	yes	5206096	0.254005
AM01.1.5	AM01		BLR	2021	8.7	49.9	30_50	yes	1033809	0.11664
AM01.2.1	AM01		BLR	2022	8.42	53.6	50_70	yes	27216491	0.16793
AM01.2.10	AM01		BLR	2022		36.5	30_50	yes	22926962	0.187005
AM01.2.11	AM01		BLR	2022		35.9	30_50	yes	21501301	0.191545
AM01.2.12	AM01		BLR	2022		35.8	30_50	yes	34860285	0.21727
AM01.2.13	AM01		BLR	2022		38.8	30_50	yes	23987360	0.22051
AM01.2.2	AM01		BLR	2022	8.52	52.6	50_70	yes	25354348	0.180065
AM01.2.3	AM01		BLR	2022	8.63	48.2	30_50	yes	25239609	0.176035
AM01.2.4	AM01		BLR	2022	8.57	46.0	30_50	yes	27220121	0.21081
AM01.2.5	AM01		BLR	2022	9.54	30.8	30_50	yes	19834795	0.12741
AM01.2.6	AM01		BLR	2022	8.54	49.9	30_50	yes	25316054	0.122195
AM01.2.7	AM01		BLR	2022	8.48	47.9	30_50	yes	26647556	0.28846
AM01.2.8	AM01		BLR	2022		34.8	30_50	yes	18518574	0.13575
AM01.2.9	AM01		BLR	2022		34.8	30_50	yes	21851262	0.178815
AM01.3.1	AM01		BLR	2023	6.78	52.4	50_70	yes	23050499	0.124935
AM01.3.2	AM01		BLR	2023	6.78	50.8	50_70	yes	23008892	0.07525
AM01.3.3	AM01		BLR	2023	6.78	52.4	50_70	yes	21197384	0.108475
AM01.3.4	AM01		BLR	2023	6.78	52.2	50_70	yes	21292011	0.177155
AM01.3.5	AM01		BLR	2023	6.78	51.8	50_70	yes	21992577	0.13074
AM01.3.6	AM01		BLR	2023	6.77	47.5	30_50	yes	27226972	0.13758
AM01.3.7	AM01		BLR	2023	6.78	50.0	50_70	yes	14508860	0.16444
AM01.3.8	AM01		BLR	2023	6.77	48.4	30_50	yes	25288915	0.13083
AM02.0.1	AM02		BLR	2020	8.664444444	58.6	50_70	yes	2569198	0.100735
AM02.0.2	AM02		BLR	2020	8.621481481	58.0	50_70	yes	2638103	0.10286
AM02.0.3	AM02		BLR	2020	8.75037037	55.6	50_70	yes	2076967	0.106935
AM02.0.4	AM02		BLR	2020	8.621481481	57.2	50_70	yes	2265724	0.18999
AM02.0.5	AM02		BLR	2020	8.653703704	57.0	50_70	yes	3745678	0.156005
AM02.0.6	AM02		BLR	2020	8.653703704	57.0	50_70	yes	5799321	0.17544
AM02.0.7	AM02		BLR	2020	8.825555556	55.2	50_70	yes	3871919	0.13037
AM02.0.8	AM02		BLR	2020	8.73962963	55.3	50_70	yes	2319816	0.12346
