hotspring	ProcessID	Element	Process	RecoveredMAGCarrierFraction	RecruitmentRate	Samples
AA01	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.115485	22
AA01	cbb	Carbon	Calvin-Benson-Bassham fixation	0.20761068392452436	0.115485	22
AA01	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0002305	0.115485	22
AA01	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.10667005962327297	0.115485	22
AA01	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.053152290097381934	0.115485	22
AA01	hao	Nitrogen	Hydroxylamine oxidation	0.06116423622251771	0.115485	22
AA01	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.115485	22
AA01	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.13061493562756438	0.115485	22
AA01	n_fix	Nitrogen	Nitrogen fixation	0.15032597330968356	0.115485	22
AA01	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.023043361154359624	0.115485	22
AA01	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.026670391390968815	0.115485	22
AA01	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.05751935815397915	0.115485	22
AA01	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.018090534484137936	0.115485	22
AA01	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.115485	22
AA01	rtca	Carbon	Reverse TCA fixation	0.0013884918265494844	0.115485	22
AA01	sox	Sulfur	Thiosulfate oxidation by Sox	0.022012488780451464	0.115485	22
AA01	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.0539057273175948	0.115485	22
AA01	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.115485	22
AA01	three_hp	Carbon	3-hydroxypropionate bicycle	0.04803492794321618	0.115485	22
AA01	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.04824036562334725	0.115485	22
AA03	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.119065	24
AA03	cbb	Carbon	Calvin-Benson-Bassham fixation	0.1896284369954299	0.119065	24
AA03	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0	0.119065	24
AA03	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.10861415644405546	0.119065	24
AA03	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.029880012645610243	0.119065	24
AA03	hao	Nitrogen	Hydroxylamine oxidation	0.07842627151493003	0.119065	24
