FeatureID	Replicate	Block	Component	Loading	DisplayName	Modality	Phylum	HMDB	ChemicalClass
MB048	Final	microbiome	1	0.543529648651402	Ventricola	Microbiome	Firmicutes_A		
MB115	Final	microbiome	1	0.429930363523585	CAG-83	Microbiome	Firmicutes_A		
MB114	Final	microbiome	1	0.322899422949249	CAG-170	Microbiome	Firmicutes_A		
MB135	Final	microbiome	1	0.274300610412134	Copromorpha	Microbiome	Firmicutes_A		
MB117	Final	microbiome	1	0.246578751973934	ER4	Microbiome	Firmicutes_A		
MB161	Final	microbiome	1	-0.213939963839598	Citrobacter	Microbiome	Proteobacteria		
MB109	Final	microbiome	1	0.207603973679915	UBA1417	Microbiome	Firmicutes_A		
MB077	Final	microbiome	1	-0.189224307937586	Faecalimonas	Microbiome	Firmicutes_A		
MB036	Final	microbiome	1	-0.187721792360643	Limosilactobacillus	Microbiome	Firmicutes		
MB037	Final	microbiome	1	-0.186097560318375	Pediococcus	Microbiome	Firmicutes		
MB090	Final	microbiome	1	-0.169451019770547	Ruminococcus_B	Microbiome	Firmicutes_A		
MB119	Final	microbiome	1	0.129653944214089	Faecousia	Microbiome	Firmicutes_A		
MB149	Final	microbiome	1	-0.120588575925174	Anaeroglobus	Microbiome	Firmicutes_C		
MB034	Final	microbiome	1	-0.0819227447180015	Lactobacillus	Microbiome	Firmicutes		
MB073	Final	microbiome	1	-0.0789081618585796	Enterocloster	Microbiome	Firmicutes_A		
MB007	Final	microbiome	1	0.0617335148085726	CAG-1427	Microbiome	Actinobacteriota		
MB128	Final	microbiome	1	0.0593799703936585	Gemmiger	Microbiome	Firmicutes_A		
MB154	Final	microbiome	1	-0.0468889988842735	Fusobacterium	Microbiome	Fusobacteriota		
MB074	Final	microbiome	1	0.0429825234534793	Eubacterium_F	Microbiome	Firmicutes_A		
MB092	Final	microbiome	1	-0.0222669042958153	Scybalomonas	Microbiome	Firmicutes_A		
MB102	Final	microbiome	2	0.478959037089446	Caproicibacterium	Microbiome	Firmicutes_A		
MB078	Final	microbiome	2	-0.449407225015514	Fusicatenibacter	Microbiome	Firmicutes_A		
MB049	Final	microbiome	2	0.393506801836978	Clostridium	Microbiome	Firmicutes_A		
MB138	Final	microbiome	2	0.301397429881559	Romboutsia	Microbiome	Firmicutes_A		
MB003	Final	microbiome	2	0.288995521621313	Mycobacterium	Microbiome	Actinobacteriota		
MB041	Final	microbiome	2	-0.230216895591029	Faecimonas	Microbiome	Firmicutes		
MB004	Final	microbiome	2	0.216979037387034	Streptomyces	Microbiome	Actinobacteriota		
MB159	Final	microbiome	2	-0.156537983480469	Parasutterella	Microbiome	Proteobacteria		
MB127	Final	microbiome	2	0.152274477610338	Fournierella	Microbiome	Firmicutes_A		
MB133	Final	microbiome	2	-0.12947138134006	Ruthenibacterium	Microbiome	Firmicutes_A		
MB141	Final	microbiome	2	0.12048559888221	Merdicola	Microbiome	Firmicutes_A		
MB103	Final	microbiome	2	-0.1149166144013	Clostridium_A	Microbiome	Firmicutes_A		
MB045	Final	microbiome	2	0.104166524946843	UBA1685	Microbiome	Firmicutes_A		
MB106	Final	microbiome	2	-0.0999295440737823	Fimivicinus	Microbiome	Firmicutes_A		
MB042	Final	microbiome	2	-0.0937633333865575	UBA5026	Microbiome	Firmicutes		
MB027	Final	microbiome	2	0.0914257336196865	Bulleidia	Microbiome	Firmicutes		
MB082	Final	microbiome	2	0.0609139875428889	Lachnospira	Microbiome	Firmicutes_A		
MB118	Final	microbiome	2	-0.0488340712474288	Evtepia	Microbiome	Firmicutes_A		
MB002	Final	microbiome	2	0.0419846044769103	Bifidobacterium	Microbiome	Actinobacteriota		
MB124	Final	microbiome	2	0.036377783215501	Scatomorpha	Microbiome	Firmicutes_A		
MT151	Final	metabolome	1	-0.435582222959142	C16 carnitine	Metabolome		HMDB0000222	Acyl carnitines
MT023	Final	metabolome	1	-0.414383133606254	adrenic acid	Metabolome		HMDB0002226	Very long-chain fatty acids
MT152	Final	metabolome	1	-0.384930074533924	C18:2 carnitine	Metabolome		HMDB0006469	Acyl carnitines
MT149	Final	metabolome	1	0.341355892738055	5alpha-cholestanol	Metabolome		HMDB0000908	
MT037	Final	metabolome	1	-0.317404503018193	N-oleoylethanolamine	Metabolome		HMDB0002088	Organonitrogen compounds
MT067	Final	metabolome	1	0.277034007363528	hydrocinnamic acid	Metabolome		HMDB0000764	
MT150	Final	metabolome	1	-0.233970040619233	C14 carnitine	Metabolome		HMDB0005066	Acyl carnitines
MT003	Final	metabolome	1	0.169938804113362	undecanedionate	Metabolome		HMDB0000888	Medium-chain fatty acids
MT006	Final	metabolome	1	0.168257877569556	dodecanedioic acid	Metabolome		HMDB0000623	Medium-chain fatty acids
MT007	Final	metabolome	1	0.154100617302171	2-hydroxymyristic acid	Metabolome		HMDB0002261	Long-chain fatty acids
MT078	Final	metabolome	1	0.130000934884739	suberate	Metabolome		HMDB0000893	
MT017	Final	metabolome	1	0.103262548949072	hexadecanedioic acid	Metabolome		HMDB0000672	Long-chain fatty acids
MT050	Final	metabolome	1	0.0957508343985804	caproic acid	Metabolome		HMDB0000535	Medium-chain fatty acids
MT057	Final	metabolome	1	-0.0955442825953651	erythronic acid	Metabolome		HMDB0000613	
MT136	Final	metabolome	1	-0.0717037618353464	ADMA	Metabolome		HMDB0001539	Arginine and derivatives
MT089	Final	metabolome	1	-0.0608589031732481	cystine	Metabolome		HMDB0250712	L-cysteine-S-conjugates
MT148	Final	metabolome	1	-0.0530153239029217	phytosphingosine	Metabolome		HMDB0004610	Organonitrogen compounds
