Modality	FeatureID	DisplayName	Genus	Phylum	HMDB	KEGG	ChemicalClass	RawFeature	TrainingPrevalence	TrainingMean	TrainingVariance	HighConfidenceAnnotation
Microbiome	MB001	Pauljensenia	Pauljensenia	Actinobacteriota				d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia	1.0	0.0006705779386886895	2.7429322701868656e-06	True
Microbiome	MB002	Bifidobacterium	Bifidobacterium	Actinobacteriota				d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium	1.0	0.030788953846356763	0.0030279448060754983	True
Microbiome	MB003	Mycobacterium	Mycobacterium	Actinobacteriota				d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	1.0	0.0006803444686869038	1.4393802316285609e-05	True
Microbiome	MB004	Streptomyces	Streptomyces	Actinobacteriota				d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces	1.0	0.0008970154771265835	1.6742321652211925e-05	True
Microbiome	MB005	Collinsella	Collinsella	Actinobacteriota				d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	1.0	0.017179155769072845	0.0009867267167152844	True
Microbiome	MB006	Adlercreutzia	Adlercreutzia	Actinobacteriota				d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia	1.0	0.002366815888290493	1.4960309904172268e-05	True
Microbiome	MB007	CAG-1427	CAG-1427	Actinobacteriota				d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427	1.0	0.0009984007827228572	4.858726208570314e-06	True
Microbiome	MB008	Eggerthella	Eggerthella	Actinobacteriota				d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella	1.0	0.0023324668724863658	2.5942341838978734e-05	True
Microbiome	MB009	Gordonibacter	Gordonibacter	Actinobacteriota				d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	0.9806451612903225	0.0007453361650295536	1.4378216296979562e-06	True
Microbiome	MB010	Alloprevotella	Alloprevotella	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella	1.0	0.0009976859697284888	1.688041460151555e-05	True
Microbiome	MB011	Bacteroides	Bacteroides	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1.0	0.08076349170437763	0.00853471838849613	True
Microbiome	MB012	Paraprevotella	Paraprevotella	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella	1.0	0.0006293275649809793	1.677986027271723e-06	True
Microbiome	MB013	Phocaeicola	Phocaeicola	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola	1.0	0.07347041821305116	0.008691554062350382	True
Microbiome	MB014	Prevotella	Prevotella	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	1.0	0.02214978250598614	0.0052740439739162506	True
Microbiome	MB015	Barnesiella	Barnesiella	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	0.967741935483871	0.0015243569838830002	1.656843066808796e-05	True
Microbiome	MB016	Butyricimonas	Butyricimonas	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas	0.9935483870967742	0.0008515736505436851	1.9171496631064336e-06	True
Microbiome	MB017	Odoribacter	Odoribacter	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	1.0	0.0019442543048633404	1.846496279129665e-05	True
Microbiome	MB018	Limisoma	Limisoma	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma	0.9419354838709677	0.0006978343353151898	1.5294040479782906e-05	True
Microbiome	MB019	Alistipes	Alistipes	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1.0	0.023753018583395912	0.0017420040183621103	True
Microbiome	MB020	Alistipes_A	Alistipes_A	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A	0.9870967741935484	0.0006399931849086631	1.976891539199116e-06	True
Microbiome	MB021	Parabacteroides	Parabacteroides	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	1.0	0.019988733400896387	0.001769925424922552	True
Microbiome	MB022	Cryptobacteroides	Cryptobacteroides	Bacteroidota				d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides	1.0	0.0009755747377971811	6.67440116907698e-05	True
Microbiome	MB023	Bilophila	Bilophila	Desulfobacterota_I				d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	1.0	0.0017586615407535599	1.5171942619865532e-05	True
Microbiome	MB024	Catenibacterium	Catenibacterium	Firmicutes				d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium	0.9870967741935484	0.0005945300970021655	3.924457265403364e-06	True
