Modality	Axis	VarianceExplained
Microbiome CLR	1	0.216466572203656
Microbiome CLR	2	0.0797027763423836
Microbiome CLR	3	0.0626455529679311
Microbiome CLR	4	0.043892175510654
Microbiome CLR	5	0.0318651207268795
Microbiome CLR	6	0.0269672437163348
Microbiome CLR	7	0.0239412999007524
Microbiome CLR	8	0.0228463293171078
Microbiome CLR	9	0.0222342482482318
Microbiome CLR	10	0.0206263871963339
Metabolome log1p autoscaled	1	0.175175491846364
Metabolome log1p autoscaled	2	0.143147922932333
Metabolome log1p autoscaled	3	0.0641363072750576
Metabolome log1p autoscaled	4	0.039557087913283
Metabolome log1p autoscaled	5	0.0338956304074849
Metabolome log1p autoscaled	6	0.0324409947501967
Metabolome log1p autoscaled	7	0.0288515399453665
Metabolome log1p autoscaled	8	0.0234264022562493
Metabolome log1p autoscaled	9	0.0197329337712633
Metabolome log1p autoscaled	10	0.0171753437504586
