Feature	PathwayID	Description	Subjects	MedianLog2RNAoverDNA	MeanLog2RNAoverDNA	CILow	CIHigh	PValue	QValue	BH05
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	103	0.016972073219492664	-0.008370405349186066	-0.07266622460631539	0.10654437223165651	0.7974770298529252	0.8128872140046726	False
ANAEROFRUCAT-PWY: homolactic fermentation	ANAEROFRUCAT-PWY	homolactic fermentation	103	0.424750060265473	0.43907606415597883	0.22126999063570124	0.6156432555836537	4.905967769535671e-08	9.325758552901141e-08	True
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	103	1.3717895145694756	1.3752466923296602	1.307623143628514	1.475466806732967	1.2469754626335515e-18	2.4008567814757344e-17	True
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	68	-0.9971998996202659	-1.126906030952233	-1.4882603446004163	-0.908464157431657	3.2012117287130075e-09	6.432911188175663e-09	True
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	ARGININE-SYN4-PWY	L-ornithine de novo  biosynthesis	99	-0.25327705213369117	-0.2569968556396122	-0.49019984014114115	-0.11459348382973639	4.050487234641638e-05	6.104662903638469e-05	True
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	98	-0.6088827413368144	-0.5669551870270554	-0.8041768933543354	-0.40594911466891115	1.4371106405032247e-07	2.5269195428848366e-07	True
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	93	-0.6905259079101175	-0.5189157639718123	-0.865875274406298	-0.41825176949358295	1.6144928693342944e-05	2.5048382016877656e-05	True
ARO-PWY: chorismate biosynthesis I	ARO-PWY	chorismate biosynthesis I	103	-0.7451860814745516	-0.8082480563745621	-0.9341365920433896	-0.6193971792409871	3.69505249928009e-17	2.59885359116033e-16	True
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	103	-0.30707549240917914	-0.22611129086585308	-0.461756743243496	-0.22446385949060438	2.62716408367233e-06	4.2971443539136565e-06	True
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	91	-0.28385708916613317	-0.14041545257680388	-0.6066573086601024	-0.02433608979946454	0.06455287449127109	0.07567031398698999	False
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	103	-0.7545745681112964	-0.8088011467031823	-0.9663475858988175	-0.5523091223890005	1.5667255529941638e-14	5.3319208335769125e-14	True
CALVIN-PWY: Calvin-Benson-Bassham cycle	CALVIN-PWY	Calvin-Benson-Bassham cycle	103	0.44233609518262856	0.3808008870280415	0.3410690861305627	0.48903565655795794	4.453459956582541e-12	1.1321446395649593e-11	True
CENTFERM-PWY: pyruvate fermentation to butanoate	CENTFERM-PWY	pyruvate fermentation to butanoate	54	1.4769810592733137	1.4638452278689653	0.9822811468782482	1.8419554789687413	4.4290917928852566e-10	9.34538368298789e-10	True
CITRULBIO-PWY: L-citrulline biosynthesis	CITRULBIO-PWY	L-citrulline biosynthesis	99	1.2123731825192443	1.1988876811162765	1.0033915047180841	1.4391965141109357	3.2457817296233017e-15	1.2921885753783334e-14	True
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	COA-PWY-1	coenzyme A biosynthesis II (mammalian)	103	-0.4623808602729689	-0.44530221061501063	-0.5311011245244984	-0.3804078933897421	7.799936674101607e-15	2.789468878365151e-14	True
COA-PWY: coenzyme A biosynthesis I	COA-PWY	coenzyme A biosynthesis I	103	-0.359348818560763	-0.45258916103283464	-0.5854902496027989	-0.2274091170057921	7.353720699171804e-08	1.3376164375217678e-07	True
