Feature	EC	Description	LayerPair	Subjects	SpearmanRho	PValue	QValue	BH05
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	DNA–RNA	76	0.5227341079972659	1.2726822206557308e-06	8.731706713890187e-06	True
1.1.1.157: 3-hydroxybutyryl-CoA dehydrogenase	1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	DNA–RNA	76	0.6577761980755034	1.0777366954548949e-10	2.1864075912560972e-09	True
1.1.1.205: IMP dehydrogenase	1.1.1.205	IMP dehydrogenase	DNA–RNA	76	0.36295283663704714	0.001271438907867464	0.004380634490425455	True
1.1.1.262: 4-hydroxythreonine-4-phosphate dehydrogenase	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase	DNA–RNA	76	0.6007382091592618	9.637346951412981e-09	1.0275495600898435e-07	True
1.1.1.27: L-lactate dehydrogenase	1.1.1.27	L-lactate dehydrogenase	DNA–RNA	76	0.4690362269309638	1.9226395783279893e-05	9.850406670784308e-05	True
1.1.1.35: 3-hydroxyacyl-CoA dehydrogenase	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	DNA–RNA	76	0.7021375509736636	1.581702237054313e-12	6.568226658083436e-11	True
1.1.1.37: Malate dehydrogenase	1.1.1.37	Malate dehydrogenase	DNA–RNA	76	0.5089268626110732	2.6746346501384063e-06	1.673311683613647e-05	True
1.1.1.3: Homoserine dehydrogenase	1.1.1.3	Homoserine dehydrogenase	DNA–RNA	76	0.50323991797676	3.597993692385427e-06	2.2006333513892263e-05	True
1.1.1.42: Isocitrate dehydrogenase (NADP(+))	1.1.1.42	Isocitrate dehydrogenase (NADP(+))	DNA–RNA	76	0.3064388243335612	0.0070961441817028745	0.020139776112818593	True
1.1.1.44: Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	DNA–RNA	76	0.45356117566643883	3.876630982791131e-05	0.00019116636533888763	True
1.1.1.49: Glucose-6-phosphate dehydrogenase (NADP(+))	1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+))	DNA–RNA	76	0.41063568010936435	0.00022921776373395825	0.0009274503363389387	True
