Feature	DNAPrevalence	RNAPrevalence	ProteinPrevalence	EC	Description	MinimumPrevalence	Selected
1.1.1.100: 3-oxoacyl-[acyl-carrier-protein] reductase	0.9946236559139785	1.0	0.14516129032258066	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	0.14516129032258066	True
1.1.1.103: L-threonine 3-dehydrogenase	0.989247311827957	0.9731182795698925	0.08602150537634409	1.1.1.103	L-threonine 3-dehydrogenase	0.08602150537634409	False
1.1.1.127: 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	0.478494623655914	0.10752688172043011	0.005376344086021506	1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	0.005376344086021506	False
1.1.1.133: dTDP-4-dehydrorhamnose reductase	0.9946236559139785	0.9516129032258065	0.016129032258064516	1.1.1.133	dTDP-4-dehydrorhamnose reductase	0.016129032258064516	False
1.1.1.14: L-iditol 2-dehydrogenase	0.978494623655914	0.6021505376344086	0.03763440860215054	1.1.1.14	L-iditol 2-dehydrogenase	0.03763440860215054	False
1.1.1.157: 3-hydroxybutyryl-CoA dehydrogenase	0.9516129032258065	0.9408602150537635	0.8548387096774194	1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	0.8548387096774194	True
1.1.1.169: 2-dehydropantoate 2-reductase	0.9946236559139785	0.978494623655914	0.0	1.1.1.169	2-dehydropantoate 2-reductase	0.0	False
1.1.1.17: Mannitol-1-phosphate 5-dehydrogenase	0.9408602150537635	0.489247311827957	0.021505376344086023	1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase	0.021505376344086023	False
1.1.1.18: Inositol 2-dehydrogenase	0.6075268817204301	0.13978494623655913	0.016129032258064516	1.1.1.18	Inositol 2-dehydrogenase	0.016129032258064516	False
1.1.1.1: Alcohol dehydrogenase	0.989247311827957	0.9408602150537635	0.06451612903225806	1.1.1.1	Alcohol dehydrogenase	0.06451612903225806	False
1.1.1.202: 1,3-propanediol dehydrogenase	0.34946236559139787	0.03225806451612903	0.0	1.1.1.202	1,3-propanediol dehydrogenase	0.0	False
1.1.1.205: IMP dehydrogenase	0.9946236559139785	0.9946236559139785	0.6290322580645161	1.1.1.205	IMP dehydrogenase	0.6290322580645161	True
1.1.1.22: UDP-glucose 6-dehydrogenase	0.989247311827957	0.9408602150537635	0.010752688172043012	1.1.1.22	UDP-glucose 6-dehydrogenase	0.010752688172043012	False
1.1.1.23: Histidinol dehydrogenase	0.989247311827957	0.989247311827957	0.06451612903225806	1.1.1.23	Histidinol dehydrogenase	0.06451612903225806	False
1.1.1.25: Shikimate dehydrogenase	0.9946236559139785	0.978494623655914	0.016129032258064516	1.1.1.25	Shikimate dehydrogenase	0.016129032258064516	False
1.1.1.262: 4-hydroxythreonine-4-phosphate dehydrogenase	0.989247311827957	0.9946236559139785	0.15053763440860216	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase	0.15053763440860216	True
1.1.1.267: 1-deoxy-D-xylulose-5-phosphate reductoisomerase	0.9946236559139785	0.989247311827957	0.06451612903225806	1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase	0.06451612903225806	False
1.1.1.271: GDP-L-fucose synthase	0.989247311827957	0.967741935483871	0.03763440860215054	1.1.1.271	GDP-L-fucose synthase	0.03763440860215054	False
1.1.1.27: L-lactate dehydrogenase	0.989247311827957	0.989247311827957	0.13440860215053763	1.1.1.27	L-lactate dehydrogenase	0.13440860215053763	True
1.1.1.282: Quinate/shikimate dehydrogenase	0.3709677419354839	0.043010752688172046	0.005376344086021506	1.1.1.282	Quinate/shikimate dehydrogenase	0.005376344086021506	False
1.1.1.284: S-(hydroxymethyl)glutathione dehydrogenase	0.521505376344086	0.23118279569892472	0.005376344086021506	1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase	0.005376344086021506	False
1.1.1.28: D-lactate dehydrogenase	0.8655913978494624	0.6505376344086021	0.026881720430107527	1.1.1.28	D-lactate dehydrogenase	0.026881720430107527	False
