SampleID	1 peptide · 1% FDR	1 peptide · 5% FDR	2 peptides · 1% FDR	2 peptides · 5% FDR
PSMA2644	1830.0	2233	664	771
PSM7J13A	1022.0	1357	319	361
PSM7J12D	163.0	267	30	32
MSMA26EH	368.0	628	113	132
MSMA26AL	598.0	850	202	236
MSM79HB4	862.0	1173	318	352
HSM6XRQ8	2045.0	2416	715	791
CSMAHYLR	707.0	968	241	274
CSM9X1XW	658.0	917	230	265
MSM9VZFR	2115.0	2544	874	962
MSM9VZFJ	1892.0	2315	656	785
MSM9VZKE	2376.0	2834	897	1008
HSM7CZ2V	317.0	538	72	104
CSM79HMZ	1299.0	1647	449	512
CSM79HPM	1201.0	1532	372	434
HSM7CZ3G	1521.0	1951	495	619
HSM7J4MK	2032.0	2403	726	848
MSM6J2NA	2505.0	2920	864	988
CSM79HI7	521.0	778	148	200
HSM7J4J5	1083.0	1383	409	462
CSM7KOJE	548.0	807	139	206
MSM6J2JF	1039.0	1319	443	486
HSM6XRTM	500.0	728	150	184
CSM79HQZ	2363.0	2757	1047	1163
CSM79HJS	911.0	1257	265	334
HSM6XRTS	1177.0	1535	380	485
CSM79HHW	1806.0	2164	630	708
CSM79HJM	1373.0	1696	481	572
MSM79HBT	241.0	428	53	76
MSM79HBN	261.0	460	33	53
CSM67UH7	2365.0	2743	842	936
PSM7J1AW	803.0	1116	185	263
HSMA33JN	1979.0	2369	693	797
MSM6J2LT	2379.0	2890	932	1102
HSM7J4IC	374.0	616	63	112
HSM7J4OZ	1252.0	1581	458	539
PSM6XBS6	160.0	272	29	45
CSM7KOL4	1224.0	1631	341	449
PSMA265J	1083.0	1450	328	411
CSM79HOZ	1926.0	2341	688	796
CSM79HOD	2124.0	2648	700	864
MSM9VZHR	2397.0	2851	1005	1133
MSM79H9O	875.0	1251	191	270
HSM7J4G1	844.0	1188	241	307
HSM5MD7H	392.0	648	97	127
HSM5MD79	1386.0	1817	430	502
MSM79H5K	978.0	1414	219	322
CSM79HLW	2447.0	2875	1071	1182
PSMA265V	1134.0	1472	411	490
CSM5MCVV	913.0	1190	327	383
CSM5FZ4C	614.0	874	187	247
CSM5FZ3N	902.0	1188	335	378
MSM6J2H9	1439.0	1832	488	581
PSMA265N	81.0	137	23	24
CSM79HLK	248.0	419	53	81
CSM7KONC	2146.0	2535	823	899
HSM7J4LN	501.0	705	165	191
MSM6J2HF	1136.0	1417	437	470
PSM7J1BN	145.0	326	32	43
PSM7J195	424.0	618	142	168
PSM7J12J	644.0	917	201	239
MSM5LLFG	1528.0	1905	531	629
MSM5LLGR	2071.0	2519	723	849
MSM6J2IG	2338.0	2787	830	945
CSM79HIN	3104.0	3568	1207	1346
MSM79H7Q	971.0	1318	291	361
CSM79HOL	1359.0	1692	467	548
CSM79HGH	1526.0	1900	496	580
CSM7KOMX	1978.0	2367	788	911
MSM79H7Y	2617.0	3068	975	1087
HSM7CYXC	847.0	1131	290	331
MSM79H6F	2285.0	2781	658	775
MSM79H6N	2464.0	2919	884	1008
CSM79HK1	1337.0	1647	593	664
CSM79HK5	758.0	1032	302	353
HSMA33O1	760.0	1003	283	319
PSM7J136	3179.0	3594	1454	1571
MSM6J2JR	1903.0	2268	787	855
HSM7J4NE	402.0	627	123	147
MSM9VZJL	219.0	391	30	50
MSM9VZM6	1798.0	2113	682	740
HSM7J4GR	742.0	1019	273	311
MSM9VZOI	1251.0	1510	444	488
HSM5MD7O	102.0	262	19	25
HSM5MD86	244.0	395	52	77
HSM5MD4A	256.0	455	59	70
MSM9VZHJ	1075.0	1373	423	476
MSM6J2LV	784.0	1111	217	282
MSMA26EV	1398.0	1787	429	489
PSM6XBRK	810.0	1088	311	341
HSM7J4IU	510.0	775	114	168
HSMA33MI	1008.0	1333	331	385
CSM79HGZ	1655.0	2020	573	645
PSM6XBTH	1229.0	1552	412	513
MSM5LLF4	306.0	500	65	83
CSM7KOJO	935.0	1165	368	413
MSM5LLEH	443.0	638	164	193
CSM7KONK	491.0	741	111	148
HSM7CZ2P	1508.0	1938	483	603
MSM9VZNL	1545.0	2024	442	562
HSM67VH1	980.0	1255	393	460
HSM6XRV2	1685.0	2091	539	630
CSM7KOOR	275.0	390	69	75
CSM7KOQZ	2312.0	2759	914	1057
CSM7KOOH	771.0	1154	182	256
CSM7KOR8	2144.0	2559	880	986
MSM79H58	1102.0	1446	294	368
ESM7F5C5	1584.0	2076	496	607
MSM79H52	2592.0	3048	915	1021
MSM79HD8	211.0	352	55	82
HSM6XRRD	1318.0	1649	431	516
HSM6XRQE	2374.0	2723	904	982
MSM79H9C	1828.0	2237	626	710
MSM9VZM4	2247.0	2640	933	1016
HSMA33JT	1076.0	1450	290	390
ESM7F5AO	2288.0	2734	833	954
ESM7F5CD	650.0	934	145	209
CSM79HNK	1459.0	1812	441	509
MSM5LLFK	329.0	506	65	89
MSM5LLFO	993.0	1289	356	394
CSM79HJG	2556.0	2934	1004	1112
