LKTFeature	Gram	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	LKT
LKT__s__Bacteroides_vulgatus	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_vulgatus	LKT__s__Bacteroides_vulgatus
LKT__s__Bacteroides_uniformis	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_uniformis	LKT__s__Bacteroides_uniformis
LKT__s__Bacteroides_stercoris	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_stercoris	LKT__s__Bacteroides_stercoris
LKT__s__Bacteroides_Unclassified	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_Unclassified_1_1_30	LKT__s__Bacteroides_Unclassified
LKT__s__Faecalibacterium_prausnitzii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium_prausnitzii	LKT__s__Faecalibacterium_prausnitzii
LKT__s__Bacteroides_ovatus	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_ovatus	LKT__s__Bacteroides_ovatus
LKT__g__Bacteroides	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Unclassified	LKT__g__Bacteroides
LKT__s__Bacteroides_thetaiotaomicron	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_thetaiotaomicron	LKT__s__Bacteroides_thetaiotaomicron
LKT__s__Prevotella_copri	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_copri	LKT__s__Prevotella_copri
LKT__s__Bacteroides_cellulosilyticus	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_cellulosilyticus	LKT__s__Bacteroides_cellulosilyticus
