Iteration	CindexClinical	CindexMicrobiome	AUC180Clinical	AUC180Microbiome	AUC365Clinical	AUC365Microbiome	AUC548Clinical	AUC548Microbiome	CindexDelta	AUC180Delta	AUC365Delta	AUC548Delta
1	0.665673693858845	0.662923923006416	0.698169433801618	0.719029374201788	0.618865513647066	0.628277685986655	0.668233006782541	0.708693880974465	-0.002749770852429	0.0208599404001703	0.00941217233958891	0.040460874191924
2	0.708487084870849	0.726720208378554	0.742506319971109	0.775370169736367	0.711525343084345	0.745803555301011	0.706990244471662	0.746032944712348	0.0182331235077057	0.0328638497652582	0.0342782122166663	0.0390427002406863
3	0.636652302109322	0.654570197323656	0.658783783783784	0.682432432432432	0.665860908937035	0.69112855450237	0.628352028768905	0.666038755872203	0.0179178952143344	0.0236486486486487	0.0252676455653351	0.0376867271032987
4	0.653763440860215	0.675507765830346	0.696610861576153	0.760310330747244	0.652487663335227	0.697621187262581	0.630156098175499	0.698726373387719	0.0217443249701313	0.0636994691710903	0.0451335239273548	0.0685702752122208
5	0.677909639808453	0.694774099521133	0.687142857142857	0.76	0.652263374485597	0.723593964334705	0.653493954480797	0.744310099573258	0.0168644597126796	0.0728571428571428	0.0713305898491083	0.0908161450924609
6	0.624809243514279	0.665140614780903	0.585960960960961	0.667417417417417	0.596790641338079	0.662358440373945	0.655798351593438	0.725482895439549	0.0403313712666231	0.0814564564564564	0.0655677990358664	0.0696845438461118
7	0.623975851660198	0.68132815868909	0.575841721624436	0.673377299548768	0.566405316389286	0.663487714593838	0.619476789274379	0.719450272661242	0.0573523070288918	0.0975355779243318	0.0970823982045528	0.0999734833868631
8	0.650229943791518	0.672713336739908	0.630117647058824	0.645176470588235	0.642745098039216	0.65921568627451	0.641156472376908	0.703013575393363	0.0224833929483904	0.0150588235294117	0.0164705882352941	0.0618571030164542
9	0.700639752923009	0.71255239355835	0.696778711484594	0.738445378151261	0.69469537873265	0.72908051439135	0.749691486144638	0.794778182921144	0.0119126406353408	0.0416666666666666	0.0343851356587002	0.0450866967765067
10	0.694196428571429	0.699330357142857	0.657163742690059	0.695906432748538	0.703364458757464	0.70833265903905	0.770095202671561	0.79549324428129	0.00513392857142858	0.0387426900584795	0.00496820028158529	0.0253980416097288
