Rho	ACMEControl	ACMETreated	ACMEAverage	LowerAverage	UpperAverage
-0.95	0.296612795017364	0.37463679105793	0.335624793037647	-0.0395792944053613	0.628192265322745
-0.9	0.238201685640523	0.264421454139984	0.251311569890253	-0.0276116982898607	0.513922169592779
-0.85	0.200795400009543	0.20735580210885	0.204075601059197	-0.0218196536689362	0.438935113461526
-0.8	0.173787033174188	0.171024910368714	0.172405971771451	-0.0182478582660775	0.380595585472499
-0.75	0.152789046816019	0.145137773308467	0.148963410062243	-0.0157018730414488	0.334952654582933
-0.7	0.135628384158897	0.125332711131179	0.130480547645038	-0.0136034951814914	0.298129673940937
-0.65	0.121088521069684	0.109416810220171	0.115252665644928	-0.0117669905843968	0.26865067241502
-0.6	0.108426362377905	0.0961547360186884	0.102290549198297	-0.010203708037798	0.241141454225047
-0.55	0.0971572600857612	0.0847913267104694	0.0909742933981153	-0.00884568556516752	0.217212824574255
-0.5	0.0869483950909421	0.0748354418648508	0.0808919184778965	-0.00763645289900213	0.196871124749879
-0.45	0.0775613329629818	0.065951616599414	0.0717564747811979	-0.00659712833591171	0.177592678321569
-0.4	0.0688189731204075	0.0579013327175224	0.0633601529189649	-0.00570118200192422	0.159001454257344
-0.35	0.0605854814150835	0.0505091362814343	0.0555473088482589	-0.0049961662249663	0.144869218931582
-0.3	0.0527535365325343	0.0436420629499775	0.0481977997412559	-0.00422587743467297	0.12978468391456
-0.25	0.045235890536275	0.0371965921640768	0.0412162413501759	-0.00348721195268416	0.115907784881768
-0.2	0.037959569726678	0.0310900574436959	0.034524813585187	-0.00306259644423086	0.100949621845505
-0.15	0.0308617369297811	0.0252547940895989	0.02805826550969	-0.00392657060688388	0.0885242304875869
-0.0999999999999999	0.0238866169930085	0.0196340195756954	0.021760318284352	-0.00776358074348428	0.0755073497881076
-0.0499999999999999	0.0169831028860568	0.0141788352692211	0.0155809690776389	-0.0149756284495174	0.0633114349440271
1.11022302462516e-16	0.0101027842644335	0.00884596265506869	0.00947437345975109	-0.0219930989522342	0.0521955018352457
0.05	0.00319821155076783	0.00359595873789241	0.00339708514433012	-0.0302920554892006	0.0412473872547492
0.1	-0.00377875380229156	-0.00160826694378721	-0.00269351037303938	-0.0400169208960715	0.0296888269052744
0.15	-0.0108786384897583	-0.00680276635437167	-0.00884070242206497	-0.0516426559822741	0.0200410008308666
0.2	-0.0181562483202228	-0.0120238076792492	-0.015090027999736	-0.0617713975223391	0.0117241808744477
0.25	-0.0256729219835897	-0.0173091740335035	-0.0214910480085466	-0.0739091472526083	0.00671380465080071
0.3	-0.0334993762019861	-0.0226996187886264	-0.0280994974953062	-0.0862150122163292	0.0048285841721183
0.35	-0.0417194722693115	-0.0282406178551634	-0.0349800450622374	-0.0990889697668261	0.00440405664297064
0.4	-0.0504354080840124	-0.0339846130817077	-0.04221001058286	-0.113911965119024	0.00482690570075543
0.45	-0.0597751417525347	-0.0399940367361281	-0.0498845892443314	-0.129537048141992	0.00572896934288771
0.5	-0.0699033913125154	-0.0463455759443856	-0.0581244836284505	-0.14467474337191	0.00684699498608013
0.55	-0.0810385531429305	-0.0531364399466	-0.0670874965447652	-0.162945567252534	0.00796321966032683
0.6	-0.0934798223044163	-0.0604939604702721	-0.0769868913873442	-0.182703333648804	0.00920392615575587
0.65	-0.107652797110479	-0.0685909669550072	-0.0881218820327432	-0.205960817825338	0.0103543744607802
0.7	-0.12419069083963	-0.0776716880654434	-0.100931189452536	-0.229924650091303	0.0120163889529834
0.75	-0.144089582493269	-0.0880980884359103	-0.11609383546459	-0.261009072015326	0.0142673791412659
0.8	-0.169033418060672	-0.100439118978274	-0.134736268519473	-0.295908565798397	0.0174398438578107
0.85	-0.20216195998536	-0.115659424967785	-0.158910692476572	-0.340907080243296	0.021903299640189
0.9	-0.250222121950064	-0.135568199910805	-0.192895160930434	-0.399326336008576	0.0289437718027178
0.95	-0.331332875977499	-0.164016530083672	-0.247674703030585	-0.477149910042608	0.0439982253137615
