Quantity	Value	Interpretation
GLM converged	1	Convergence does not repair structural absence in controls
Iterations	18	Binomial fitting iterations
Maximum absolute coefficient	19.3793016187124	Large diagnosis coefficients indicate separation
Control antibiotic exposed	0	Structural positivity warning
PRISM antibiotic exposed	13	Exposure path is estimated from 13 subjects
Validation antibiotic exposed	0	External exposure path is not estimable
Minimum fitted propensity	2.25594627914396e-09	Diagnostic only
Maximum fitted propensity	0.629524696358633	Diagnostic only
Maximum illustrative unstabilized weight	11.670228344379	Not used because the propensity model is separated/unstable
Warning count	0	
Weights used for inference	0	Primary path models are covariate-adjusted regressions
