Cohort	Variable	N	Minimum	Median	Mean	SD	Maximum
PRISM primary	Age	90	21	34.5	41.2555555555556	16.9470829488265	82
PRISM primary	Fecal.Calprotectin	90	1	93.5	114.888888888889	99.1468601376567	277
PRISM primary	LogCalprotectin	90	0.693147180559945	4.54622866565973	4.00195255692047	1.52633948917564	5.62762111369064
PRISM primary	Shannon	90	1.44578860857063	3.29660536932303	3.19122189786093	0.620037325922575	4.39195235979623
PRISM primary	DetectedGenera	90	373	2513.5	2498.01111111111	898.862845825487	5144
PRISM primary	FaecalibacteriumRelative	90	7.47518309511948e-05	0.0151721916591248	0.0396854299536907	0.0538893796380898	0.233923953498524
Validation strict	Age	38	19	46.5	47.4736842105263	18.0176142676433	80
Validation strict	Fecal.Calprotectin	38	40	130	280.605263157895	508.874090489534	2440
Validation strict	LogCalprotectin	38	3.71357206670431	4.87519732320115	4.85337698210766	1.15857901274252	7.80016307039296
Validation strict	Shannon	38	2.06472725956588	3.48224357640536	3.42698418236624	0.529303183648254	4.63029353018289
Validation strict	DetectedGenera	38	986	2084	2078.10526315789	466.86816181026	3173
Validation strict	FaecalibacteriumRelative	38	2.89670794194795e-05	0.0372375268153508	0.042724006930106	0.0382564254997504	0.125910780950753
