CitationKey	DOI	Year	Title	Journal	Volume	Issue	Pages	FirstAuthor	DOIURL
kostic2013fusobacterium	10.1016/j.chom.2013.07.007	2013	Fusobacterium nucleatum Potentiates Intestinal Tumorigenesis and Modulates the Tumor-Immune Microenvironment	Cell Host & Microbe	14	2	207-215	Kostic	https://doi.org/10.1016/j.chom.2013.07.007
rubinstein2013fada	10.1016/j.chom.2013.07.012	2013	Fusobacterium nucleatum Promotes Colorectal Carcinogenesis by Modulating E-Cadherin/β-Catenin Signaling via its FadA Adhesin	Cell Host & Microbe	14	2	195-206	Rubinstein	https://doi.org/10.1016/j.chom.2013.07.012
vannood2013fmt	10.1056/nejmoa1205037	2013	Duodenal Infusion of Donor Feces for Recurrent Clostridium difficile	New England Journal of Medicine	368	5	407-415	van Nood	https://doi.org/10.1056/nejmoa1205037
theriot2014metabolome	10.1038/ncomms4114	2014	Antibiotic-induced shifts in the mouse gut microbiome and metabolome increase susceptibility to Clostridium difficile infection	Nature Communications	5	1		Theriot	https://doi.org/10.1038/ncomms4114
buffie2015cscindens	10.1038/nature13828	2015	Precision microbiome reconstitution restores bile acid mediated resistance to Clostridium difficile	Nature	517	7533	205-208	Buffie	https://doi.org/10.1038/nature13828
li2016fmtstrains	10.1126/science.aad8852	2016	Durable coexistence of donor and recipient strains after fecal microbiota transplantation	Science	352	6285	586-589	Li	https://doi.org/10.1126/science.aad8852
bullman2017fusobacterium	10.1126/science.aal5240	2017	Analysis of Fusobacterium persistence and antibiotic response in colorectal cancer	Science	358	6369	1443-1448	Bullman	https://doi.org/10.1126/science.aal5240
neville2018commensalkoch	10.1016/j.mib.2017.10.001	2018	Commensal Koch's postulates: establishing causation in human microbiota research	Current Opinion in Microbiology	42		47-52	Neville	https://doi.org/10.1016/j.mib.2017.10.001
smillie2018engraftment	10.1016/j.chom.2018.01.003	2018	Strain Tracking Reveals the Determinants of Bacterial Engraftment in the Human Gut Following Fecal Microbiota Transplantation	Cell Host & Microbe	23	2	229-240.e5	Smillie	https://doi.org/10.1016/j.chom.2018.01.003
wirbel2019crc	10.1038/s41591-019-0406-6	2019	Meta-analysis of fecal metagenomes reveals global microbial signatures that are specific for colorectal cancer	Nature Medicine	25	4	679-689	Wirbel	https://doi.org/10.1038/s41591-019-0406-6
feuerstadt2022ser109	10.1056/nejmoa2106516	2022	SER-109, an Oral Microbiome Therapy for Recurrent Clostridioides difficile Infection	New England Journal of Medicine	386	3	220-229	Feuerstadt	https://doi.org/10.1056/nejmoa2106516
