EvidenceID	ClaimID	CitationKey	Year	EvidenceRole	Rung	Coverage	RungOrder	CoverageScore
E01	C1	vannood2013fmt	2013	Direct	Replicated association	Supporting	1	1
E01	C1	vannood2013fmt	2013	Direct	Temporality and reversibility	Direct	2	2
E01	C1	vannood2013fmt	2013	Direct	Human causal bridge	Not addressed	3	0
E01	C1	vannood2013fmt	2013	Direct	Randomized human intervention	Direct	4	2
E01	C1	vannood2013fmt	2013	Direct	Isolation or defined product	Not addressed	5	0
E01	C1	vannood2013fmt	2013	Direct	Host transfer or perturbation	Direct	6	2
E01	C1	vannood2013fmt	2013	Direct	Molecular perturbation and rescue	Not addressed	7	0
E02	C1	feuerstadt2022ser109	2022	Direct	Replicated association	Not addressed	1	0
E02	C1	feuerstadt2022ser109	2022	Direct	Temporality and reversibility	Direct	2	2
E02	C1	feuerstadt2022ser109	2022	Direct	Human causal bridge	Not addressed	3	0
E02	C1	feuerstadt2022ser109	2022	Direct	Randomized human intervention	Direct	4	2
E02	C1	feuerstadt2022ser109	2022	Direct	Isolation or defined product	Direct	5	2
E02	C1	feuerstadt2022ser109	2022	Direct	Host transfer or perturbation	Direct	6	2
E02	C1	feuerstadt2022ser109	2022	Direct	Molecular perturbation and rescue	Supporting	7	1
E03	C1	smillie2018engraftment	2018	Supporting	Replicated association	Supporting	1	1
E03	C1	smillie2018engraftment	2018	Supporting	Temporality and reversibility	Direct	2	2
E03	C1	smillie2018engraftment	2018	Supporting	Human causal bridge	Not addressed	3	0
E03	C1	smillie2018engraftment	2018	Supporting	Randomized human intervention	Not addressed	4	0
E03	C1	smillie2018engraftment	2018	Supporting	Isolation or defined product	Not addressed	5	0
E03	C1	smillie2018engraftment	2018	Supporting	Host transfer or perturbation	Direct	6	2
E03	C1	smillie2018engraftment	2018	Supporting	Molecular perturbation and rescue	Not addressed	7	0
E04	C1	li2016fmtstrains	2016	Supporting	Replicated association	Supporting	1	1
E04	C1	li2016fmtstrains	2016	Supporting	Temporality and reversibility	Direct	2	2
E04	C1	li2016fmtstrains	2016	Supporting	Human causal bridge	Not addressed	3	0
E04	C1	li2016fmtstrains	2016	Supporting	Randomized human intervention	Not addressed	4	0
E04	C1	li2016fmtstrains	2016	Supporting	Isolation or defined product	Not addressed	5	0
E04	C1	li2016fmtstrains	2016	Supporting	Host transfer or perturbation	Direct	6	2
E04	C1	li2016fmtstrains	2016	Supporting	Molecular perturbation and rescue	Not addressed	7	0
E05	C2	buffie2015cscindens	2015	Direct	Replicated association	Direct	1	2
E05	C2	buffie2015cscindens	2015	Direct	Temporality and reversibility	Direct	2	2
E05	C2	buffie2015cscindens	2015	Direct	Human causal bridge	Not addressed	3	0
E05	C2	buffie2015cscindens	2015	Direct	Randomized human intervention	Not addressed	4	0
