Run	TaskID	Hash	Process	Status	Exit	DurationSeconds	RealtimeSeconds	PeakRSSMiB
first-success	2	47/28ce0f	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz)	COMPLETED	0	0.411	0.342	110.7
first-success	1	2c/b919f4	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (ERR9765746_runrun1_raw)	COMPLETED	0	0.602	0.2	6.2
first-success	3	e4/7e9282	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_ALIGN (ERR9765746_runrun1)	COMPLETED	0	5.5	5.4	45.6
first-success	4	81/19a4db	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED (ERR9765746_runrun1)	COMPLETED	0	0.622	0.178	5.1
first-success	5	9c/023c94	NFCORE_MAG:MAG:MULTIQC (mag)	COMPLETED	0	0.243	0.029	0
resume	2	47/28ce0f	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz)	CACHED	0	0.411	0.342	110.7
resume	1	2c/b919f4	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_RAW (ERR9765746_runrun1_raw)	CACHED	0	0.602	0.2	6.2
resume	3	e4/7e9282	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:BOWTIE2_PHIX_REMOVAL_ALIGN (ERR9765746_runrun1)	CACHED	0	5.5	5.4	45.6
resume	4	81/19a4db	NFCORE_MAG:MAG:SHORTREAD_PREPROCESSING:FASTQC_TRIMMED (ERR9765746_runrun1)	CACHED	0	0.622	0.178	5.1
resume	5	38/44c4eb	NFCORE_MAG:MAG:MULTIQC (mag)	COMPLETED	0	0.22	0.03	0
