ArtifactID	SourceArticle	RelativePath	Bytes	SHA256	Role
A28_cohorts	28	data/small/28-cross-cohort/cohort-summary.tsv	1248	8b33e7bffec2daf1935a81d30d81b92f60eb860565ff3bfe041f9bd312ab1a5f	Cross-cohort design
A28_lodo	28	results/28-cross-cohort/lodo-performance.tsv	2232	95abe97114a1d7438081e4de28de290d0a3db850d19ec8ecc1b60400a2b4492d	External validation
A28_meta	28	results/28-cross-cohort/performance-meta-analysis.tsv	234	8e2d30aeea8d093a32b89d3ee06829c91bc864909645f1e0b089a2a774c73472	Performance heterogeneity
A28_bootstrap	28	results/28-cross-cohort/hierarchical-bootstrap-summary.tsv	173	275d72f223f65405c2287977cf9c9341a21f5a1e845bcd03aab05aca7038384d	External uncertainty
A44_mimag	44	data/small/44-mag-qc-mimag-graph-frozen/mimag-tier-counts.tsv	64	da6c68fca38428d9563ef9f783ed2c82bc294d8762f637aaf2a348b2c3617aa4	MAG quality tiers
A44_summary	44	data/small/44-mag-qc-mimag-graph-frozen/run-summary.json	596	a2c47bdb8b71b4b5f781f702c9dfd6e22ef159666b2b843845fe7eea5fc394f6	MAG acceptance audit
A50_summary	50	data/small/50-instrain-microdiversity-frozen/run-summary.json	1007	c8c04f5f6c747f51a0bf42179ad625ba025b80f03d99316c22184a6cbc5a9040	Within-species comparison
A51_summary	51	data/small/51-strainphlan-frozen/run-summary.json	1057	a1589f67ee0f789101e8ac2f917d62a96e8c536903b4d121b94ff6512e57ea2b	Strain phylogeny
A54_summary	54	data/small/54-virus-discovery-quality-frozen/summary.json	881	a05175356bd815a14c4dad219316df40ffd12bc4be5f7496422bc140b112e0c5	Virus discovery and quality
A55_summary	55	data/small/55-virus-taxonomy-abundance-frozen/summary.json	1382	15fd75b074708372c7de52c5613b28c1df422ffb107aff31862ec80c1d662e6f	vOTU abundance and taxonomy
A56_summary	56	data/small/56-virus-host-evidence-frozen/summary.json	921	c5f17b6ff70ca7c110b70a0e1e292e7858f6c8b184cbddf9573207334612720c	Virus-host claim ceiling
A60_summary	60	data/small/60-genome-scale-models-frozen/summary.json	424	323aba82f33bb4674b70a66d5f816875e613370d2d75d34143f4697145474c6a	Genome-scale model QC
A61_metrics	61	data/small/61-community-metabolism-frozen/analysis-metrics.json	1003	179e050033245041344ebd3e448050b363f63c3ca2402bba6a3987ae9fde43c0	Community metabolism sensitivity
A72_metrics	72	data/small/72-causal-evidence-frozen/analysis-metrics.json	405	4293e0d97d24e896f4f257a15e0c6f0e4959f4c9f41b6a8ba1c8792150a5d3f1	Causal evidence ceiling
A74_databases	74	data/small/74-nfcore-mag-workflows-frozen/database-lock.tsv	895	c9b4f4209b8abb4980c03d633a446513d3e3f6641bdd15d7204b126fba774541	Database version ledger
