MAG	CheckM2Completeness	CheckM2Contamination	GUNCPass	Complete5S	Complete16S	Complete23S	CompleteRRNASet	TRNAIsotypes	MIMAGCoreTier	Article44ExtendedTier	CoreVsExtendedAgreement	HQMissingGate
binette__001	99.99	0.02	True	True	True	False	False	19	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__002	99.98	0.31	True	True	True	False	False	21	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__003	100	0.49	True	True	True	False	False	21	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__004	99.79	0.53	True	True	True	False	False	22	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__005	99.47	0.19	True	True	True	True	True	22	High quality	High quality	True	No missing HQ gate
binette__006	99.94	0.79	True	True	True	True	True	22	High quality	High quality	True	No missing HQ gate
binette__007	99.5	0.45	True	True	True	False	False	20	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__008	98.69	0.55	True	True	False	False	False	20	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__009	98.68	0.29	True	True	True	False	False	20	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__011	97.85	3.87	True	True	True	True	True	22	High quality	High quality	True	No missing HQ gate
binette__012	100	0.04	True	True	True	True	True	22	High quality	High quality	True	No missing HQ gate
binette__013	87.33	0.21	True	False	False	False	False	16	Medium quality	Medium quality	True	No missing HQ gate
binette__014	99.58	7.36	True	True	True	False	False	21	Medium quality	Medium quality	True	No missing HQ gate
binette__015	78.95	0.29	True	True	False	False	False	18	Medium quality	Medium quality	True	No missing HQ gate
binette__017	69.48	1.49	True	True	True	True	True	20	Medium quality	Medium quality	True	No missing HQ gate
binette__018	72.13	3.33	True	True	False	False	False	18	Medium quality	Medium quality	True	No missing HQ gate
binette__019	59.42	0	True	True	False	False	False	17	Medium quality	Medium quality	True	No missing HQ gate
binette__021	100	0.06	True	True	False	False	False	21	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__022	100	0.14	True	False	False	False	False	21	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__023	99.91	0.12	True	True	True	False	False	23	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__024	99.93	0.15	True	True	True	False	False	20	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__025	99.97	0.28	True	True	True	False	False	22	Medium quality	Medium quality	True	Complete 5S/16S/23S set
binette__026	99.98	0.21	True	True	False	False	False	21	Medium quality	Medium quality	True	Complete 5S/16S/23S set
