MAG	Contigs	BinBp	Bytes	SHA256	Status
binette__001	92	2770249	2805991	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290	PASS
binette__002	57	2151032	2178619	73842ce20cfa7e89413c7d161072d3fbd265f884fc4eda97097dc314ac4607d4	PASS
binette__003	6	1910339	1934292	35d7b3ed3d8295ebdcd0d79fd512e3efee1582f24cc36bb8179807815f1dd6aa	PASS
binette__004	106	2045345	2072208	79ca0113327ca98aee8fa1cbb0b56a5c4aa9a4e1b1bf2da0eabe481908324b26	PASS
binette__005	14	1736697	1758581	50af7f6afa2a049f3ddcab14c3f7f9f8ac50e0a7df9091a462381af260bf6df6	PASS
binette__006	13	4629413	4687441	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf	PASS
binette__007	31	1772843	1795385	59ca1e9e2bd2d44885bc9f7d1fef25a15daa36ce2efcff633f13215e19426086	PASS
binette__008	126	2039351	2066391	967a05d2ab0adc374f33378f6009c3ab244f39ee868fdce056db73690b85d3b4	PASS
binette__009	283	2147088	2177403	88d4ba3a1f67c50c0ebc7d85dec2279e7313562b7be572dae13100064ad25c51	PASS
binette__011	682	6915991	7010857	d22e98a635a8a093307d452293f1a51ee5984376530952e790f437bf416d5f2b	PASS
binette__012	77	2643322	2677323	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	PASS
binette__013	70	418156	424236	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	PASS
binette__014	996	5073077	5148716	7a6bae8324de5738961f6cecc42d9e50801ce2de695f004f9549575464d2803c	PASS
binette__015	272	1083632	1100534	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33	PASS
binette__017	361	1122363	1140827	77dd3ddcb37573eca9b1c84cf2bce0633d5f5b3d67c5a271c1600632bf12a4f5	PASS
binette__018	380	1366218	1387926	60e4ebfabd300bea9ee4d66d50ec594098fcb7a39f6ae2a9dc070f7aeb967f6b	PASS
binette__019	324	946551	962369	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68	PASS
binette__021	48	1859642	1883472	ce8e021af9fa69702a64dde572c32832261e73f2f9da67008e0a4cccb395b33d	PASS
binette__022	94	2653984	2688306	7aa8352e35b8586d596ed820445898846b0c9ab7d02bef825b44ac27702e25a7	PASS
binette__023	43	1733559	1755754	e21379b05a2d8bfee13a32910f8ba4bbf89aa9f3f0c36ea9933e0e27cd5cf43b	PASS
binette__024	54	1698339	1720237	77e8136b6b221277df458756be3ed1c72bf834589b89611b6a3292a4dc625947	PASS
binette__025	306	6481038	6565821	322ff7a31426f03680bc0e500ef998b01f300b4174bc7635e79f2650e6e5b806	PASS
binette__026	65	2595739	2628987	622920d94808fdeba7db830f01281eaaf9dec649d07d9c8ca1d04986d796fa14	PASS
