genome_id	metagenome_id	genome_length	num_contigs	n50	num_16s	num_5s	num_23s	num_trna	completeness	contamination	quality_score	mimag_quality	otu_id	ecosystem	ecosystem_category	ecosystem_type	habitat	longitude	latitude
3300025516_6	3300025516	2910752	137	34707	1	1	1	43	90.42	0.65	87.17	HQ	OTU-1761	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025516_8	3300025516	2473071	426	6047	1	0	0	37	65.97	2.52	53.37	MQ	OTU-11015	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__GJ-E10;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025516_7	3300025516	2626327	104	45304	1	1	0	48	94.49	1.13	88.84	MQ	OTU-1762	d__Bacteria;p__Firmicutes_D;c__UBA994;o__UBA994;f__UBA994;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025516_3	3300025516	3300395	411	9060	0	0	0	31	79.36	4.74	55.66	MQ	OTU-8708	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Ga0074136;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025516_1	3300025516	4906168	289	24717	1	1	1	47	94.19	3.23	78.04	HQ	OTU-17789	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__RBG-16-49-23;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025516_14	3300025516	1953493	14	303440	2	1	1	45	95.83	1.67	87.48	HQ	OTU-1262	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025516_15	3300025516	1879687	133	20802	1	2	0	44	91.95	0.92	87.35	MQ	OTU-6204	d__Bacteria;p__Firmicutes_D;c__UBA994;o__UBA994;f__UBA994;g__;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025516_16	3300025516	1716728	29	97240	0	1	0	24	73.97	0	73.97	MQ	OTU-8704	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Silanimonas;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025516_10	3300025516	2393513	246	12165	1	1	1	24	74.14	0	74.14	MQ	OTU-1264	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
3300025516_11	3300025516	2230860	19	170576	1	2	1	50	97.73	0	97.73	HQ	OTU-1265	d__Bacteria;p__Actinobacteriota;c__UBA9087;o__UBA10029;f__UBA10029;g__UBA10029;s__	Terrestrial	Deep subsurface	Serpentinite rock and fluid	-122.439	38.874
