Genome	Species	Phylum	CompletenessPct	ContaminationPct	Contigs	DRAMFullKOCount	DRAMComparableKOCount	METABOLICKOCount	KOJaccard	DRAMModulesAt075	METABOLICModulesAt075	AbsenceRisk	InterpretationRule
SGB_001	Desulfobulbus oralis	Desulfobacterota	99.95	0.2	67	1087	280	334	0.8383233532934131	3	2	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_002	Nitrosomonas europaea	Pseudomonadota	100.0	0.04	77	1289	324	370	0.8556149732620321	4	4	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_003	Porphyromonas gingivalis	Bacteroidota	98.69	0.55	126	800	204	245	0.8326530612244898	0	0	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_004	Chlorobium phaeovibrioides	Bacteroidota	100.0	0.05	54	1007	291	333	0.8626865671641791	4	4	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_005	Chlorobium limicola	Bacteroidota	100.0	0.14	94	1128	310	356	0.85	4	4	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_006	Shewanella baltica	Pseudomonadota	99.55	6.95	1024	1914	373	425	0.8776470588235294	5	4	Composite-pathway risk	Review contig provenance before assigning a complete pathway to one genome
SGB_007	Herpetosiphon aurantiacus	Chloroflexota	99.97	0.28	306	1461	368	461	0.7943722943722944	4	4	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_008	Ignicoccus islandicus	Thermoproteota	59.51	0.0	324	352	87	91	0.9347826086956522	0	0	High missingness risk	Do not interpret an unobserved gene or module as biological absence
SGB_009	Ignicoccus hospitalis	Thermoproteota	78.95	0.29	272	466	125	133	0.9253731343283582	0	0	Moderate missingness risk	Treat absence as weak evidence and inspect assembly/gene-call neighborhoods
SGB_010	Methanocaldococcus jannaschii	AGJL01	99.92	0.12	43	886	242	255	0.94140625	3	2	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_011	Methanocatella oralis	Methanobacteriota	99.41	0.33	83	796	214	233	0.9184549356223176	1	1	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_012	Fusobacterium nucleatum	Fusobacteriota	98.68	0.29	283	876	191	232	0.8232758620689655	1	1	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_013	Methanococcus maripaludis_D	AGJL01	72.13	3.33	380	642	171	182	0.9289617486338798	1	1	Moderate missingness risk	Treat absence as weak evidence and inspect assembly/gene-call neighborhoods
SGB_014	Persephonella marina	Aquificota	100.0	0.48	8	1011	284	325	0.851063829787234	3	2	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_015	Hydrogenobaculum sp003543175	Aquificota	69.48	1.49	361	542	166	202	0.7951219512195122	0	0	High missingness risk	Do not interpret an unobserved gene or module as biological absence
SGB_016	Caldicellulosiruptor saccharolyticus	Bacillota	99.99	0.02	92	1194	239	281	0.8181818181818182	1	1	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_017	Thermoanaerobacter pseudethanolicus	Bacillota	99.98	0.31	57	1230	253	306	0.8208469055374593	2	2	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_018	Nanoarchaeum equitans	Nanobdellota	87.33	0.21	70	178	7	8	0.875	0	0	Moderate missingness risk	Treat absence as weak evidence and inspect assembly/gene-call neighborhoods
SGB_019	Pyrococcus horikoshii	Methanobacteriota_B	99.47	0.19	14	809	151	168	0.8875739644970414	1	1	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_020	Halobacterium salinarum	Halobacteriota	89.61	0.02	199	810	214	239	0.895397489539749	0	0	Moderate missingness risk	Treat absence as weak evidence and inspect assembly/gene-call neighborhoods
SGB_021	Rhodopirellula baltica	Planctomycetota	97.85	3.87	682	1236	327	403	0.806930693069307	3	3	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_022	Gemmatimonas aurantiaca	Gemmatimonadota	99.94	0.79	13	1332	330	382	0.8638743455497382	3	2	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_023	Thermotoga petrophila	Thermotogota	99.93	0.15	54	915	199	242	0.8223140495867769	3	3	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
SGB_024	Thermotoga neapolitana	Thermotogota	99.5	0.45	31	948	208	252	0.8253968253968254	3	3	Lower missingness risk	Absence remains provisional until key-gene and neighborhood review
