Method	RefinedID	SourceBin	Contigs	BinBp	N50Bp	CheckM2Completeness	CheckM2Contamination	GUNCPass	ReferenceFreeMinimumPass	ReferenceFreeScore	TruthAssignedBinPct	DominantTruthAccession	DominantTruthReference	AlignedPurityPct	AlignedContaminationProxyPct	DominantGenomeRecoveryPct	TruthProxyTier	RefinedFASTA	RefinedSHA256
Binette	binette__001	article43_bin1.fa	92	2770249	67435	99.99	0.02	True	True	99.89	100.0	GCA_000016545.1	Caldicellulosiruptor_saccharolyticus_DSM_8903	97.09827528139168	2.901724718608321	91.38456876888503	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__001.fna	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290
Binette	binette__002	article43_bin10.fa	57	2151032	68740	99.98	0.3	True	True	98.48	100.0	GCA_000019085.1	Thermoanaerobacter_pseudethanolicus_ATCC_33223	99.81976093335663	0.18023906664336664	91.40584793737642	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__002.fna	73842ce20cfa7e89413c7d161072d3fbd265f884fc4eda97097dc314ac4607d4
Binette	binette__003	article43_bin11.fa	6	1910339	672984	100.0	0.48	True	True	97.6	100.0	GCA_000021565.1	Persephonella_marina_EX-H1	100.0	0.0	96.30573306195771	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__003.fna	35d7b3ed3d8295ebdcd0d79fd512e3efee1582f24cc36bb8179807815f1dd6aa
Binette	binette__004	article43_bin12.fa	106	2045345	41813	99.79	0.53	True	True	97.14	99.91551547538435	GCA_001639275.1	Methanobrevibacter_oralis_DSM_7256	99.75181259502148	0.24818740497852332	95.41639472013372	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__004.fna	79ca0113327ca98aee8fa1cbb0b56a5c4aa9a4e1b1bf2da0eabe481908324b26
Binette	binette__005	article43_bin13.fa	14	1736697	443866	99.47	0.19	True	True	98.52	99.87798677604671	GCA_000011105.1	Pyrococcus_horikoshii_OT3	99.89519064579396	0.10480935420603998	99.63250033793403	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__005.fna	50af7f6afa2a049f3ddcab14c3f7f9f8ac50e0a7df9091a462381af260bf6df6
Binette	binette__006	article43_bin14.fa	13	4629413	432090	99.95	0.8	True	True	95.95	100.0	GCA_000010305.1	Gemmatimonas_aurantiaca_T-27	100.0	0.0	99.87064812234902	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__006.fna	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf
Binette	binette__007	article43_bin15.fa	31	1772843	88409	99.58	0.42	True	True	97.48	100.0	GCA_000018945.1	Thermotoga_neapolitana_DSM_4359	100.0	0.0	94.10473096666493	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__007.fna	59ca1e9e2bd2d44885bc9f7d1fef25a15daa36ce2efcff633f13215e19426086
Binette	binette__008	article43_bin16.fa	126	2039351	26973	98.66	0.55	True	True	95.91	100.0	GCA_000010505.1	Porphyromonas_gingivalis_ATCC_33277	100.0	0.0	86.8408916609976	MQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__008.fna	967a05d2ab0adc374f33378f6009c3ab244f39ee868fdce056db73690b85d3b4
Binette	binette__009	article43_bin17.fa	283	2147088	11618	98.66	0.26	True	True	97.36	100.0	GCA_003019295.1	Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	96.90832420469026	3.0916757953097402	96.4010383005191	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__009.fna	88d4ba3a1f67c50c0ebc7d85dec2279e7313562b7be572dae13100064ad25c51
Binette	binette__011	article43_bin19.fa	682	6915991	15347	97.8	3.87	True	True	78.44999999999999	100.0	GCA_000196115.1	Rhodopirellula_baltica_SH_1	99.94628390927635	0.05371609072365402	97.05640245097106	HQ proxy	${ARTICLE43_WORK_DIR}/qc/all-refined/binette__011.fna	d22e98a635a8a093307d452293f1a51ee5984376530952e790f437bf416d5f2b
