SGB	Domain	Representative	Completeness	Contamination	GTDBTaxonomy	SpeciesAssigned	ClosestReference	FastANIANI	SpeciesRadiusPct	AlignmentFractionPct	SpeciesRadiusAndAFCleared	QualityEligibleForNoveltyReview	PreTreeNovelSpeciesCandidate	NovelSpeciesClaim	Interpretation
SGB_001	Bacteria	vamb__025.fna	99.95	0.2	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	True	GCF_002952055.1	99.99	95.0	100.0	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_002	Bacteria	binette__012.fna	100.0	0.04	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	True	GCF_900167395.1	99.9	95.0	99.8	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_003	Bacteria	binette__008.fna	98.69	0.55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	True	GCF_000010505.1	99.97	95.0	99.4	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_004	Bacteria	vamb__002.fna	100.0	0.05	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeovibrioides	True	GCF_003968655.1	98.76	95.0	89.8	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_005	Bacteria	binette__022.fna	100.0	0.14	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium limicola	True	GCF_000020465.1	99.96	95.0	99.6	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_006	Bacteria	metabat2-multisample__018.fna	99.55	6.95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella baltica	True	GCF_900456975.1	97.21	95.0	82.39999999999999	True	False	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_007	Bacteria	binette__025.fna	99.97	0.28	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus	True	GCA_000018565.1	99.97	95.0	99.7	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_008	Archaea	semibin2__018.fna	59.51	0.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__Ignicoccus islandicus	True	GCF_001481685.1	99.89	95.0	97.39999999999999	True	False	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_009	Archaea	binette__015.fna	78.95	0.29	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignicoccaceae;g__Ignicoccus;s__Ignicoccus hospitalis	True	GCF_000017945.1	99.89	95.0	99.1	True	False	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_010	Archaea	semibin2__038.fna	99.92	0.12	d__Archaea;p__AGJL01;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus jannaschii	True	GCF_000091665.1	99.99	95.0	99.8	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_011	Archaea	taxvamb__008.fna	99.41	0.33	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella oralis	True	GCF_001639275.1	99.93	95.0	99.4	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_012	Bacteria	binette__009.fna	98.68	0.29	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum	True	GCF_031191795.1	99.96	95.0	96.89999999999999	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_013	Archaea	binette__018.fna	72.13	3.33	d__Archaea;p__AGJL01;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_D	True	GCF_000016125.1	99.69	95.0	96.39999999999999	True	False	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_014	Bacteria	semibin2__043.fna	100.0	0.48	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__Persephonella;s__Persephonella marina	True	GCF_000021565.1	100.0	95.0	100.0	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_015	Bacteria	binette__017.fna	69.48	1.49	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Hydrogenobaculum;s__Hydrogenobaculum sp003543175	True	GCF_000020785.1	99.91	95.0	98.3	True	False	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_016	Bacteria	binette__001.fna	99.99	0.02	d__Bacteria;p__Bacillota;c__Thermoanaerobacteria;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptor saccharolyticus	True	GCF_000016545.1	99.97	95.0	96.8	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_017	Bacteria	binette__002.fna	99.98	0.31	d__Bacteria;p__Bacillota;c__Thermoanaerobacteria;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacter;s__Thermoanaerobacter pseudethanolicus	True	GCF_000019085.1	100.0	95.0	99.8	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_018	Archaea	binette__013.fna	87.33	0.21	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Nanobdellales;f__Nanoarchaeaceae;g__Nanoarchaeum;s__Nanoarchaeum equitans	True	GCA_000008085.1	99.9	95.0	99.5	True	False	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_019	Archaea	binette__005.fna	99.47	0.19	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Pyrococcus;s__Pyrococcus horikoshii	True	GCF_000011105.1	100.0	95.0	99.8	True	True	False	False	GTDB species assignment supported by reference-specific ANI/AF
SGB_020	Archaea	semibin2__020.fna	89.61	0.02	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum	True	GCF_008124605.1	99.52	95.0	95.1	True	False	False	False	GTDB species assignment supported by reference-specific ANI/AF
