genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
binette__001	2780	2704	92	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.95	True
binette__002	2198	2181	57	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
binette__003	1990	1970	6	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
binette__004	2096	2045	106	kingdom	1.0	0.97	0.0	0.0	0.0	0.98	0.95	True
binette__005	1898	1869	14	kingdom	1.0	0.98	0.0	0.0	0.0	0.97	0.95	True
binette__006	3971	3907	13	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
binette__007	1802	1800	31	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
binette__008	1714	1654	126	kingdom	1.0	0.96	0.0	0.0	0.0	0.97	0.93	True
binette__009	2234	2221	283	kingdom	0.99	0.98	0.0	0.0	0.0	0.98	0.97	True
binette__011	5736	5527	682	kingdom	1.0	0.96	0.0	0.0	0.0	0.98	0.95	True
binette__012	2468	2411	77	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.95	True
binette__013	541	520	70	kingdom	0.99	0.95	0.0	0.0	0.0	0.99	0.94	True
binette__014	5075	4943	995	kingdom	1.0	0.97	0.0	0.0	0.0	0.95	0.92	True
binette__015	1454	1424	272	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
binette__017	1457	1450	361	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.98	True
binette__018	1776	1750	380	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
binette__019	1276	1251	324	kingdom	0.99	0.97	0.0	0.0	0.0	0.99	0.96	True
binette__021	1755	1723	48	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
binette__022	2544	2439	94	kingdom	1.0	0.96	0.0	0.0	0.0	0.99	0.94	True
binette__023	1877	1827	43	kingdom	1.0	0.97	0.0	0.0	0.0	0.97	0.94	True
binette__024	1735	1731	54	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
binette__025	5684	5420	305	kingdom	1.0	0.95	0.0	0.0	0.0	0.96	0.92	True
binette__026	2362	2169	65	genus	0.71	0.65	0.17	0.21	0.54	0.65	0.42	True
