Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
metabat2-mock1__001	11.58	0.0	Neural Network (Specific Model)	11	0.913	161417	325.795652173913	245597	0.35	230	7	161417	None
metabat2-mock1__002	51.44	0.66	Neural Network (Specific Model)	11	0.862	2761	229.55740528128587	1387113	0.48	1742	516	8481	None
metabat2-mock1__003	99.92	0.44	Neural Network (Specific Model)	11	0.891	49681	343.2707733640376	6014960	0.5	5211	242	224039	None
metabat2-mock1__004	99.71	7.18	Neural Network (Specific Model)	11	0.851	6481	277.9612676056338	5278744	0.46	5396	1051	32023	None
metabat2-mock1__005	99.69	0.09	Neural Network (Specific Model)	11	0.887	79303	272.58319421257653	1653443	0.31	1797	38	209565	None
metabat2-mock1__006	88.65	0.01	Neural Network (Specific Model)	11	0.907	14674	270.3662290629244	1973287	0.68	2209	195	70149	None
metabat2-mock1__007	96.63	0.22	Neural Network (Specific Model)	11	0.913	11648	297.3179935572941	2119376	0.27	2173	272	52178	None
metabat2-mock1__008	99.11	0.63	Neural Network (Specific Model)	11	0.923	50634	289.60076530612247	1470066	0.31	1568	62	134042	None
metabat2-mock1__009	96.21	0.55	Neural Network (Specific Model)	11	0.867	26973	334.79073756432246	2023018	0.49	1749	120	77642	None
metabat2-mock1__010	9.99	0.0	Neural Network (Specific Model)	11	0.875	1923	242.49076517150397	314653	0.66	379	157	4961	None
metabat2-mock1__011	68.79	1.7	Neural Network (Specific Model)	11	0.951	3424	241.17491525423728	1117177	0.35	1475	362	14790	None
metabat2-mock1__012	99.46	0.19	Neural Network (Specific Model)	11	0.92	443866	283.9914893617021	1733271	0.42	1880	12	660252	None
metabat2-mock1__013	9.91	0.0	Neural Network (Specific Model)	11	0.905	1882	247.0688622754491	273206	0.57	334	138	5447	None
metabat2-mock1__014	77.47	7.24	Neural Network (Specific Model)	11	0.883	3665	226.35960144927537	1696207	0.33	2208	516	14671	None
metabat2-mock1__015	64.91	13.41	Neural Network (Specific Model)	11	0.901	2299	245.490711531721	4656050	0.62	5706	2000	10555	None
metabat2-mock1__016	66.52	0.35	Neural Network (Specific Model)	11	0.883	3321	246.87043378995435	1465935	0.57	1752	479	10823	None
metabat2-mock1__017	99.7	0.75	Neural Network (Specific Model)	11	0.854	41813	289.9886643666831	2062748	0.28	2029	108	154393	None
metabat2-mock1__018	97.42	3.87	Neural Network (Specific Model)	11	0.888	15447	353.7151515151515	6884040	0.55	5775	669	86083	None
metabat2-mock1__019	96.92	0.02	Neural Network (Specific Model)	11	0.886	50296	314.1141649048626	2510361	0.51	2365	60	196262	None
metabat2-mock1__020	99.98	0.35	Neural Network (Specific Model)	11	0.893	68740	296.08425414364643	2156038	0.34	2172	59	177391	None
metabat2-mock1__021	6.37	0.01	Neural Network (Specific Model)	11	0.793	2179	222.11968085106383	315057	0.4	376	137	7245	None
metabat2-mock1__022	5.35	0.05	Neural Network (Specific Model)	11	0.831	67932	261.41645885286783	376921	0.41	401	20	87818	None
metabat2-mock1__023	98.88	0.44	Neural Network (Specific Model)	11	0.952	672984	306.9979633401222	1893794	0.37	1964	5	708053	None
metabat2-mock1__024	98.98	0.37	Neural Network (Specific Model)	11	0.957	82868	315.23992784125073	1635307	0.46	1663	42	249950	None
metabat2-mock1__025	100.0	0.22	Neural Network (Specific Model)	11	0.921	48450	325.5203796761586	1896031	0.53	1791	50	157083	None
metabat2-mock1__026	99.98	0.21	Neural Network (Specific Model)	11	0.874	59244	325.89213579716375	2595739	0.6	2327	65	181610	None
metabat2-mock1__027	99.95	0.8	Neural Network (Specific Model)	11	0.93	432090	359.7513134851138	4629413	0.64	3997	13	1064594	None
metabat2-mock1__028	99.09	1.9	Neural Network (Specific Model)	11	0.954	88409	316.8170731707317	1868594	0.47	1886	34	307522	None
metabat2-mock1__029	99.99	0.21	Neural Network (Specific Model)	11	0.889	58955	307.90137328339574	2490170	0.52	2403	76	192840	None
metabat2-mock1__030	87.33	0.21	Neural Network (Specific Model)	11	0.951	8323	242.64065335753176	418156	0.32	551	70	18077	None
metabat2-mock1__031	41.55	0.0	Neural Network (Specific Model)	11	0.915	3203	217.3302938196555	698850	0.46	987	230	8558	None
metabat2-mock1__032	87.86	0.0	Neural Network (Specific Model)	11	0.891	67435	293.67201646090535	2396218	0.35	2430	71	154938	None
metabat2-mock1__033	78.76	0.31	Neural Network (Specific Model)	11	0.933	4713	230.49349760438056	1073351	0.57	1461	268	16743	None
metabat2-multisample__001	65.22	14.78	Neural Network (Specific Model)	11	0.9	2285	245.49217118997913	4692413	0.62	5748	2025	10555	None
metabat2-multisample__002	49.97	0.55	Neural Network (Specific Model)	11	0.862	2720	228.03180212014135	1344009	0.48	1698	505	9315	None
metabat2-multisample__003	100.0	0.22	Neural Network (Specific Model)	11	0.921	48450	325.5203796761586	1896031	0.53	1791	50	157083	None
metabat2-multisample__004	4.72	0.02	Neural Network (Specific Model)	11	0.773	2894	229.84297520661158	215511	0.38	242	74	10955	None
