Domain	AssemblyID	Label	Type	NumSCGHits	UniqueSCGHits	SCGCompletenessPct	SCGRedundancyPct	SCGsAfterLengthFilter	InFinalTree
Bacteria	GCA_000018565.1	REF_GCA_000018565.1_REFERENCE	Reference genome	68	65	91.89	4.05	57	True
Bacteria	GCF_000010305.1	REF_GCF_000010305.1_REFERENCE	Reference genome	72	71	97.30	2.70	68	True
Bacteria	GCF_000010505.1	REF_GCF_000010505.1_REFERENCE	Reference genome	70	69	94.59	1.35	64	True
Bacteria	GCF_000016545.1	REF_GCF_000016545.1_REFERENCE	Reference genome	74	72	100.00	2.70	66	True
Bacteria	GCF_000016785.1	REF_GCF_000016785.1_REFERENCE	Reference genome	72	72	97.30	0.00	67	True
Bacteria	GCF_000018945.1	REF_GCF_000018945.1_REFERENCE	Reference genome	72	72	97.30	0.00	67	True
Bacteria	GCF_000019085.1	REF_GCF_000019085.1_REFERENCE	Reference genome	70	70	94.59	0.00	67	True
Bacteria	GCF_000020465.1	REF_GCF_000020465.1_REFERENCE	Reference genome	73	73	98.65	0.00	69	True
Bacteria	GCF_000020785.1	REF_GCF_000020785.1_REFERENCE	Reference genome	69	69	93.24	0.00	68	True
Bacteria	GCF_000021565.1	REF_GCF_000021565.1_REFERENCE	Reference genome	72	69	97.30	4.05	68	True
Bacteria	GCF_000196115.1	REF_GCF_000196115.1_REFERENCE	Reference genome	73	70	98.65	5.41	54	True
Bacteria	GCF_002952055.1	REF_GCF_002952055.1_REFERENCE	Reference genome	72	71	97.30	1.35	67	True
Bacteria	GCF_003968655.1	REF_GCF_003968655.1_REFERENCE	Reference genome	72	71	97.30	1.35	66	True
Bacteria	GCF_031191795.1	REF_GCF_031191795.1_REFERENCE	Reference genome	73	73	98.65	0.00	70	True
Bacteria	GCF_900167395.1	REF_GCF_900167395.1_REFERENCE	Reference genome	73	73	98.65	0.00	71	True
Bacteria	GCF_900456975.1	REF_GCF_900456975.1_REFERENCE	Reference genome	74	72	100.00	2.70	70	True
Bacteria	SGB_001	SGB_001_QUERY_MAG	Query MAG	71	70	95.95	1.35	66	True
Bacteria	SGB_002	SGB_002_QUERY_MAG	Query MAG	72	71	97.30	1.35	68	True
Bacteria	SGB_003	SGB_003_QUERY_MAG	Query MAG	69	68	93.24	1.35	62	True
Bacteria	SGB_004	SGB_004_QUERY_MAG	Query MAG	71	71	95.95	0.00	66	True
Bacteria	SGB_005	SGB_005_QUERY_MAG	Query MAG	73	73	98.65	0.00	68	True
Bacteria	SGB_006	SGB_006_QUERY_MAG	Query MAG	71	69	95.95	2.70	67	True
Bacteria	SGB_007	SGB_007_QUERY_MAG	Query MAG	71	68	95.95	4.05	60	True
Bacteria	SGB_012	SGB_012_QUERY_MAG	Query MAG	70	69	94.59	1.35	63	True
Bacteria	SGB_014	SGB_014_QUERY_MAG	Query MAG	72	69	97.30	4.05	68	True
Bacteria	SGB_015	SGB_015_QUERY_MAG	Query MAG	38	38	51.35	0.00	33	False
Bacteria	SGB_016	SGB_016_QUERY_MAG	Query MAG	74	72	100.00	2.70	66	True
Bacteria	SGB_017	SGB_017_QUERY_MAG	Query MAG	69	69	93.24	0.00	66	True
Bacteria	SGB_021	SGB_021_QUERY_MAG	Query MAG	68	65	91.89	5.41	48	True
Bacteria	SGB_022	SGB_022_QUERY_MAG	Query MAG	73	72	98.65	2.70	69	True
Bacteria	SGB_023	SGB_023_QUERY_MAG	Query MAG	72	72	97.30	0.00	67	True
Bacteria	SGB_024	SGB_024_QUERY_MAG	Query MAG	71	71	95.95	0.00	66	True
Archaea	GCA_000008085.1	REF_GCA_000008085.1_REFERENCE	Reference genome	57	57	75.00	0.00	54	True
Archaea	GCF_000011105.1	REF_GCF_000011105.1_REFERENCE	Reference genome	76	75	100.00	1.32	73	True
Archaea	GCF_000016125.1	REF_GCF_000016125.1_REFERENCE	Reference genome	75	74	98.68	1.32	74	True
Archaea	GCF_000017945.1	REF_GCF_000017945.1_REFERENCE	Reference genome	75	74	98.68	1.32	70	True
Archaea	GCF_000091665.1	REF_GCF_000091665.1_REFERENCE	Reference genome	76	74	100.00	2.63	73	True
Archaea	GCF_001481685.1	REF_GCF_001481685.1_REFERENCE	Reference genome	75	73	98.68	3.95	70	True
Archaea	GCF_001639275.1	REF_GCF_001639275.1_REFERENCE	Reference genome	76	76	100.00	0.00	75	True
Archaea	GCF_008124605.1	REF_GCF_008124605.1_REFERENCE	Reference genome	76	75	100.00	1.32	72	True
Archaea	SGB_008	SGB_008_QUERY_MAG	Query MAG	46	46	60.53	0.00	43	True
Archaea	SGB_009	SGB_009_QUERY_MAG	Query MAG	68	68	89.47	0.00	59	True
Archaea	SGB_010	SGB_010_QUERY_MAG	Query MAG	76	74	100.00	2.63	73	True
Archaea	SGB_011	SGB_011_QUERY_MAG	Query MAG	74	74	97.37	0.00	73	True
Archaea	SGB_013	SGB_013_QUERY_MAG	Query MAG	56	55	73.68	1.32	48	True
Archaea	SGB_018	SGB_018_QUERY_MAG	Query MAG	45	45	59.21	0.00	44	True
Archaea	SGB_019	SGB_019_QUERY_MAG	Query MAG	76	75	100.00	1.32	74	True
Archaea	SGB_020	SGB_020_QUERY_MAG	Query MAG	74	74	97.37	0.00	69	True
