Genome	AnalysisSet	Representative	RepresentativeSHA256	SequenceSetSHA256	DRAMInputFileSHA256	GTDBRelease	Species	Domain	Phylum	CompletenessPct	ContaminationPct	Contigs	GenomeBp	RetentionTargetPct	RetentionObservedPct	ParentGenome	DeterministicSeed
SGB_001	Primary real MAG	vamb__025.fna	849765cc3b4b150397a555232e8402b8fcbe57eb987e4189d5953443ed10ea71	4977f392826a470056d9810bff8e5a13db26cc211c17d2fe6d89712a28d1234b	849765cc3b4b150397a555232e8402b8fcbe57eb987e4189d5953443ed10ea71	R232	Desulfobulbus oralis	Bacteria	Desulfobacterota	99.95	0.2	67	2614762	100	100	SGB_001	NA
SGB_002	Primary real MAG	binette__012.fna	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	2b7c243cdede31452365c90cd683fe997f382c6d51a10a5639d041073ef69c0a	15114bf6c8fe4894a3bd1e74247c393c4ace98dd8d1947a3c5cff20ef6b0d7ec	R232	Nitrosomonas europaea	Bacteria	Pseudomonadota	100.0	0.04	77	2643322	100	100	SGB_002	NA
SGB_003	Primary real MAG	binette__008.fna	967a05d2ab0adc374f33378f6009c3ab244f39ee868fdce056db73690b85d3b4	f7ce1bbda75c1d6e65e9cf4f9975e7a3b814237808cbcff227c4dba44b6202e4	967a05d2ab0adc374f33378f6009c3ab244f39ee868fdce056db73690b85d3b4	R232	Porphyromonas gingivalis	Bacteria	Bacteroidota	98.69	0.55	126	2039351	100	100	SGB_003	NA
SGB_004	Primary real MAG	vamb__002.fna	dc2d5759242402e7bb00c52c04fa147df5107bd63764d03f96bde339396faa7a	620eec1e9d89b0095f2135b4c52fdace16baba371796ac6f44cdea2c39f8263d	dc2d5759242402e7bb00c52c04fa147df5107bd63764d03f96bde339396faa7a	R232	Chlorobium phaeovibrioides	Bacteria	Bacteroidota	100.0	0.05	54	1906417	100	100	SGB_004	NA
SGB_005	Primary real MAG	binette__022.fna	7aa8352e35b8586d596ed820445898846b0c9ab7d02bef825b44ac27702e25a7	3a9dd22400bef21c8975247fda40f19b28244d40c83a8012f86683b9bbdcf114	7aa8352e35b8586d596ed820445898846b0c9ab7d02bef825b44ac27702e25a7	R232	Chlorobium limicola	Bacteria	Bacteroidota	100.0	0.14	94	2653984	100	100	SGB_005	NA
SGB_006	Primary real MAG	metabat2-multisample__018.fna	eb10464f9e951abd418634afd92c39455180c5d8326a5a6857468ec5de0b96a8	87f4ebdf84d86785a649e98921e0208135da57df90c3078ae0efac9d2cac7b79	eb10464f9e951abd418634afd92c39455180c5d8326a5a6857468ec5de0b96a8	R232	Shewanella baltica	Bacteria	Pseudomonadota	99.55	6.95	1024	5210977	100	100	SGB_006	NA
SGB_007	Primary real MAG	binette__025.fna	322ff7a31426f03680bc0e500ef998b01f300b4174bc7635e79f2650e6e5b806	f0592a0d3fb760d1732db19f5c87547d5d301ffb2afdaa0a21eb470fc282f2f6	322ff7a31426f03680bc0e500ef998b01f300b4174bc7635e79f2650e6e5b806	R232	Herpetosiphon aurantiacus	Bacteria	Chloroflexota	99.97	0.28	306	6481038	100	100	SGB_007	NA
SGB_008	Primary real MAG	semibin2__018.fna	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68	3ab562d1a35c217d30ae05823716bbf85fb53dc02216c00f3c8341a8193ab60a	64d3c938ec6fec17483b576ac6f8466c9517b6bd2476f43804ba6aae73030f68	R232	Ignicoccus islandicus	Archaea	Thermoproteota	59.51	0.0	324	946551	100	100	SGB_008	NA
SGB_009	Primary real MAG	binette__015.fna	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33	cfa1e77a81b5b2db89e539ce743dd612b5e4ccdb74d1bec5b44217a52f6dce56	60f4d611291f401f2c8ee007c94b56e153df13a4e0cb5cc74eafab162a97cd33	R232	Ignicoccus hospitalis	Archaea	Thermoproteota	78.95	0.29	272	1083632	100	100	SGB_009	NA
SGB_010	Primary real MAG	semibin2__038.fna	7e764b2ccf81fc2b0d23d77ec6f43e2b6aae6da537e47c95d0f9002335229dc2	e5acf9647874c7175b5033fa9146252e5c453b9a66a92331c9da651e6fce3111	7e764b2ccf81fc2b0d23d77ec6f43e2b6aae6da537e47c95d0f9002335229dc2	R232	Methanocaldococcus jannaschii	Archaea	AGJL01	99.92	0.12	43	1727858	100	100	SGB_010	NA
SGB_011	Primary real MAG	taxvamb__008.fna	0c9920d688c8e18cd58113f4ed884bd72d1ed75f63b9b099fc45adee9f24da52	7699e16bab0b86f344ed694e4592bf2ed4ae55620ab67dcdf04b12d3f1704a64	0c9920d688c8e18cd58113f4ed884bd72d1ed75f63b9b099fc45adee9f24da52	R232	Methanocatella oralis	Archaea	Methanobacteriota	99.41	0.33	83	1937978	100	100	SGB_011	NA
SGB_012	Primary real MAG	binette__009.fna	88d4ba3a1f67c50c0ebc7d85dec2279e7313562b7be572dae13100064ad25c51	408366248d2334df3f5e744c3a816e4ffecb453aee2a4f738c4ea589de9a7784	88d4ba3a1f67c50c0ebc7d85dec2279e7313562b7be572dae13100064ad25c51	R232	Fusobacterium nucleatum	Bacteria	Fusobacteriota	98.68	0.29	283	2147088	100	100	SGB_012	NA
SGB_013	Primary real MAG	binette__018.fna	60e4ebfabd300bea9ee4d66d50ec594098fcb7a39f6ae2a9dc070f7aeb967f6b	715f1b8f53952bf8ee9ba3898e81076de3488d0d5670c14bf8747f82d6d7e9cb	60e4ebfabd300bea9ee4d66d50ec594098fcb7a39f6ae2a9dc070f7aeb967f6b	R232	Methanococcus maripaludis_D	Archaea	AGJL01	72.13	3.33	380	1366218	100	100	SGB_013	NA
SGB_014	Primary real MAG	semibin2__043.fna	f9cb447c36eebe1ad17d2c773f6fc751e2e9892b50c0415deed4835901794c1b	752b07016f700cad191dd125ee656a7ebaceb5a844cd351a19d9b445b5e4e938	f9cb447c36eebe1ad17d2c773f6fc751e2e9892b50c0415deed4835901794c1b	R232	Persephonella marina	Bacteria	Aquificota	100.0	0.48	8	1920309	100	100	SGB_014	NA
SGB_015	Primary real MAG	binette__017.fna	77dd3ddcb37573eca9b1c84cf2bce0633d5f5b3d67c5a271c1600632bf12a4f5	ccc28966deaddcc6be8c7832f3a1ade4d7a0c559a386b00fc71d5bc679514b66	77dd3ddcb37573eca9b1c84cf2bce0633d5f5b3d67c5a271c1600632bf12a4f5	R232	Hydrogenobaculum sp003543175	Bacteria	Aquificota	69.48	1.49	361	1122363	100	100	SGB_015	NA
SGB_016	Primary real MAG	binette__001.fna	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290	64c3624d693508f45f106e2f066ca3b948dc2c4809251f34ed39065dd8a2a3a7	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290	R232	Caldicellulosiruptor saccharolyticus	Bacteria	Bacillota	99.99	0.02	92	2770249	100	100	SGB_016	NA
SGB_017	Primary real MAG	binette__002.fna	73842ce20cfa7e89413c7d161072d3fbd265f884fc4eda97097dc314ac4607d4	48d26ec5b6a1d406ca00738df96d66e401e508969f05c5ed4c68f2bf4e1ae309	73842ce20cfa7e89413c7d161072d3fbd265f884fc4eda97097dc314ac4607d4	R232	Thermoanaerobacter pseudethanolicus	Bacteria	Bacillota	99.98	0.31	57	2151032	100	100	SGB_017	NA
SGB_018	Primary real MAG	binette__013.fna	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	e61e2b736c539be2b1ec8c44f990ab9e49143cf2830b8b403fc0e243c769fbdc	92ebeaeb64bc0f36a1d1428d01b80f5b12633183fc8144ee0186e739c0f92b2c	R232	Nanoarchaeum equitans	Archaea	Nanobdellota	87.33	0.21	70	418156	100	100	SGB_018	NA
SGB_019	Primary real MAG	binette__005.fna	50af7f6afa2a049f3ddcab14c3f7f9f8ac50e0a7df9091a462381af260bf6df6	c31ce92e33fe292cb6316493f50ad3ecad9c169e2cc34955076b76241d782a00	50af7f6afa2a049f3ddcab14c3f7f9f8ac50e0a7df9091a462381af260bf6df6	R232	Pyrococcus horikoshii	Archaea	Methanobacteriota_B	99.47	0.19	14	1736697	100	100	SGB_019	NA
