PhageA	PhageB	ANIPct	ShorterAlignmentFractionPct	PassANI95	PassAF85	SameVOTU
vB_EcoS_swan01	vB_Eco_SLUR29	96.43	91.44	True	True	True
vB_Eco_SLUR29	vB_Eco_mar002J2	95.23	86.68	True	True	True
vB_Eco_SLUR29	vB_Eco_mar001J1	95.26	86.68	True	True	True
KUW1	PARMAL1	76.84	47.04	False	False	False
vB_Eco_mar001J1	vB_Eco_mar002J2	100.0	100.0	True	True	True
vB_EcoS_swan01	vB_Eco_mar002J2	95.06	87.29	True	True	True
vB_EcoS_swan01	vB_Eco_mar001J1	95.09	87.29	True	True	True
