Method	RefinedID	ContributingBranches	ContributingInputBins	DominantInputBranch	DominantInputCandidateID	DominantInputOverlapBp	DominantInputCoveragePct
Binette	binette__001	5	12	VAMB-taxonomy-free	vamb__026	2770249	100.0
Binette	binette__002	5	5	MetaBAT2-MOCK1-only	metabat2-mock1__020	2151032	100.0
Binette	binette__003	5	5	SemiBin2-self-supervised	semibin2__043	1910339	100.0
Binette	binette__004	5	9	MetaBAT2-multisample	metabat2-multisample__023	2045345	100.0
Binette	binette__005	5	7	SemiBin2-self-supervised	semibin2__039	1734578	99.87798677604671
Binette	binette__006	5	6	MetaBAT2-MOCK1-only	metabat2-mock1__027	4629413	100.0
Binette	binette__007	5	6	MetaBAT2-MOCK1-only	metabat2-mock1__028	1772843	100.0
Binette	binette__008	5	7	SemiBin2-self-supervised	semibin2__040	2039351	100.0
Binette	binette__009	5	25	MetaBAT2-MOCK1-only	metabat2-mock1__007	2119376	98.7093216486702
Binette	binette__010	5	9	SemiBin2-self-supervised	semibin2__020	2000542	91.46710522405427
Binette	binette__011	5	9	MetaBAT2-multisample	metabat2-multisample__011	6898110	99.74145426158016
Binette	binette__012	5	11	TaxVAMB-Kraken2	taxvamb__035	2643322	100.0
Binette	binette__013	5	9	MetaBAT2-MOCK1-only	metabat2-mock1__030	418156	100.0
Binette	binette__014	5	21	MetaBAT2-multisample	metabat2-multisample__018	4888924	96.36999398984088
Binette	binette__015	5	7	SemiBin2-self-supervised	semibin2__015	1083632	100.0
Binette	binette__016	5	21	MetaBAT2-multisample	metabat2-multisample__032	1497680	100.0
Binette	binette__017	5	13	TaxVAMB-Kraken2	taxvamb__024	1122363	100.0
Binette	binette__018	5	5	MetaBAT2-MOCK1-only	metabat2-mock1__014	1366218	100.0
Binette	binette__019	5	8	SemiBin2-self-supervised	semibin2__018	946551	100.0
Binette	binette__020	5	12	MetaBAT2-multisample	metabat2-multisample__002	1305363	100.0
Binette	binette__021	5	5	MetaBAT2-MOCK1-only	metabat2-mock1__025	1859642	100.0
Binette	binette__022	5	13	TaxVAMB-Kraken2	taxvamb__002	2653984	100.0
Binette	binette__023	5	8	MetaBAT2-multisample	metabat2-multisample__033	1733559	100.0
Binette	binette__024	5	7	VAMB-taxonomy-free	vamb__013	1698339	100.0
Binette	binette__025	5	18	MetaBAT2-MOCK1-only	metabat2-mock1__003	6014960	92.80859022891086
Binette	binette__026	5	6	MetaBAT2-MOCK1-only	metabat2-mock1__026	2595739	100.0
Binette	binette__027	5	7	MetaBAT2-multisample	metabat2-multisample__016	1245710	100.0
DAS Tool	dastool__001	5	15	MetaBAT2-MOCK1-only	metabat2-mock1__016	1449764	100.0
DAS Tool	dastool__002	5	10	MetaBAT2-multisample	metabat2-multisample__008	2575200	100.0
DAS Tool	dastool__003	5	15	MetaBAT2-multisample	metabat2-multisample__024	2506842	100.0
DAS Tool	dastool__004	5	12	SemiBin2-self-supervised	semibin2__004	2092156	100.0
DAS Tool	dastool__005	5	7	SemiBin2-self-supervised	semibin2__012	1716008	100.0
DAS Tool	dastool__006	5	7	SemiBin2-self-supervised	semibin2__015	1083632	100.0
DAS Tool	dastool__007	5	7	SemiBin2-self-supervised	semibin2__018	943833	100.0
DAS Tool	dastool__008	5	6	SemiBin2-self-supervised	semibin2__023	2625969	100.0
DAS Tool	dastool__009	5	16	SemiBin2-self-supervised	semibin2__030	2211895	100.0
DAS Tool	dastool__010	5	11	SemiBin2-self-supervised	semibin2__031	418628	100.0
DAS Tool	dastool__011	5	7	MetaBAT2-MOCK1-only	metabat2-mock1__008	1255643	100.0
DAS Tool	dastool__012	5	6	SemiBin2-self-supervised	semibin2__039	1734578	100.0
DAS Tool	dastool__013	5	9	SemiBin2-self-supervised	semibin2__040	2050369	100.0
DAS Tool	dastool__014	5	8	SemiBin2-self-supervised	semibin2__043	1920309	100.0
DAS Tool	dastool__015	5	17	VAMB-taxonomy-free	vamb__026	3018503	100.0
DAS Tool	dastool__016	5	5	VAMB-taxonomy-free	vamb__026	1937978	100.0
DAS Tool	dastool__017	5	10	TaxVAMB-Kraken2	taxvamb__011	6370188	100.0
DAS Tool	dastool__018	5	5	SemiBin2-self-supervised	semibin2__020	1963322	100.0
DAS Tool	dastool__019	5	13	TaxVAMB-Kraken2	taxvamb__024	1117653	100.0
DAS Tool	dastool__020	5	6	SemiBin2-self-supervised	semibin2__041	2270897	100.0
DAS Tool	dastool__021	5	9	TaxVAMB-Kraken2	taxvamb__033	5618393	100.0
DAS Tool	dastool__022	5	8	VAMB-taxonomy-free	vamb__026	1734637	100.0
DAS Tool	dastool__023	5	7	VAMB-taxonomy-free	vamb__002	1897341	100.0
DAS Tool	dastool__024	5	8	VAMB-taxonomy-free	vamb__013	1875731	100.0
DAS Tool	dastool__025	5	46	VAMB-taxonomy-free	vamb__016	4907840	100.0
DAS Tool	dastool__026	5	18	VAMB-taxonomy-free	vamb__024	1423600	100.0
