Reference	Records	Bases	Status
Acidilobus_saccharovorans_345-15	1	1496453	PASS
Acidobacterium_capsulatum_ATCC_51196	1	4127356	PASS
Aciduliprofundum_boonei_T469	1	1486778	PASS
Akkermansia_muciniphila_ATCC_BAA-835	1	2664102	PASS
Archaeoglobus_fulgidus_DSM_4304	1	2178400	PASS
Bacteroides_thetaiotaomicron_VPI-5482	2	6293399	PASS
Bordetella_pertussis_RB50	1	5339179	PASS
Caldicellulosiruptor_bescii_DSM_6725	3	2931662	PASS
Caldicellulosiruptor_saccharolyticus_DSM_8903	1	2970275	PASS
Chlorobaculum_tepidum_TLS	1	2154946	PASS
Chlorobium_limicola_DSM_245	1	2763181	PASS
Chlorobium_phaeobacteroides_DSM_266	1	3133902	PASS
Chlorobium_phaeovibrioides_DSM_265	1	1966858	PASS
Chloroflexus_aurantiacus_J-10-fl	1	5258541	PASS
Deinococcus_radiodurans_R1	4	3284156	PASS
Desulfitobacterium_dehalogenans_ATCC_51507	1	4321753	PASS
Desulfobulbus_oralis_sp._ONRL	1	2774417	PASS
Desulfovibrio_mercurii_ND_132	1	3858580	PASS
Desulfovibrio_piger_ATCC_29098	47	2867216	PASS
Dictyoglomus_turgidum_DSM_6724	1	1855560	PASS
Enterococcus_faecalis_OG1RF	1	2739625	PASS
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586	1	2180101	PASS
Gemmatimonas_aurantiaca_T-27	1	4636964	PASS
Geobacter_bemidjiensis_Bem	1	4615150	PASS
Geobacter_sulfurreducens_PCA	1	3814128	PASS
Halobacterium_salinarum_NRC-1	3	2571010	PASS
Haloferax_volcanii_DS2	5	4012900	PASS
Herpetosiphon_aurantiacus_DSM_785	3	6785430	PASS
Hydrogenobaculum_sp._Y04AAS1	1	1559514	PASS
Ignicoccus_hospitalis_KIN4_I	1	1297538	PASS
Ignicoccus_islandicus_DSM_13165	1	1394664	PASS
Leptothrix_cholodnii_SP-6	1	4909403	PASS
Methanobrevibacter_oralis_DSM_7256	136	2140433	PASS
Methanocaldococcus_jannaschii_DSM_2661	3	1739927	PASS
Methanococcus_maripaludis_C5	2	1789046	PASS
Methanococcus_maripaludis_S2	1	1661137	PASS
Methanomassiliicoccus_luminyensis_B10	26	2620233	PASS
Methanomethylovorans_hollandica_DSM_15978	2	2714013	PASS
Methanopyrus_kandleri_AV19	1	1694969	PASS
Methanosarcina_acetivorans_C2A	1	5751492	PASS
Methanothermus_fervidus_DSM_2088	1	1243342	PASS
Micromonospora_arenicola_CNS-205	1	5786361	PASS
Micromonospora_tropica_CNB-440	1	5183331	PASS
Nanoarchaeum_equitans_Kin4-M	1	490885	PASS
Nitratidesulfovibrio_vulgaris_Hildenborough	2	3773159	PASS
Nitrosomonas_europaea_ATCC_19718	1	2812094	PASS
Paraburkholderia_xenovorans_LB400	3	9731138	PASS
Persephonella_marina_EX-H1	2	1983966	PASS
Phocaeicola_vulgatus_ATCC_8482	1	5163189	PASS
Porphyromonas_gingivalis_ATCC_33277	1	2354886	PASS
Pseudomonas_fluorescens_SBW25	1	6722539	PASS
Pseudomonas_putida_KT2440	1	6181873	PASS
Pyrobaculum_aerophilum_IM2	1	2222430	PASS
Pyrobaculum_arsenaticum_DSM_13514	1	2121076	PASS
Pyrobaculum_calidifontis_JCM_11548	1	2009313	PASS
Pyrococcus_furiosus_DSM_3638	1	1908256	PASS
Pyrococcus_horikoshii_OT3	1	1738505	PASS
Rhodopirellula_baltica_SH_1	1	7145576	PASS
Ruegeria_pomeroyi_DSS-3	2	4601048	PASS
Ruminiclostridium_thermocellum_ATCC_27405	1	3843301	PASS
Shewanella_baltica_OS185	2	5312910	PASS
Shewanella_baltica_OS223	4	5358884	PASS
Shewanella_loihica_PV-4	1	4602594	PASS
Sulfurihydrogenibium_sp._YO3AOP1	1	1838442	PASS
Sulfurisphaera_tokodaii_str._7	1	2694756	PASS
Thermoanaerobacter_pseudethanolicus_ATCC_33223	1	2362816	PASS
Thermotoga_neapolitana_DSM_4359	1	1884562	PASS
Thermotoga_petrophila_RKU-1	1	1823511	PASS
Treponema_denticola_ATCC_35405	1	2843201	PASS
Trichormus_sp._PCC_7120	7	7211789	PASS
Wolinella_succinogenes_DSM_1740	1	2110355	PASS
