Domain	Tip	Type	AlignmentSites	ObservedAminoAcids	OccupancyPct
Bacteria	REF_GCA_000018565.1_REFERENCE	Reference genome	10733	8230	76.6794
Bacteria	REF_GCF_000010305.1_REFERENCE	Reference genome	10733	9456	88.102115
Bacteria	REF_GCF_000010505.1_REFERENCE	Reference genome	10733	8992	83.778999
Bacteria	REF_GCF_000016545.1_REFERENCE	Reference genome	10733	8932	83.219976
Bacteria	REF_GCF_000016785.1_REFERENCE	Reference genome	10733	9253	86.210752
Bacteria	REF_GCF_000018945.1_REFERENCE	Reference genome	10733	9253	86.210752
Bacteria	REF_GCF_000019085.1_REFERENCE	Reference genome	10733	9107	84.850461
Bacteria	REF_GCF_000020465.1_REFERENCE	Reference genome	10733	9782	91.139476
Bacteria	REF_GCF_000020785.1_REFERENCE	Reference genome	10733	9427	87.83192
Bacteria	REF_GCF_000021565.1_REFERENCE	Reference genome	10733	9026	84.095779
Bacteria	REF_GCF_000196115.1_REFERENCE	Reference genome	10733	7923	73.819063
Bacteria	REF_GCF_002952055.1_REFERENCE	Reference genome	10733	9243	86.117581
Bacteria	REF_GCF_003968655.1_REFERENCE	Reference genome	10733	9512	88.62387
Bacteria	REF_GCF_031191795.1_REFERENCE	Reference genome	10733	9770	91.027672
Bacteria	REF_GCF_900167395.1_REFERENCE	Reference genome	10733	9905	92.285475
Bacteria	REF_GCF_900456975.1_REFERENCE	Reference genome	10733	9579	89.248113
Bacteria	SGB_001_QUERY_MAG	Query MAG	10733	9282	86.480947
Bacteria	SGB_002_QUERY_MAG	Query MAG	10733	9518	88.679773
Bacteria	SGB_003_QUERY_MAG	Query MAG	10733	8531	79.483835
Bacteria	SGB_004_QUERY_MAG	Query MAG	10733	9335	86.974751
Bacteria	SGB_005_QUERY_MAG	Query MAG	10733	9713	90.496599
Bacteria	SGB_006_QUERY_MAG	Query MAG	10733	8757	81.58949
Bacteria	SGB_007_QUERY_MAG	Query MAG	10733	8359	77.881301
Bacteria	SGB_012_QUERY_MAG	Query MAG	10733	8353	77.825398
Bacteria	SGB_014_QUERY_MAG	Query MAG	10733	9017	84.011926
Bacteria	SGB_016_QUERY_MAG	Query MAG	10733	8937	83.266561
Bacteria	SGB_017_QUERY_MAG	Query MAG	10733	9041	84.235535
Bacteria	SGB_021_QUERY_MAG	Query MAG	10733	7094	66.09522
Bacteria	SGB_022_QUERY_MAG	Query MAG	10733	9591	89.359918
Bacteria	SGB_023_QUERY_MAG	Query MAG	10733	9248	86.164167
Bacteria	SGB_024_QUERY_MAG	Query MAG	10733	8975	83.620609
Archaea	REF_GCA_000008085.1_REFERENCE	Reference genome	14804	9107	61.517158
Archaea	REF_GCF_000011105.1_REFERENCE	Reference genome	14804	13532	91.407728
Archaea	REF_GCF_000016125.1_REFERENCE	Reference genome	14804	13873	93.711159
Archaea	REF_GCF_000017945.1_REFERENCE	Reference genome	14804	13545	91.495542
Archaea	REF_GCF_000091665.1_REFERENCE	Reference genome	14804	13410	90.583626
Archaea	REF_GCF_001481685.1_REFERENCE	Reference genome	14804	13049	88.145096
Archaea	REF_GCF_001639275.1_REFERENCE	Reference genome	14804	14065	95.008106
Archaea	REF_GCF_008124605.1_REFERENCE	Reference genome	14804	13128	88.678735
Archaea	SGB_008_QUERY_MAG	Query MAG	14804	7387	49.898676
Archaea	SGB_009_QUERY_MAG	Query MAG	14804	9929	67.069711
Archaea	SGB_010_QUERY_MAG	Query MAG	14804	13410	90.583626
Archaea	SGB_011_QUERY_MAG	Query MAG	14804	13647	92.184545
Archaea	SGB_013_QUERY_MAG	Query MAG	14804	7740	52.283167
Archaea	SGB_018_QUERY_MAG	Query MAG	14804	7652	51.688733
Archaea	SGB_019_QUERY_MAG	Query MAG	14804	13652	92.218319
Archaea	SGB_020_QUERY_MAG	Query MAG	14804	12966	87.584437
