genome,completeness,contamination,length,N50,centrality
binette__001.fna,99.99,0.02,2770249,67435,0.9997423333333334
binette__002.fna,99.98,0.31,2151032,68740,1.0
binette__003.fna,100.0,0.49,1910339,672984,1.0
binette__004.fna,99.79,0.53,2045345,41813,0.99991
binette__005.fna,99.47,0.19,1736697,443866,0.9998736000000001
binette__006.fna,99.94,0.79,4629413,432090,0.999947
binette__007.fna,99.5,0.45,1772843,88409,0.9987254999999999
binette__008.fna,98.69,0.55,2039351,26973,0.9998796000000001
binette__009.fna,98.68,0.29,2147088,11618,1.0
binette__011.fna,97.85,3.87,6915991,15347,1.0
binette__012.fna,100.0,0.04,2643322,47024,0.9998301999999999
binette__013.fna,87.33,0.21,418156,8323,1.0
binette__014.fna,99.58,7.36,5073077,6633,0.9998716666666666
binette__015.fna,78.95,0.29,1083632,4753,0.9999990000000001
binette__017.fna,69.48,1.49,1122363,3441,1.0
binette__018.fna,72.13,3.33,1366218,4054,1.0
binette__019.fna,59.42,0.0,946551,3170,1.0
binette__021.fna,100.0,0.06,1859642,48450,1.0
binette__022.fna,100.0,0.14,2653984,55634,1.0
binette__023.fna,99.91,0.12,1733559,79303,1.0
binette__024.fna,99.93,0.15,1698339,82868,1.0
binette__025.fna,99.97,0.28,6481038,46222,0.999953
binette__026.fna,99.98,0.21,2595739,59244,1.0
metabat2-mock1__003.fna,99.92,0.44,6014960,49681,0.9999766000000001
metabat2-mock1__004.fna,99.71,7.18,5278744,6481,0.9998413333333334
metabat2-mock1__005.fna,99.69,0.09,1653443,79303,1.0
metabat2-mock1__006.fna,88.65,0.01,1973287,14674,0.999999
metabat2-mock1__007.fna,96.63,0.22,2119376,11648,1.0
metabat2-mock1__009.fna,96.21,0.55,2023018,26973,1.0
metabat2-mock1__011.fna,68.79,1.7,1117177,3424,1.0
metabat2-mock1__012.fna,99.46,0.19,1733271,443866,0.9998736000000001
metabat2-mock1__017.fna,99.7,0.75,2062748,41813,0.99991
metabat2-mock1__018.fna,97.42,3.87,6884040,15447,1.0
metabat2-mock1__019.fna,96.92,0.02,2510361,50296,0.9999347999999999
metabat2-mock1__020.fna,99.98,0.35,2156038,68740,1.0
metabat2-mock1__023.fna,98.88,0.44,1893794,672984,1.0
metabat2-mock1__024.fna,98.98,0.37,1635307,82868,1.0
metabat2-mock1__025.fna,100.0,0.22,1896031,48450,1.0
metabat2-mock1__026.fna,99.98,0.21,2595739,59244,1.0
metabat2-mock1__027.fna,99.95,0.8,4629413,432090,0.999947
metabat2-mock1__028.fna,99.09,1.9,1868594,88409,0.9995627499999999
metabat2-mock1__029.fna,99.99,0.21,2490170,58955,1.0
metabat2-mock1__030.fna,87.33,0.21,418156,8323,1.0
metabat2-mock1__032.fna,87.86,0.0,2396218,67435,1.0
metabat2-mock1__033.fna,78.76,0.31,1073351,4713,0.9999990000000001
metabat2-multisample__003.fna,100.0,0.22,1896031,48450,1.0
metabat2-multisample__005.fna,78.77,0.31,1078802,4753,0.9999990000000001
metabat2-multisample__006.fna,89.22,0.06,2561003,67277,1.0
metabat2-multisample__008.fna,99.98,0.06,2575200,50296,0.9999428
metabat2-multisample__011.fna,97.67,3.87,6898110,15447,1.0
metabat2-multisample__012.fna,99.98,0.21,2595739,59244,1.0
metabat2-multisample__013.fna,95.82,0.23,2096622,11697,1.0
metabat2-multisample__014.fna,99.55,0.77,1797649,88409,0.998733
metabat2-multisample__017.fna,99.46,0.19,1727173,443866,1.0
metabat2-multisample__018.fna,99.55,6.95,5210977,6611,0.9998973333333333
metabat2-multisample__019.fna,99.95,0.8,4629413,432090,0.999947
metabat2-multisample__021.fna,99.35,0.41,1713679,82868,1.0
metabat2-multisample__022.fna,96.25,0.61,2022086,26973,1.0
metabat2-multisample__023.fna,99.71,0.79,2055695,41813,0.99991
metabat2-multisample__024.fna,100.0,0.25,2506842,58955,1.0
metabat2-multisample__025.fna,98.88,0.44,1893794,672984,1.0
metabat2-multisample__026.fna,99.99,0.34,2156473,68740,1.0
metabat2-multisample__027.fna,99.91,0.41,5984631,50724,0.9999766000000001
metabat2-multisample__028.fna,88.85,0.02,1990526,14674,0.999999
metabat2-multisample__030.fna,87.32,0.21,416109,8323,1.0
metabat2-multisample__033.fna,99.91,0.12,1733559,79303,1.0
metabat2-multisample__034.fna,68.85,1.62,1116360,3424,1.0
semibin2__003.fna,96.64,6.52,4868198,6789,1.0
semibin2__004.fna,97.94,0.16,2092156,11697,1.0
semibin2__006.fna,77.56,6.8,1584296,3733,1.0
semibin2__007.fna,68.71,1.64,1112414,3426,1.0
semibin2__012.fna,99.35,0.41,1716008,82868,1.0
semibin2__014.fna,99.51,0.78,1794411,88409,0.998733
semibin2__015.fna,78.95,0.29,1083632,4753,0.9999990000000001
semibin2__017.fna,99.77,0.53,2059119,41813,0.99991
semibin2__018.fna,59.51,0.0,946551,3170,1.0
semibin2__019.fna,99.84,0.26,5942474,50724,0.999925
semibin2__020.fna,89.61,0.02,2000542,14503,0.999999
semibin2__023.fna,99.98,0.21,2625969,59244,0.9999154000000001
semibin2__027.fna,100.0,1.92,2621240,58864,1.0
semibin2__028.fna,88.16,0.07,2522617,67277,0.999911
semibin2__029.fna,99.99,0.28,2622359,47024,0.9998856
semibin2__030.fna,99.99,0.44,2211895,68740,1.0
semibin2__031.fna,86.5,0.19,426162,8280,1.0
semibin2__035.fna,97.31,3.96,6738167,15929,1.0
semibin2__036.fna,100.0,0.22,1901513,48108,1.0
semibin2__038.fna,99.92,0.12,1727858,79303,1.0
semibin2__039.fna,99.47,0.19,1734578,443866,0.9998736000000001
semibin2__040.fna,98.03,0.56,2050369,26973,0.9998796000000001
semibin2__041.fna,99.96,0.92,4666117,432090,0.999947
semibin2__043.fna,100.0,0.48,1920309,672984,1.0
taxvamb__002.fna,100.0,0.59,2736388,55634,1.0
taxvamb__004.fna,99.98,0.21,2656340,56680,0.999916
taxvamb__007.fna,100.0,0.06,1859642,48450,1.0
taxvamb__008.fna,99.41,0.33,1937978,44823,1.0
taxvamb__011.fna,91.95,3.3,6370188,17235,1.0
taxvamb__012.fna,95.95,0.54,2022800,26973,1.0
taxvamb__013.fna,88.43,0.02,1963322,14759,0.999999
taxvamb__014.fna,93.15,0.16,1982480,12924,1.0
taxvamb__015.fna,100.0,0.48,1910339,672984,1.0
taxvamb__021.fna,77.72,0.36,1075080,4771,0.9999990000000001
taxvamb__022.fna,99.47,0.19,1732760,443866,0.9998736000000001
taxvamb__025.fna,65.55,0.01,2270897,372866,1.0
taxvamb__026.fna,59.44,0.01,930429,3170,1.0
taxvamb__027.fna,64.21,1.19,1254797,66793,0.9958327500000002
taxvamb__028.fna,77.63,6.32,1599453,3710,1.0
taxvamb__033.fna,98.03,0.45,5618393,52966,1.0
taxvamb__034.fna,99.91,0.12,1734637,79303,1.0
taxvamb__035.fna,100.0,0.04,2643322,47024,0.9998301999999999
vamb__001.fna,99.95,0.8,4629413,432090,0.999947
vamb__002.fna,100.0,0.05,1906417,48108,0.9998182
vamb__003.fna,97.39,1.36,2046752,26973,1.0
vamb__004.fna,93.45,3.44,6462447,16960,1.0
vamb__005.fna,87.98,0.01,1968516,14674,0.999999
vamb__006.fna,93.21,0.21,1978493,13059,1.0
vamb__008.fna,85.54,0.23,406209,8323,1.0
vamb__009.fna,100.0,0.48,1910339,672984,1.0
vamb__010.fna,77.28,1.75,1074998,4901,0.9999990000000001
vamb__012.fna,99.46,0.19,1727173,443866,1.0
vamb__020.fna,62.93,1.76,1039774,3534,1.0
vamb__021.fna,99.41,0.42,5692387,52893,1.0
vamb__022.fna,100.0,0.05,2640305,47024,0.9998304000000001
vamb__023.fna,99.99,0.56,2559549,58864,1.0
vamb__025.fna,99.95,0.2,2614762,59244,0.9999154000000001
